,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R040,0.1529,0.2009,0.1588,0.1865,0.1240,0.1836,0.1472,0.1333,0.1530,0.0932,0.1477,0.1680,0.1499,0.0952,0.1204,0.1589,0.1385,0.1933,0.0436,0.1834,0.0923,0.1379,0.1358,0.1033,0.1495,0.2317,0.1905,0.2320,0.2905,0.2831,0.2398,0.2341,0.2337,0.1975,0.2717,0.2446,0.7668,0.7819,0.7775,1.0000,0.7626,0.7527,0.7631,0.7419,0.7981,0.7505,0.7601,0.7407,0.7591,0.7654,0.3129,0.3572,0.3221,0.3132,0.3239,0.2689,0.2848,0.2615,0.3791,0.3350,0.2086,0.1988,0.2422,0.0858,0.2288,0.1198,0.1500,0.2215
R041,0.1388,0.2708,0.2138,0.1946,0.1249,0.1974,0.1625,0.1331,0.1482,0.1062,0.1770,0.2304,0.1607,0.1757,0.0151,0.0438,0.0251,0.0530,-0.0146,0.0893,0.0128,0.0445,0.0104,0.0267,0.0535,0.0881,0.1694,0.1787,0.2390,0.2270,0.1731,0.1602,0.1219,0.1059,0.2406,0.1783,0.8018,0.7959,0.7856,0.7626,1.0000,0.7650,0.7587,0.7483,0.8124,0.7715,0.8029,0.7760,0.8096,0.7934,0.3326,0.4263,0.3813,0.4224,0.3929,0.3316,0.3404,0.3434,0.4439,0.4473,0.1480,0.2041,0.2732,0.0904,0.2155,0.1334,0.2028,0.1794
R042,0.1574,0.3062,0.2389,0.2440,0.1550,0.2252,0.1739,0.2165,0.2017,0.1425,0.2237,0.2999,0.1675,0.1801,0.0512,0.1075,0.1154,0.1324,0.0419,0.1370,0.0637,0.0894,0.0611,0.0876,0.1117,0.1707,0.1827,0.2472,0.3013,0.2957,0.2082,0.2218,0.2348,0.2105,0.2996,0.2841,0.7740,0.7927,0.7614,0.7527,0.7650,1.0000,0.7643,0.7427,0.7785,0.7819,0.7617,0.7510,0.7786,0.7542,0.2897,0.3842,0.3479,0.3714,0.3642,0.3099,0.2926,0.3067,0.3910,0.3562,0.1945,0.2151,0.1991,0.0853,0.1959,0.1199,0.1634,0.1673
R043,0.0965,0.2063,0.1327,0.1535,0.1186,0.1885,0.1275,0.0949,0.1282,0.0743,0.1287,0.2282,0.1076,0.1213,0.1735,0.1765,0.1335,0.1733,0.0315,0.1812,0.1171,0.1450,0.1277,0.1344,0.1642,0.2040,0.2405,0.2397,0.2795,0.2752,0.2415,0.2729,0.2243,0.2012,0.2710,0.2435,0.7664,0.7761,0.7746,0.7631,0.7587,0.7643,1.0000,0.7640,0.8000,0.7679,0.7800,0.7468,0.7806,0.7797,0.3095,0.3634,0.3477,0.3328,0.3302,0.2450,0.2618,0.3178,0.3540,0.3775,0.1293,0.1701,0.1812,0.0119,0.1614,0.0944,0.1184,0.1607
R044,0.1673,0.2313,0.1953,0.1822,0.1340,0.1985,0.1628,0.0953,0.1511,0.0901,0.1564,0.2082,0.1456,0.1162,0.0573,0.1154,0.0999,0.1589,-0.0082,0.1440,0.0566,0.0938,0.0954,0.0921,0.0543,0.1690,0.2453,0.2706,0.2808,0.2479,0.2016,0.2183,0.1975,0.1572,0.3000,0.2358,0.7393,0.7894,0.7466,0.7419,0.7483,0.7427,0.7640,1.0000,0.7789,0.7977,0.7855,0.7742,0.7739,0.7836,0.3149,0.3836,0.3449,0.3550,0.3486,0.2905,0.3083,0.3433,0.4184,0.3778,0.2419,0.3215,0.2914,0.1912,0.2769,0.2225,0.2807,0.2640
R045,0.0657,0.1887,0.0963,0.1336,0.0677,0.1013,0.0908,0.0459,0.0995,0.0091,0.0866,0.1774,0.0521,0.0656,0.1150,0.1356,0.1562,0.1803,0.0552,0.1813,0.1055,0.1337,0.1185,0.1515,0.1370,0.1847,0.1617,0.2136,0.2633,0.2366,0.1808,0.2194,0.1770,0.1206,0.2233,0.2227,0.7864,0.8002,0.7881,0.7981,0.8124,0.7785,0.8000,0.7789,1.0000,0.7919,0.8298,0.7920,0.8049,0.7668,0.3527,0.4248,0.3441,0.4046,0.4009,0.3422,0.3033,0.3807,0.4400,0.3960,0.2241,0.2346,0.2994,0.1176,0.2572,0.1475,0.2440,0.2375
R046,0.2276,0.3337,0.2603,0.2521,0.1969,0.2981,0.2357,0.1936,0.2327,0.1745,0.2395,0.3370,0.1923,0.2254,0.0992,0.1128,0.1505,0.1973,0.0710,0.2007,0.1026,0.1152,0.1412,0.1019,0.1251,0.2313,0.2574,0.3100,0.3488,0.3510,0.2826,0.3069,0.2620,0.2300,0.3397,0.3151,0.7529,0.8242,0.7602,0.7505,0.7715,0.7819,0.7679,0.7977,0.7919,1.0000,0.7827,0.7710,0.7718,0.7988,0.3481,0.4422,0.4200,0.4444,0.3980,0.3691,0.3594,0.3858,0.4534,0.4492,0.2548,0.2862,0.2649,0.0952,0.2347,0.1380,0.2090,0.2197
R047,0.1580,0.2648,0.2163,0.1877,0.1274,0.1676,0.1423,0.1156,0.1604,0.0972,0.1442,0.2376,0.1418,0.1434,0.0298,0.0619,0.0826,0.1099,-0.0485,0.1007,0.0454,0.0640,0.0267,0.0298,0.0790,0.1175,0.1659,0.1800,0.2591,0.2330,0.1788,0.1964,0.1685,0.1179,0.2411,0.2288,0.7824,0.7994,0.7791,0.7601,0.8029,0.7617,0.7800,0.7855,0.8298,0.7827,1.0000,0.7708,0.8133,0.8076,0.3195,0.4234,0.3560,0.3895,0.3927,0.2818,0.3041,0.3138,0.4305,0.4130,0.1583,0.2192,0.2347,0.0493,0.2223,0.1108,0.1576,0.1582
R048,0.1746,0.3159,0.2594,0.2794,0.1660,0.2530,0.2335,0.1600,0.2265,0.1747,0.2566,0.2940,0.1907,0.1928,-0.0490,0.0167,0.0598,0.0507,-0.0898,0.0528,0.0172,0.0075,-0.0224,-0.0131,0.0442,0.0970,0.1401,0.1680,0.2059,0.2032,0.1361,0.1532,0.1351,0.1126,0.2401,0.1503,0.7266,0.7743,0.7680,0.7407,0.7760,0.7510,0.7468,0.7742,0.7920,0.7710,0.7708,1.0000,0.7745,0.7659,0.3228,0.3851,0.3652,0.3864,0.3315,0.3090,0.3033,0.3421,0.4410,0.3935,0.1578,0.1907,0.2583,0.1037,0.1781,0.1783,0.1789,0.1891
R049,0.0756,0.2024,0.1214,0.1355,0.0493,0.1079,0.1051,0.0732,0.1297,0.0511,0.0839,0.1749,0.1140,0.0787,0.0859,0.1207,0.1335,0.1452,0.0563,0.2013,0.1037,0.1242,0.1046,0.1042,0.1197,0.1977,0.1262,0.1484,0.2118,0.2293,0.1612,0.1413,0.1325,0.0789,0.2250,0.1708,0.7574,0.8050,0.7870,0.7591,0.8096,0.7786,0.7806,0.7739,0.8049,0.7718,0.8133,0.7745,1.0000,0.8111,0.3683,0.4093,0.3630,0.3535,0.3925,0.3379,0.3432,0.3345,0.4030,0.4217,0.2102,0.2147,0.2448,0.0638,0.2391,0.1515,0.2128,0.2057
R050,0.1205,0.2366,0.1679,0.1593,0.1134,0.1962,0.0934,0.0754,0.1308,0.0662,0.1351,0.2297,0.1347,0.1076,0.0503,0.0637,0.0761,0.1236,-0.0133,0.1114,0.0324,0.0543,0.0470,0.0280,0.0554,0.1417,0.2029,0.2605,0.2983,0.2791,0.2396,0.2510,0.2156,0.1826,0.3195,0.2340,0.7426,0.8077,0.7843,0.7654,0.7934,0.7542,0.7797,0.7836,0.7668,0.7988,0.8076,0.7659,0.8111,1.0000,0.2556,0.3189,0.2854,0.3298,0.3048,0.2363,0.2349,0.2465,0.3175,0.3231,0.1685,0.1835,0.2215,0.0245,0.1631,0.1201,0.1497,0.1432
R051,0.2832,0.2796,0.2376,0.2646,0.1874,0.2741,0.2870,0.1668,0.2997,0.2230,0.2478,0.2982,0.2977,0.2169,0.1879,0.2485,0.2407,0.2624,0.1608,0.2562,0.2003,0.2025,0.2079,0.1947,0.2033,0.3239,0.2149,0.2507,0.2868,0.2706,0.2899,0.2497,0.2889,0.2476,0.2228,0.3202,0.3295,0.3303,0.3137,0.3129,0.3326,0.2897,0.3095,0.3149,0.3527,0.3481,0.3195,0.3228,0.3683,0.2556,1.0000,0.7512,0.7029,0.6795,0.6646,0.6049,0.6948,0.6531,0.6838,0.6713,0.0846,0.1095,0.2200,0.0744,0.2413,0.1810,0.1293,0.1723
R052,0.4175,0.4301,0.3028,0.3579,0.2848,0.3777,0.3669,0.2809,0.4171,0.3033,0.3764,0.4218,0.3957,0.3522,0.1672,0.1839,0.2231,0.2349,0.1527,0.1942,0.1827,0.1839,0.1635,0.1692,0.2201,0.2705,0.2609,0.2901,0.2889,0.3328,0.3186,0.2982,0.3008,0.2646,0.2763,0.3668,0.4074,0.4062,0.4034,0.3572,0.4263,0.3842,0.3634,0.3836,0.4248,0.4422,0.4234,0.3851,0.4093,0.3189,0.7512,1.0000,0.7587,0.7659,0.7661,0.7013,0.7767,0.6740,0.7682,0.7500,0.1789,0.1790,0.2677,0.1516,0.2815,0.1969,0.1824,0.2253
R053,0.4228,0.3767,0.3238,0.3473,0.3140,0.4158,0.4187,0.3197,0.4151,0.3263,0.3653,0.4225,0.3530,0.3104,0.2072,0.2277,0.2662,0.2862,0.1861,0.2221,0.2612,0.1988,0.2179,0.2251,0.2663,0.3601,0.4008,0.3976,0.3984,0.4529,0.4689,0.4052,0.4409,0.4179,0.3811,0.4904,0.3443,0.3498,0.3820,0.3221,0.3813,0.3479,0.3477,0.3449,0.3441,0.4200,0.3560,0.3652,0.3630,0.2854,0.7029,0.7587,1.0000,0.7602,0.7385,0.7181,0.7890,0.6983,0.7507,0.7737,0.1726,0.1826,0.2486,0.1230,0.2386,0.1851,0.1722,0.2288
R054,0.4644,0.4436,0.3851,0.3936,0.3477,0.4360,0.4365,0.3481,0.4638,0.3388,0.3896,0.4822,0.4057,0.3680,0.1775,0.1963,0.2097,0.2171,0.1222,0.2001,0.1704,0.1620,0.1543,0.1691,0.2033,0.2723,0.3955,0.4290,0.4659,0.4514,0.4771,0.4633,0.4206,0.4421,0.4249,0.5065,0.3753,0.4041,0.3919,0.3132,0.4224,0.3714,0.3328,0.3550,0.4046,0.4444,0.3895,0.3864,0.3535,0.3298,0.6795,0.7659,0.7602,1.0000,0.7523,0.6872,0.7016,0.6530,0.7143,0.7308,0.1248,0.1490,0.2471,0.0824,0.2499,0.1836,0.1181,0.1903
R055,0.3728,0.3045,0.2912,0.3213,0.2980,0.3164,0.3297,0.2702,0.3553,0.2508,0.2742,0.3646,0.3429,0.3129,0.2133,0.2369,0.2928,0.2581,0.1938,0.2493,0.2366,0.2275,0.2043,0.2196,0.2957,0.3199,0.2566,0.2780,0.2998,0.2998,0.3515,0.3200,0.3393,0.2879,0.2998,0.3657,0.3814,0.3771,0.3729,0.3239,0.3929,0.3642,0.3302,0.3486,0.4009,0.3980,0.3927,0.3315,0.3925,0.3048,0.6646,0.7661,0.7385,0.7523,1.0000,0.7158,0.7561,0.6558,0.7041,0.7258,0.1230,0.1821,0.2597,0.1212,0.2968,0.1869,0.1709,0.1841
R056,0.3123,0.3194,0.1732,0.2463,0.1981,0.2774,0.2520,0.2131,0.3030,0.1821,0.2580,0.3091,0.2809,0.1919,0.0746,0.1253,0.1483,0.1570,0.0932,0.1740,0.1272,0.1075,0.1131,0.1605,0.1853,0.2473,0.2760,0.2857,0.3216,0.3450,0.3785,0.2970,0.3213,0.3137,0.2959,0.3567,0.2832,0.2875,0.2895,0.2689,0.3316,0.3099,0.2450,0.2905,0.3422,0.3691,0.2818,0.3090,0.3379,0.2363,0.6049,0.7013,0.7181,0.6872,0.7158,1.0000,0.7535,0.6105,0.6558,0.6799,0.1589,0.1515,0.2782,0.1879,0.2641,0.1657,0.2078,0.2213
R057,0.4206,0.3624,0.3105,0.3750,0.2911,0.3877,0.3853,0.2718,0.3654,0.3047,0.3217,0.3780,0.3923,0.3552,0.1638,0.1728,0.2108,0.2230,0.1301,0.1866,0.1846,0.1580,0.1597,0.2046,0.2018,0.2812,0.2842,0.2602,0.3027,0.3292,0.3449,0.2873,0.2814,0.2967,0.2662,0.3442,0.3063,0.3196,0.3231,0.2848,0.3404,0.2926,0.2618,0.3083,0.3033,0.3594,0.3041,0.3033,0.3432,0.2349,0.6948,0.7767,0.7890,0.7016,0.7561,0.7535,1.0000,0.6744,0.7405,0.7536,0.1376,0.1903,0.2321,0.1511,0.2777,0.1730,0.1738,0.1833
R058,0.1956,0.2303,0.2158,0.1851,0.1809,0.2692,0.2460,0.1534,0.2522,0.1603,0.1850,0.2088,0.1811,0.1561,0.1241,0.1341,0.1873,0.1666,0.1131,0.1783,0.1922,0.1234,0.1521,0.1846,0.1671,0.2682,0.2412,0.3296,0.3352,0.2795,0.2900,0.2947,0.2526,0.2793,0.3103,0.3247,0.3516,0.3271,0.3258,0.2615,0.3434,0.3067,0.3178,0.3433,0.3807,0.3858,0.3138,0.3421,0.3345,0.2465,0.6531,0.6740,0.6983,0.6530,0.6558,0.6105,0.6744,1.0000,0.6690,0.6656,0.0708,0.1599,0.2437,0.1474,0.2482,0.1812,0.1934,0.1649
R059,0.3427,0.3388,0.2907,0.3078,0.2780,0.3601,0.2996,0.2860,0.3240,0.2975,0.3021,0.3304,0.3070,0.2714,0.1757,0.1666,0.2428,0.2396,0.1137,0.2164,0.2097,0.1779,0.2067,0.1928,0.2305,0.3408,0.2354,0.2621,0.2850,0.2942,0.3118,0.2556,0.2670,0.2873,0.2410,0.3051,0.4349,0.4069,0.3959,0.3791,0.4439,0.3910,0.3540,0.4184,0.4400,0.4534,0.4305,0.4410,0.4030,0.3175,0.6838,0.7682,0.7507,0.7143,0.7041,0.6558,0.7405,0.6690,1.0000,0.7175,0.1904,0.1901,0.3068,0.1798,0.2901,0.2304,0.1836,0.1946
R060,0.3734,0.3651,0.3384,0.3482,0.2814,0.3676,0.3754,0.2865,0.3829,0.2966,0.3571,0.4050,0.3339,0.3365,0.1925,0.2226,0.2341,0.2475,0.1563,0.2430,0.2556,0.2475,0.2040,0.2245,0.2731,0.2862,0.3550,0.3664,0.3969,0.4039,0.4442,0.3878,0.3627,0.3714,0.3391,0.4334,0.3859,0.3912,0.3921,0.3350,0.4473,0.3562,0.3775,0.3778,0.3960,0.4492,0.4130,0.3935,0.4217,0.3231,0.6713,0.7500,0.7737,0.7308,0.7258,0.6799,0.7536,0.6656,0.7175,1.0000,0.1259,0.1802,0.2254,0.0706,0.2323,0.1609,0.1301,0.1210
R061,0.1417,0.1648,0.0731,0.0476,0.0992,0.0825,0.1300,0.1300,0.0742,0.1321,0.1544,0.1039,0.1377,0.1653,0.0272,0.0262,0.0432,0.0895,0.0716,0.0499,-0.0236,0.0405,0.1059,0.0274,0.0525,0.0678,0.1535,0.2892,0.1996,0.2083,0.2144,0.2216,0.2435,0.1585,0.2207,0.2242,0.2308,0.2159,0.1443,0.2086,0.1480,0.1945,0.1293,0.2419,0.2241,0.2548,0.1583,0.1578,0.2102,0.1685,0.0846,0.1789,0.1726,0.1248,0.1230,0.1589,0.1376,0.0708,0.1904,0.1259,1.0000,0.6341,0.6363,0.5882,0.6106,0.6217,0.6467,0.6396
R062,0.1847,0.2057,0.1370,0.0623,0.1704,0.1357,0.1836,0.1687,0.0789,0.1058,0.1538,0.1447,0.1361,0.1642,0.0447,-0.0573,0.0267,0.0846,0.0587,0.0067,0.0032,-0.0192,0.0647,0.0077,-0.0701,0.0608,0.1816,0.2323,0.2046,0.1185,0.1666,0.1823,0.1681,0.1128,0.1802,0.2026,0.2225,0.2783,0.1882,0.1988,0.2041,0.2151,0.1701,0.3215,0.2346,0.2862,0.2192,0.1907,0.2147,0.1835,0.1095,0.1790,0.1826,0.1490,0.1821,0.1515,0.1903,0.1599,0.1901,0.1802,0.6341,1.0000,0.6751,0.6686,0.6495,0.6183,0.6860,0.6048
R063,0.1018,0.1525,0.0686,0.0135,0.0815,0.0624,0.0782,0.0733,0.0113,0.0563,0.0669,0.1042,0.0525,0.0966,0.0038,-0.0853,-0.0378,0.0219,0.0337,-0.0503,-0.0435,-0.0476,0.0103,-0.0464,-0.0444,-0.0174,0.0944,0.2069,0.1497,0.0649,0.1006,0.1448,0.1229,0.0888,0.1277,0.1511,0.2576,0.2739,0.2414,0.2422,0.2732,0.1991,0.1812,0.2914,0.2994,0.2649,0.2347,0.2583,0.2448,0.2215,0.2200,0.2677,0.2486,0.2471,0.2597,0.2782,0.2321,0.2437,0.3068,0.2254,0.6363,0.6751,1.0000,0.6942,0.6561,0.6410,0.7325,0.6664
R064,0.1311,0.1416,0.0428,0.0320,0.1062,0.0665,0.0969,0.0756,0.0422,0.0633,0.0731,0.0688,0.0990,0.1319,-0.0935,-0.1635,-0.0755,-0.0476,-0.0393,-0.1132,-0.1104,-0.1393,-0.0633,-0.1134,-0.1319,-0.0855,0.0727,0.1094,0.0689,-0.0170,0.0324,0.0397,0.0715,0.0061,0.0574,0.0750,0.1232,0.1277,0.0612,0.0858,0.0904,0.0853,0.0119,0.1912,0.1176,0.0952,0.0493,0.1037,0.0638,0.0245,0.0744,0.1516,0.1230,0.0824,0.1212,0.1879,0.1511,0.1474,0.1798,0.0706,0.5882,0.6686,0.6942,1.0000,0.6691,0.6346,0.7066,0.6704
R065,0.1167,0.1392,0.0475,0.0169,0.0463,0.0845,0.1037,0.0578,0.0553,0.0898,0.0701,0.0559,0.1206,0.1132,0.0380,-0.0001,0.0356,0.0357,0.0615,0.0160,-0.0026,0.0066,0.0785,0.0157,-0.0183,0.0360,0.0959,0.1838,0.1507,0.1141,0.1292,0.1251,0.1330,0.0790,0.1084,0.1672,0.2477,0.3037,0.2200,0.2288,0.2155,0.1959,0.1614,0.2769,0.2572,0.2347,0.2223,0.1781,0.2391,0.1631,0.2413,0.2815,0.2386,0.2499,0.2968,0.2641,0.2777,0.2482,0.2901,0.2323,0.6106,0.6495,0.6561,0.6691,1.0000,0.6537,0.6977,0.6503
R066,0.2066,0.2625,0.1484,0.1225,0.1698,0.1254,0.2019,0.1675,0.1710,0.2685,0.2243,0.1681,0.1983,0.1860,-0.1224,-0.1023,-0.0754,-0.0861,-0.0392,-0.1205,-0.1721,-0.1346,-0.0470,-0.0886,-0.1394,-0.0412,0.1662,0.2892,0.2213,0.1578,0.2080,0.2176,0.2176,0.1719,0.2062,0.1977,0.1800,0.1811,0.1074,0.1198,0.1334,0.1199,0.0944,0.2225,0.1475,0.1380,0.1108,0.1783,0.1515,0.1201,0.1810,0.1969,0.1851,0.1836,0.1869,0.1657,0.1730,0.1812,0.2304,0.1609,0.6217,0.6183,0.6410,0.6346,0.6537,1.0000,0.6642,0.6591
R067,0.0928,0.1396,0.0094,0.0015,0.0503,0.0136,0.0589,0.0339,0.0248,0.0309,0.0836,0.0602,0.0597,0.1089,-0.0471,-0.0857,-0.0684,-0.0077,0.0085,-0.0575,-0.0918,-0.0659,-0.0043,-0.0265,-0.1119,-0.0140,0.0442,0.1557,0.1079,0.0399,0.0883,0.0522,0.1006,0.0410,0.1005,0.1088,0.1906,0.2443,0.1406,0.1500,0.2028,0.1634,0.1184,0.2807,0.2440,0.2090,0.1576,0.1789,0.2128,0.1497,0.1293,0.1824,0.1722,0.1181,0.1709,0.2078,0.1738,0.1934,0.1836,0.1301,0.6467,0.6860,0.7325,0.7066,0.6977,0.6642,1.0000,0.6860
R068,0.1113,0.0899,0.0311,-0.0399,0.0043,0.0416,0.0800,0.0453,0.0023,0.0758,0.0559,0.0687,0.0696,0.0806,0.0084,-0.0432,-0.0160,0.0550,0.0983,0.0026,-0.0750,-0.0482,0.0389,0.0030,0.0045,0.0620,0.1561,0.2142,0.1714,0.1250,0.1769,0.1720,0.1815,0.1141,0.1759,0.2002,0.1983,0.2439,0.2075,0.2215,0.1794,0.1673,0.1607,0.2640,0.2375,0.2197,0.1582,0.1891,0.2057,0.1432,0.1723,0.2253,0.2288,0.1903,0.1841,0.2213,0.1833,0.1649,0.1946,0.1210,0.6396,0.6048,0.6664,0.6704,0.6503,0.6591,0.6860,1.0000
