,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090,R091,R092,R093,R094,R095,R096,R097,R098,R099,R100
R027,0.2717,0.1648,0.2343,0.2378,0.2373,0.1934,0.2604,0.2881,0.2607,0.1456,0.2357,0.2841,0.2051,0.3061,0.1764,0.1276,0.0510,0.1676,0.0791,0.0973,0.1119,0.1909,0.1841,0.1468,0.1844,0.1708,1.0000,0.7429,0.8090,0.7605,0.8133,0.7785,0.7737,0.7713,0.7462,0.8149,0.8107,0.7678,0.1755,0.2311,0.1570,0.2962,0.1390,0.2317,0.1805,0.1919,0.2106,0.2859,0.1366,0.1274,0.2954,0.4004,0.3926,0.4734,0.3083,0.4359,0.3861,0.3380,0.3609,0.3308,0.3911,0.4161,0.3265,0.3862,0.3606,0.3429,0.3914,0.4108,0.3816,0.3850,0.1470,0.1323,0.2430,0.2922,0.1805,0.2451,0.0740,0.0956,0.3066,0.1177,0.1777,0.2440,0.1993,0.1974,0.1151,0.2017,0.1666,0.1734,0.1365,0.1601,0.1239,0.0960,0.2262,0.2197,0.2107,0.2309,0.0931,0.1949,0.1614,0.2861
R028,0.3736,0.3049,0.3744,0.3128,0.3891,0.3248,0.3768,0.4220,0.3949,0.2750,0.3716,0.4151,0.3406,0.4201,0.2770,0.2534,0.1489,0.2573,0.1959,0.2179,0.1974,0.2961,0.2467,0.2468,0.3073,0.2862,0.7429,1.0000,0.7790,0.7625,0.7617,0.7595,0.7182,0.8070,0.7207,0.7884,0.7959,0.7845,0.1322,0.1928,0.0721,0.2132,0.0609,0.1749,0.1380,0.1514,0.1316,0.1858,0.0667,0.0294,0.2100,0.3524,0.3203,0.3442,0.1650,0.3248,0.3840,0.2896,0.3327,0.2718,0.3788,0.4033,0.2734,0.3563,0.3486,0.3849,0.3566,0.3510,0.3460,0.3731,0.1477,0.1030,0.2292,0.2280,0.1537,0.2264,0.1094,0.1514,0.2433,0.0964,0.1145,0.2201,0.1748,0.2156,0.1470,0.1769,0.1691,0.1414,0.1385,0.1499,0.1685,0.0532,0.2126,0.2245,0.1847,0.1676,0.0879,0.1676,0.1268,0.2731
R029,0.3222,0.2115,0.2448,0.2345,0.2617,0.2107,0.2783,0.3218,0.3004,0.1885,0.2497,0.2916,0.2239,0.3628,0.0844,0.0581,-0.0229,0.0826,-0.0320,0.0179,0.0224,0.1452,0.0727,0.0715,0.1235,0.1086,0.8090,0.7790,1.0000,0.8165,0.8212,0.8116,0.7716,0.7982,0.8146,0.8250,0.8205,0.8015,0.1119,0.1566,0.0625,0.2464,0.0741,0.1546,0.1438,0.1163,0.1096,0.2006,0.0662,0.0674,0.2121,0.3445,0.2562,0.3851,0.1949,0.3410,0.3587,0.3064,0.3874,0.3449,0.4115,0.4437,0.3537,0.4214,0.3628,0.3781,0.3835,0.4651,0.3855,0.3937,0.1028,0.0560,0.1950,0.1864,0.1224,0.1857,0.0228,0.0879,0.2451,0.0234,0.1101,0.1624,0.1017,0.1875,0.0358,0.1525,0.1020,0.1509,0.0944,0.0917,0.0615,0.0258,0.2093,0.1453,0.1441,0.1552,0.0645,0.1563,0.0694,0.2403
R030,0.4189,0.3057,0.3834,0.3246,0.3360,0.3060,0.3296,0.3967,0.4001,0.2373,0.3475,0.3873,0.3162,0.3968,0.1889,0.1472,0.0814,0.1808,0.0878,0.1121,0.0777,0.2181,0.1404,0.1203,0.2172,0.1759,0.7605,0.7625,0.8165,1.0000,0.8077,0.8249,0.7960,0.8240,0.7763,0.8088,0.7745,0.8131,-0.0172,0.0395,-0.0775,0.0931,-0.0684,0.0620,-0.0160,0.0121,0.0190,0.0824,-0.0339,-0.0960,0.2477,0.4215,0.3886,0.4036,0.2106,0.3914,0.2496,0.1507,0.2355,0.1520,0.2323,0.3053,0.1826,0.2831,0.2763,0.2696,0.2434,0.2776,0.2419,0.2633,0.0572,0.0154,0.1230,0.1592,0.0671,0.1338,-0.0196,0.0720,0.1864,-0.0151,0.0402,0.1336,0.1056,0.1164,0.0366,0.1205,0.0535,0.0859,0.0583,0.0295,0.0497,-0.0472,0.1576,0.1365,0.0996,0.1256,-0.0023,0.0974,0.0674,0.1496
R031,0.2479,0.1655,0.2571,0.2181,0.2312,0.1959,0.2687,0.3000,0.2459,0.1628,0.2251,0.2430,0.1991,0.3103,0.1169,0.0950,0.0137,0.0989,0.0257,0.0572,0.0327,0.1553,0.0876,0.1016,0.1205,0.1292,0.8133,0.7617,0.8212,0.8077,1.0000,0.7425,0.7694,0.7594,0.7338,0.8027,0.7577,0.7587,0.1497,0.2053,0.0809,0.2332,0.0865,0.1844,0.1496,0.1380,0.1617,0.2080,0.0595,0.0688,0.2523,0.3701,0.3190,0.4155,0.2215,0.3350,0.2983,0.2754,0.3079,0.2494,0.3094,0.3760,0.2928,0.3406,0.3131,0.2930,0.3437,0.3558,0.3324,0.3118,0.1399,0.1279,0.2277,0.2496,0.1760,0.2562,0.0838,0.1139,0.3043,0.1139,0.1931,0.2276,0.1947,0.2264,0.1088,0.1924,0.1693,0.1817,0.1532,0.1540,0.1141,0.1097,0.2765,0.2413,0.2023,0.2307,0.1255,0.1996,0.1263,0.2841
R032,0.3489,0.2210,0.2571,0.2531,0.2486,0.1900,0.2652,0.3305,0.2844,0.1829,0.2781,0.3480,0.2408,0.3249,0.1403,0.1048,0.0595,0.1672,0.0263,0.0830,0.0743,0.1924,0.1091,0.0935,0.1987,0.1177,0.7785,0.7595,0.8116,0.8249,0.7425,1.0000,0.7769,0.7968,0.7742,0.7913,0.8008,0.7929,-0.0228,-0.0088,-0.0757,0.0923,-0.0488,0.0494,0.0138,0.0203,-0.0019,0.0729,-0.0562,-0.0930,0.1955,0.3185,0.3255,0.3534,0.1239,0.3337,0.3282,0.2269,0.2960,0.2109,0.3419,0.3416,0.2440,0.3317,0.3144,0.3321,0.3046,0.3157,0.2771,0.3014,-0.0376,-0.0381,0.0989,0.0881,0.0199,0.0680,-0.0477,-0.0252,0.1219,-0.0834,-0.0303,0.0775,0.0255,0.0722,-0.0438,0.0633,-0.0237,0.0196,-0.0046,-0.0139,-0.0174,-0.1091,0.1239,0.0750,0.0281,0.0254,-0.0421,0.0174,-0.0295,0.1062
R033,0.2926,0.1904,0.2280,0.2106,0.2161,0.1617,0.1958,0.3039,0.2306,0.1227,0.2252,0.2749,0.1944,0.2757,0.1081,0.1121,0.0357,0.1205,0.0395,0.0939,0.0581,0.1679,0.1255,0.0794,0.1788,0.1324,0.7737,0.7182,0.7716,0.7960,0.7694,0.7769,1.0000,0.7812,0.7597,0.7625,0.7529,0.7436,-0.0502,0.0022,-0.0813,0.0836,-0.0729,0.0269,-0.0195,-0.0226,-0.0407,0.0256,-0.0867,-0.0737,0.1417,0.2418,0.2413,0.2308,0.0482,0.2584,0.2004,0.1450,0.1812,0.1422,0.2312,0.2263,0.1114,0.2333,0.2173,0.2108,0.2098,0.2188,0.2106,0.1823,0.0653,0.0939,0.1865,0.2111,0.0601,0.1869,0.0798,0.0801,0.2290,0.0266,0.0988,0.1688,0.1377,0.1628,0.0636,0.1656,0.1030,0.1381,0.1069,0.1033,0.0573,0.0100,0.2288,0.1761,0.1157,0.1887,0.0556,0.1435,0.0853,0.1780
R034,0.4590,0.3610,0.3883,0.3466,0.3759,0.3344,0.3779,0.4615,0.4328,0.2992,0.4067,0.4180,0.3640,0.4316,0.2205,0.2283,0.1250,0.2241,0.1618,0.1747,0.1608,0.2696,0.2213,0.1980,0.2926,0.2571,0.7713,0.8070,0.7982,0.8240,0.7594,0.7968,0.7812,1.0000,0.7447,0.8078,0.7905,0.7780,0.0081,0.0674,-0.0435,0.0632,-0.0748,0.0274,0.0494,0.0031,0.0137,0.0724,-0.0549,-0.1012,0.1771,0.3449,0.3144,0.3075,0.1401,0.3018,0.3366,0.2374,0.2836,0.2543,0.3153,0.3899,0.2324,0.3433,0.3179,0.3615,0.3118,0.3152,0.3239,0.2907,0.1771,0.1157,0.2554,0.2616,0.1949,0.2336,0.1241,0.1997,0.2751,0.1047,0.1670,0.2342,0.2244,0.2439,0.1753,0.2299,0.2011,0.2220,0.1856,0.1661,0.1601,0.0999,0.2563,0.2625,0.2202,0.2242,0.1199,0.2239,0.1562,0.2817
R035,0.2755,0.1877,0.1832,0.2270,0.2092,0.1557,0.2123,0.2770,0.2557,0.1407,0.1962,0.2549,0.1809,0.2625,0.0048,-0.0367,-0.1262,-0.0374,-0.1177,-0.0793,-0.0733,0.0475,-0.0589,-0.0543,0.0264,0.0016,0.7462,0.7207,0.8146,0.7763,0.7338,0.7742,0.7597,0.7447,1.0000,0.7757,0.7975,0.7404,0.0253,0.0392,-0.0270,0.1488,-0.0007,0.1185,0.0969,0.0677,0.0461,0.0707,0.0061,-0.0058,0.0868,0.1934,0.1632,0.2417,0.0290,0.1754,0.2988,0.2258,0.3010,0.2743,0.3096,0.3317,0.2303,0.3235,0.3200,0.2528,0.3135,0.3688,0.3024,0.2926,-0.0251,-0.0393,0.0608,0.0932,-0.0173,0.0572,-0.0756,-0.0190,0.1345,-0.0886,0.0080,0.0429,0.0419,0.0661,-0.0822,0.0599,-0.0050,0.0329,-0.0220,-0.0488,-0.0282,-0.0738,0.0992,0.0508,-0.0086,0.0549,-0.0696,0.0478,-0.0421,0.1073
R036,0.3240,0.2201,0.3010,0.2889,0.2708,0.2452,0.2859,0.3248,0.3074,0.2000,0.2870,0.3403,0.2501,0.3643,0.1760,0.1211,0.0538,0.1445,0.0640,0.1035,0.0722,0.1984,0.1517,0.1373,0.1607,0.1656,0.8149,0.7884,0.8250,0.8088,0.8027,0.7913,0.7625,0.8078,0.7757,1.0000,0.7989,0.7751,0.1851,0.2342,0.1368,0.2590,0.1120,0.2278,0.1956,0.1946,0.1843,0.2546,0.1513,0.1157,0.2255,0.3931,0.3108,0.3938,0.2239,0.3638,0.3600,0.2734,0.3339,0.2845,0.3418,0.3924,0.2880,0.3455,0.3275,0.3226,0.3433,0.3425,0.3435,0.3247,0.1065,0.0870,0.2039,0.2110,0.1246,0.2102,0.0349,0.0842,0.2445,0.0484,0.1220,0.1869,0.1477,0.2223,0.0877,0.1641,0.1179,0.1283,0.0855,0.1147,0.0819,0.0102,0.1758,0.1433,0.1647,0.1289,0.0581,0.1413,0.0909,0.2177
R037,0.2630,0.1579,0.2177,0.2179,0.2187,0.1772,0.2606,0.2684,0.2548,0.1569,0.2027,0.2697,0.1968,0.3046,0.1251,0.0701,0.0027,0.0876,0.0103,0.0270,0.0401,0.1529,0.0777,0.0781,0.1423,0.1008,0.8107,0.7959,0.8205,0.7745,0.7577,0.8008,0.7529,0.7905,0.7975,0.7989,1.0000,0.7915,0.1493,0.1878,0.1280,0.2503,0.1210,0.1890,0.1770,0.1713,0.1691,0.2544,0.1026,0.0927,0.1743,0.2847,0.2416,0.3406,0.1541,0.2865,0.3906,0.2846,0.3189,0.2828,0.3698,0.3983,0.3017,0.3708,0.3493,0.3582,0.3834,0.4170,0.3632,0.3529,0.0075,-0.0097,0.1222,0.1275,0.0331,0.1153,-0.0285,-0.0035,0.1648,-0.0471,0.0402,0.1111,0.0273,0.0480,-0.0357,0.0884,0.0125,0.0720,-0.0089,0.0256,0.0055,-0.0647,0.1146,0.0786,0.0433,0.0942,-0.0395,0.0844,0.0112,0.1570
R038,0.3831,0.2878,0.3307,0.3277,0.3317,0.2841,0.3556,0.3697,0.3632,0.2666,0.3239,0.3664,0.3045,0.3967,0.2479,0.2274,0.1528,0.2327,0.1476,0.1899,0.1827,0.2931,0.2163,0.2132,0.2919,0.2747,0.7678,0.7845,0.8015,0.8131,0.7587,0.7929,0.7436,0.7780,0.7404,0.7751,0.7915,1.0000,0.1636,0.2157,0.0894,0.2179,0.1092,0.2372,0.1437,0.1566,0.1745,0.2020,0.1095,0.0653,0.2128,0.3567,0.3056,0.3375,0.1750,0.3421,0.3855,0.3065,0.3449,0.2921,0.3712,0.4157,0.3212,0.4224,0.3821,0.4087,0.3599,0.3929,0.3816,0.3751,0.0544,0.0354,0.1162,0.1625,0.0370,0.1612,-0.0029,0.0276,0.1623,-0.0246,0.0371,0.1523,0.0720,0.1047,0.0359,0.1413,0.0435,0.0577,0.0401,0.0348,0.0234,-0.0307,0.1382,0.1342,0.0972,0.1150,-0.0150,0.0893,0.0428,0.1460
R039,-0.1265,-0.1164,-0.0987,0.0844,-0.0329,0.0115,-0.0133,-0.1247,-0.0305,-0.0187,-0.0984,-0.0263,-0.1285,-0.0340,-0.0392,-0.0953,-0.1361,-0.1344,-0.1001,-0.1077,-0.1361,-0.0947,-0.0419,0.0097,-0.1291,-0.0525,0.1755,0.1322,0.1119,-0.0172,0.1497,-0.0228,-0.0502,0.0081,0.0253,0.1851,0.1493,0.1636,1.0000,0.8890,0.8785,0.8447,0.8460,0.8478,0.8548,0.8308,0.8193,0.8121,0.8338,0.8165,0.2318,0.1138,0.0485,0.3057,0.3681,0.1656,0.2267,0.2461,0.1979,0.2204,0.1774,0.2469,0.2535,0.1116,0.0843,0.1541,0.2237,0.2349,0.3042,0.2018,0.3001,0.2863,0.3214,0.2352,0.2388,0.2569,0.1880,0.2236,0.1674,0.2532,0.3583,0.2241,0.1798,0.2193,0.2437,0.3146,0.1923,0.2237,0.1766,0.2220,0.2264,0.2172,0.1966,0.1054,0.1895,0.2468,0.1917,0.2978,0.2682,0.2243
R040,-0.0999,-0.1247,-0.0453,0.0678,0.0009,0.0268,0.0115,-0.1056,0.0022,0.0014,-0.0767,-0.0230,-0.0964,-0.0135,0.0794,0.0179,-0.0159,-0.0006,0.0156,0.0066,-0.0242,0.0166,0.0586,0.1361,-0.0306,0.0419,0.2311,0.1928,0.1566,0.0395,0.2053,-0.0088,0.0022,0.0674,0.0392,0.2342,0.1878,0.2157,0.8890,1.0000,0.8429,0.8349,0.8105,0.8416,0.8138,0.8198,0.8131,0.8126,0.8193,0.7918,0.2927,0.1862,0.1482,0.3490,0.4194,0.2321,0.2789,0.2888,0.2166,0.2717,0.1891,0.2752,0.2902,0.1873,0.1299,0.2008,0.2532,0.2892,0.3382,0.2453,0.3283,0.3107,0.3278,0.2568,0.2576,0.2921,0.1965,0.2274,0.2005,0.2844,0.3594,0.2576,0.2017,0.2383,0.2709,0.3024,0.2128,0.2211,0.1974,0.2584,0.2715,0.2355,0.1969,0.1838,0.2261,0.2650,0.2175,0.3136,0.3113,0.2175
R041,-0.1249,-0.1300,-0.0758,0.0719,-0.0246,-0.0011,-0.0172,-0.1398,-0.0433,-0.0208,-0.0926,-0.0642,-0.1222,-0.0723,0.0396,-0.0405,-0.0591,-0.0734,-0.0214,-0.0557,-0.0851,-0.0615,-0.0111,0.0834,-0.1068,-0.0320,0.1570,0.0721,0.0625,-0.0775,0.0809,-0.0757,-0.0813,-0.0435,-0.0270,0.1368,0.1280,0.0894,0.8785,0.8429,1.0000,0.8302,0.8162,0.8046,0.8181,0.8061,0.7879,0.8132,0.8205,0.8086,0.1780,0.0618,0.0371,0.2479,0.3758,0.1143,0.2190,0.2478,0.1836,0.2421,0.1660,0.2434,0.2476,0.0812,0.0729,0.1382,0.1930,0.2288,0.2727,0.1968,0.2816,0.2930,0.3528,0.2234,0.2578,0.2642,0.1779,0.2108,0.1560,0.2387,0.3492,0.2293,0.1535,0.1984,0.2231,0.2985,0.1968,0.2109,0.1646,0.2419,0.2070,0.2198,0.1778,0.1104,0.1812,0.2186,0.1778,0.2906,0.2842,0.2081
R042,-0.0666,-0.1005,-0.0512,0.1604,0.0239,0.0751,0.0352,-0.0997,0.0064,0.0078,-0.0336,0.0203,-0.0540,0.0115,-0.0631,-0.1570,-0.1737,-0.1719,-0.1662,-0.1749,-0.1494,-0.1084,-0.0958,-0.0215,-0.1767,-0.1281,0.2962,0.2132,0.2464,0.0931,0.2332,0.0923,0.0836,0.0632,0.1488,0.2590,0.2503,0.2179,0.8447,0.8349,0.8302,1.0000,0.8474,0.8656,0.8125,0.8620,0.7927,0.8359,0.8261,0.8300,0.2867,0.1406,0.0971,0.3479,0.3656,0.2009,0.2759,0.2622,0.2309,0.2685,0.2516,0.2563,0.2756,0.1693,0.1462,0.1760,0.2420,0.2820,0.3227,0.2354,0.1566,0.1367,0.1976,0.0956,0.0996,0.1164,0.0229,0.0797,0.0472,0.1048,0.2259,0.0931,0.0230,0.0870,0.0708,0.1961,0.0569,0.0790,0.0322,0.0673,0.0758,0.0686,0.0539,-0.0239,0.0714,0.0958,0.0323,0.1712,0.1318,0.0862
R043,-0.2375,-0.2737,-0.2131,-0.0272,-0.1544,-0.0996,-0.1123,-0.2210,-0.1622,-0.1198,-0.1921,-0.1524,-0.2215,-0.1297,-0.1179,-0.1951,-0.2161,-0.1979,-0.2001,-0.2097,-0.2120,-0.1783,-0.1491,-0.0943,-0.2103,-0.1854,0.1390,0.0609,0.0741,-0.0684,0.0865,-0.0488,-0.0729,-0.0748,-0.0007,0.1120,0.1210,0.1092,0.8460,0.8105,0.8162,0.8474,1.0000,0.8236,0.8072,0.8350,0.7632,0.7867,0.8356,0.8373,0.2270,0.0765,0.0288,0.3223,0.3783,0.1884,0.2599,0.3021,0.2456,0.2780,0.2551,0.2579,0.3143,0.1730,0.1397,0.1810,0.2608,0.2880,0.3197,0.2144,0.0990,0.1166,0.1491,0.0474,0.0453,0.0807,-0.0160,0.0126,-0.0013,0.0929,0.1913,0.0650,-0.0241,0.0358,-0.0019,0.1549,-0.0017,0.0244,-0.0047,0.0069,0.0256,0.0435,0.0031,-0.0689,0.0184,0.0605,0.0052,0.1366,0.0671,0.0374
R044,-0.0680,-0.0647,-0.0723,0.1666,0.0220,0.0635,0.0472,-0.0665,0.0236,0.0183,-0.0398,0.0370,-0.0380,0.0142,-0.0383,-0.1005,-0.1334,-0.1438,-0.1195,-0.1395,-0.1294,-0.0664,-0.0681,-0.0074,-0.1383,-0.0744,0.2317,0.1749,0.1546,0.0620,0.1844,0.0494,0.0269,0.0274,0.1185,0.2278,0.1890,0.2372,0.8478,0.8416,0.8046,0.8656,0.8236,1.0000,0.7888,0.8480,0.8190,0.8016,0.8357,0.8088,0.2702,0.1386,0.1259,0.3159,0.3428,0.1888,0.2208,0.2244,0.2021,0.2263,0.1884,0.2102,0.2276,0.1432,0.1134,0.1540,0.2060,0.2604,0.2818,0.1992,0.1629,0.1607,0.1863,0.1017,0.1104,0.1298,0.0330,0.0848,0.0664,0.1464,0.2130,0.1014,0.0399,0.0902,0.0955,0.1822,0.0656,0.0871,0.0521,0.0805,0.1022,0.0920,0.0562,0.0065,0.0782,0.1121,0.0366,0.1710,0.1441,0.0716
R045,-0.1195,-0.1507,-0.1126,0.0756,-0.0423,-0.0315,-0.0158,-0.1427,-0.0909,-0.0388,-0.1193,-0.0264,-0.1696,-0.0776,-0.1178,-0.1458,-0.1906,-0.2138,-0.1649,-0.1750,-0.1998,-0.1282,-0.1550,-0.0525,-0.1880,-0.1288,0.1805,0.1380,0.1438,-0.0160,0.1496,0.0138,-0.0195,0.0494,0.0969,0.1956,0.1770,0.1437,0.8548,0.8138,0.8181,0.8125,0.8072,0.7888,1.0000,0.7989,0.7465,0.7533,0.7684,0.7985,0.0696,-0.0541,-0.0926,0.1664,0.2244,0.0177,0.2747,0.3145,0.2498,0.2882,0.2574,0.2991,0.2970,0.1713,0.1464,0.2072,0.2956,0.3035,0.3420,0.2414,0.2928,0.2702,0.3057,0.2124,0.2415,0.2453,0.1903,0.2377,0.2008,0.2466,0.3538,0.2054,0.1113,0.2237,0.1983,0.3356,0.1857,0.2554,0.1861,0.1967,0.2199,0.2185,0.1878,0.1220,0.1880,0.2285,0.1978,0.3276,0.2567,0.2227
R046,-0.1574,-0.1732,-0.1517,0.0586,-0.0621,-0.0526,-0.0543,-0.1368,-0.0794,-0.0771,-0.1289,-0.0501,-0.1293,-0.0926,-0.0709,-0.1441,-0.1617,-0.1734,-0.1401,-0.1525,-0.1476,-0.1014,-0.0960,-0.0377,-0.1575,-0.1220,0.1919,0.1514,0.1163,0.0121,0.1380,0.0203,-0.0226,0.0031,0.0677,0.1946,0.1713,0.1566,0.8308,0.8198,0.8061,0.8620,0.8350,0.8480,0.7989,1.0000,0.7617,0.8172,0.7830,0.8051,0.2527,0.1225,0.0627,0.3437,0.3571,0.1692,0.2674,0.2693,0.2403,0.2448,0.2153,0.2123,0.2553,0.1232,0.1427,0.1632,0.2290,0.2487,0.2964,0.2139,0.0846,0.1094,0.1365,0.0518,0.0428,0.0660,-0.0445,0.0021,0.0026,0.0608,0.1642,0.0183,-0.0432,0.0448,0.0254,0.1301,-0.0155,0.0134,-0.0275,0.0070,0.0233,-0.0032,-0.0256,-0.0742,-0.0089,0.0253,-0.0286,0.1110,0.0850,0.0043
R047,0.0013,-0.0247,0.0219,0.1990,0.1178,0.1204,0.1261,-0.0101,0.1002,0.0490,0.0237,0.0944,0.0515,0.0878,0.0717,-0.0016,-0.0484,-0.0239,-0.0170,-0.0300,-0.0189,0.0057,0.0302,0.1008,-0.0376,0.0157,0.2106,0.1316,0.1096,0.0190,0.1617,-0.0019,-0.0407,0.0137,0.0461,0.1843,0.1691,0.1745,0.8193,0.8131,0.7879,0.7927,0.7632,0.8190,0.7465,0.7617,1.0000,0.7850,0.7944,0.7860,0.2882,0.1672,0.1383,0.3255,0.3797,0.1990,0.2060,0.2294,0.1924,0.2092,0.1648,0.2429,0.2402,0.1039,0.1135,0.1224,0.2059,0.2145,0.2519,0.2184,0.1867,0.1635,0.1990,0.1312,0.1111,0.1549,0.0461,0.1247,0.0447,0.2002,0.2022,0.1089,0.0596,0.0865,0.1282,0.1978,0.0806,0.0836,0.0881,0.0853,0.1105,0.1120,0.0354,0.0215,0.0791,0.0871,0.0615,0.1413,0.1631,0.0636
R048,-0.0823,-0.1409,-0.0401,0.0695,-0.0013,0.0015,0.0250,-0.1050,-0.0359,-0.0077,-0.0445,-0.0293,-0.0663,-0.0223,0.0502,-0.0380,-0.0529,-0.0345,-0.0312,-0.0206,-0.0418,0.0212,0.0322,0.1115,-0.0234,0.0057,0.2859,0.1858,0.2006,0.0824,0.2080,0.0729,0.0256,0.0724,0.0707,0.2546,0.2544,0.2020,0.8121,0.8126,0.8132,0.8359,0.7867,0.8016,0.7533,0.8172,0.7850,1.0000,0.7699,0.7927,0.3241,0.2281,0.1765,0.3907,0.4445,0.2517,0.3212,0.3279,0.2597,0.3020,0.2716,0.3048,0.3403,0.2029,0.1918,0.2329,0.2773,0.3524,0.3551,0.2777,0.2053,0.1948,0.2259,0.1586,0.1464,0.1945,0.0804,0.1172,0.0948,0.1743,0.2346,0.1830,0.0810,0.1308,0.1365,0.1926,0.1046,0.1216,0.0840,0.1218,0.1306,0.1217,0.0941,0.0653,0.1259,0.1352,0.0834,0.2243,0.2013,0.1226
R049,-0.0806,-0.0956,-0.0695,0.1027,-0.0150,0.0529,0.0355,-0.1146,-0.0198,0.0064,-0.0597,0.0082,-0.0728,-0.0014,-0.0821,-0.1515,-0.1846,-0.1713,-0.1338,-0.1946,-0.1634,-0.1428,-0.1192,-0.0574,-0.1863,-0.1331,0.1366,0.0667,0.0662,-0.0339,0.0595,-0.0562,-0.0867,-0.0549,0.0061,0.1513,0.1026,0.1095,0.8338,0.8193,0.8205,0.8261,0.8356,0.8357,0.7684,0.7830,0.7944,0.7699,1.0000,0.8045,0.2746,0.1576,0.1068,0.3140,0.3813,0.2097,0.2626,0.2415,0.2222,0.2195,0.1951,0.2482,0.2532,0.1367,0.1306,0.1533,0.2028,0.2404,0.2997,0.2106,0.1876,0.1767,0.1691,0.0937,0.1099,0.1155,0.0418,0.0970,0.0500,0.1469,0.2360,0.1075,0.0526,0.1179,0.1227,0.1925,0.0653,0.0877,0.0590,0.0762,0.1047,0.0915,0.0483,-0.0126,0.0899,0.1202,0.0658,0.1953,0.1626,0.0912
R050,-0.1212,-0.1699,-0.1409,0.0598,-0.0756,-0.0228,-0.0495,-0.1480,-0.0949,-0.0563,-0.1190,-0.0655,-0.1344,-0.0632,-0.1879,-0.2435,-0.2677,-0.2787,-0.2489,-0.2623,-0.2593,-0.2336,-0.2038,-0.1442,-0.2865,-0.2062,0.1274,0.0294,0.0674,-0.0960,0.0688,-0.0930,-0.0737,-0.1012,-0.0058,0.1157,0.0927,0.0653,0.8165,0.7918,0.8086,0.8300,0.8373,0.8088,0.7985,0.8051,0.7860,0.7927,0.8045,1.0000,0.1771,0.0107,-0.0179,0.2340,0.3307,0.0766,0.1268,0.1684,0.1215,0.1698,0.1276,0.1300,0.1694,0.0381,0.0101,0.0413,0.1384,0.1909,0.1979,0.1079,0.1672,0.2194,0.2377,0.0992,0.1266,0.1635,0.0551,0.1161,0.0619,0.2093,0.2426,0.1109,0.0272,0.1493,0.0944,0.2135,0.0911,0.1343,0.1117,0.1086,0.0902,0.1601,0.0439,0.0007,0.0794,0.1098,0.1001,0.1955,0.1676,0.0918
R051,0.0560,0.0245,0.1669,0.0670,0.2011,0.0732,0.0915,0.0153,0.1665,0.0645,0.1062,0.0493,0.1321,0.1558,0.2918,0.2051,0.2061,0.3219,0.2281,0.1914,0.2884,0.2703,0.3399,0.2818,0.2978,0.1973,0.2954,0.2100,0.2121,0.2477,0.2523,0.1955,0.1417,0.1771,0.0868,0.2255,0.1743,0.2128,0.2318,0.2927,0.1780,0.2867,0.2270,0.2702,0.0696,0.2527,0.2882,0.3241,0.2746,0.1771,1.0000,0.8249,0.7746,0.7723,0.7273,0.7903,0.1594,0.1869,0.1637,0.1369,0.2197,0.2406,0.2600,0.2598,0.1619,0.1852,0.1372,0.2066,0.1769,0.2659,0.1529,0.0504,0.1672,0.1037,0.1112,0.1008,-0.0059,0.0398,0.0599,0.1532,0.0590,0.2115,0.1594,0.0864,0.1102,0.0285,0.0973,-0.0393,0.0175,0.1464,0.0717,0.0409,0.0461,0.0632,0.2031,0.0935,0.0178,0.0411,0.1397,0.0878
R052,0.2144,0.1533,0.3343,0.1398,0.3146,0.2155,0.2120,0.1562,0.3357,0.1947,0.2775,0.1969,0.2932,0.3316,0.4497,0.3688,0.3752,0.4809,0.3859,0.3656,0.4385,0.4304,0.5043,0.4118,0.4640,0.3720,0.4004,0.3524,0.3445,0.4215,0.3701,0.3185,0.2418,0.3449,0.1934,0.3931,0.2847,0.3567,0.1138,0.1862,0.0618,0.1406,0.0765,0.1386,-0.0541,0.1225,0.1672,0.2281,0.1576,0.0107,0.8249,1.0000,0.8298,0.7529,0.7250,0.8547,0.2224,0.1752,0.2001,0.1323,0.2523,0.2929,0.2665,0.2904,0.2395,0.2597,0.1392,0.2183,0.2182,0.3427,0.0978,-0.0386,0.1271,0.1080,0.0635,0.0902,-0.0564,0.0010,0.0503,0.1017,-0.0429,0.1945,0.1605,0.0399,0.1073,-0.0235,0.0317,-0.0755,-0.0032,0.0925,0.0641,-0.0087,0.0166,0.0511,0.1904,0.0547,-0.0175,0.0260,0.1165,0.0767
