,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R039,0.2919,0.2694,0.2049,0.2482,0.2071,0.2462,0.2573,0.1678,0.3288,0.2793,0.2364,0.3261,0.2643,0.1864,0.0455,0.1967,0.2218,0.1295,0.0037,0.1648,0.0428,0.0992,0.0982,0.1354,0.2545,0.4074,0.1955,0.2142,0.2792,0.3492,0.2897,0.2810,0.2888,0.2596,0.2376,0.3165,0.8208,0.7683,1.0000,0.7934,0.8262,0.7901,0.7695,0.7340,0.8177,0.7922,0.8023,0.8115,0.8098,0.7818,0.4804,0.4813,0.5156,0.5896,0.4853,0.3490,0.3891,0.3508,0.5558,0.4505,0.0906,0.0171,0.0885,-0.1187,0.1357,0.1204,0.0298,0.1392
R040,0.3110,0.2747,0.1927,0.2554,0.1980,0.2380,0.2966,0.1927,0.3343,0.2619,0.2562,0.2661,0.3070,0.1783,-0.0278,0.1816,0.1466,0.1025,-0.0668,0.1452,-0.0200,0.0601,0.0527,0.0312,0.1768,0.3269,0.2038,0.2749,0.3857,0.3763,0.3450,0.3145,0.3697,0.3406,0.3016,0.3661,0.8039,0.7857,0.7934,1.0000,0.7895,0.7746,0.7714,0.7381,0.8078,0.7633,0.7699,0.7858,0.7815,0.7889,0.4421,0.3666,0.3839,0.4996,0.3652,0.2453,0.2629,0.2426,0.4509,0.3746,0.0866,0.0051,0.0532,-0.1130,0.0800,0.1344,0.0318,0.1226
R041,0.1880,0.2298,0.1143,0.1385,0.0654,0.1317,0.1772,0.0899,0.2024,0.1759,0.1666,0.1921,0.2282,0.1245,-0.0814,0.1121,0.0907,-0.0319,-0.0645,0.0986,-0.0670,0.0759,-0.0041,0.0677,0.1529,0.2639,0.1211,0.1501,0.2583,0.2814,0.2386,0.1659,0.1497,0.1816,0.1833,0.2111,0.8346,0.7650,0.8262,0.7895,1.0000,0.7542,0.7578,0.7446,0.8152,0.7676,0.8028,0.7743,0.8448,0.7676,0.4964,0.4543,0.4757,0.5648,0.4693,0.3726,0.3639,0.3584,0.5520,0.5204,0.0629,0.0302,0.1434,-0.1158,0.1388,0.1501,0.0773,0.1277
R042,0.3320,0.3329,0.2573,0.3167,0.2125,0.2751,0.2946,0.2427,0.3746,0.3060,0.3155,0.3827,0.3423,0.2470,-0.0680,0.1367,0.1969,0.0593,-0.0157,0.1101,-0.0252,0.0359,0.0087,0.0516,0.1809,0.3091,0.1925,0.2833,0.3678,0.4055,0.3181,0.2987,0.3458,0.3187,0.3055,0.3996,0.7991,0.7675,0.7901,0.7746,0.7542,1.0000,0.7563,0.7144,0.7851,0.7763,0.7635,0.7752,0.7742,0.7153,0.4614,0.4157,0.4537,0.5461,0.4292,0.3252,0.3281,0.3318,0.4889,0.3829,0.1133,0.0488,0.0798,-0.1164,0.1053,0.1475,0.0660,0.1183
R043,0.2173,0.2142,0.1127,0.1718,0.1619,0.1986,0.2260,0.1165,0.2446,0.2036,0.1559,0.2795,0.2314,0.1188,0.0266,0.2098,0.1719,0.0904,-0.0622,0.1147,0.0310,0.0920,0.0905,0.0800,0.2453,0.3086,0.2634,0.2277,0.3154,0.3966,0.3518,0.3041,0.3092,0.3051,0.3316,0.3275,0.7396,0.7135,0.7695,0.7714,0.7578,0.7563,1.0000,0.7185,0.7904,0.7518,0.7750,0.7594,0.7645,0.7593,0.4557,0.3905,0.4245,0.4716,0.3840,0.2554,0.2760,0.3198,0.4448,0.3844,0.0155,-0.0568,0.0322,-0.1793,0.0418,0.0909,-0.0480,0.0914
R044,0.3763,0.3563,0.2402,0.2663,0.2071,0.2552,0.3227,0.1825,0.3478,0.3101,0.2709,0.3095,0.2989,0.2051,-0.0416,0.1916,0.1610,0.0879,-0.0534,0.1332,-0.0658,0.0625,0.0970,0.0473,0.1007,0.3018,0.3549,0.4006,0.4183,0.4194,0.3976,0.3273,0.3878,0.3610,0.3980,0.4178,0.7463,0.7709,0.7340,0.7381,0.7446,0.7144,0.7185,1.0000,0.7613,0.7892,0.7810,0.7737,0.7862,0.7653,0.5383,0.4640,0.5179,0.5658,0.4903,0.4008,0.3736,0.4032,0.5765,0.4465,0.2497,0.2015,0.2595,0.0892,0.2703,0.3440,0.2700,0.2912
R045,0.1727,0.1716,0.0530,0.0943,0.0516,0.0810,0.1371,0.0430,0.1843,0.1166,0.0682,0.1883,0.1325,0.0438,0.0471,0.2074,0.2558,0.1406,0.0544,0.2036,0.0472,0.1288,0.1371,0.1844,0.2183,0.3699,0.1982,0.2179,0.3457,0.3323,0.2909,0.3017,0.2990,0.2609,0.2405,0.3523,0.7979,0.7619,0.8177,0.8078,0.8152,0.7851,0.7904,0.7613,1.0000,0.7942,0.8422,0.7626,0.8100,0.7330,0.5160,0.4289,0.4552,0.5493,0.4846,0.3782,0.3281,0.3917,0.5448,0.4215,0.1525,0.1000,0.1855,-0.0375,0.1948,0.1970,0.1277,0.2334
R046,0.3573,0.3496,0.2250,0.2616,0.1915,0.2986,0.3233,0.2018,0.3542,0.2699,0.2599,0.3688,0.3198,0.2223,-0.0100,0.1693,0.2658,0.1542,0.0665,0.2128,0.0434,0.0878,0.1633,0.0594,0.2263,0.4196,0.2732,0.3659,0.3893,0.4374,0.3928,0.3526,0.3832,0.3507,0.3520,0.4287,0.7501,0.8152,0.7922,0.7633,0.7676,0.7763,0.7518,0.7892,0.7942,1.0000,0.7674,0.7883,0.7848,0.8156,0.5565,0.5274,0.5444,0.6334,0.5092,0.4476,0.4092,0.4414,0.5537,0.5035,0.2473,0.1831,0.2101,0.0021,0.2156,0.2307,0.1587,0.2422
R047,0.2715,0.2744,0.1585,0.1731,0.1342,0.1697,0.2323,0.1212,0.2747,0.2176,0.1641,0.2405,0.2439,0.1540,-0.0610,0.1729,0.2245,0.1124,-0.0500,0.1288,0.0153,0.1039,0.0756,0.0671,0.2285,0.3277,0.1711,0.2197,0.3008,0.3143,0.2917,0.2402,0.2698,0.2584,0.2214,0.3538,0.7980,0.7582,0.8023,0.7699,0.8028,0.7635,0.7750,0.7810,0.8422,0.7674,1.0000,0.7754,0.8147,0.7550,0.5309,0.5071,0.5322,0.5872,0.5504,0.3789,0.3910,0.3713,0.6023,0.4942,0.1137,0.0893,0.1851,-0.0415,0.2347,0.1981,0.1278,0.1982
R048,0.3483,0.3993,0.2764,0.3170,0.2270,0.2949,0.3536,0.2532,0.3942,0.3576,0.3342,0.3648,0.3313,0.2646,-0.1700,0.0264,0.1224,-0.0375,-0.1679,0.0325,-0.1025,-0.0515,-0.0726,-0.0545,0.0775,0.2574,0.1943,0.2172,0.2875,0.3533,0.2725,0.2415,0.3017,0.2732,0.2934,0.3016,0.7782,0.7921,0.8115,0.7858,0.7743,0.7752,0.7594,0.7737,0.7626,0.7883,0.7754,1.0000,0.8019,0.7680,0.4737,0.4673,0.5060,0.5682,0.4525,0.3717,0.3968,0.3928,0.5474,0.4290,0.1390,0.1211,0.1524,-0.0055,0.1602,0.2673,0.1039,0.2406
R049,0.2234,0.2269,0.1214,0.1667,0.1002,0.1317,0.2331,0.0892,0.2488,0.1859,0.1604,0.2061,0.2100,0.1380,0.0145,0.1450,0.1940,0.0583,-0.0081,0.1778,-0.0125,0.1000,0.0752,0.1043,0.1928,0.3388,0.1493,0.2001,0.2847,0.3283,0.2996,0.2041,0.2382,0.2282,0.2599,0.3050,0.8011,0.7702,0.8098,0.7815,0.8448,0.7742,0.7645,0.7862,0.8100,0.7848,0.8147,0.8019,1.0000,0.8039,0.5430,0.4517,0.4680,0.5396,0.4911,0.4008,0.3827,0.3842,0.5437,0.4963,0.2092,0.1047,0.2009,-0.0384,0.2000,0.2332,0.1481,0.1920
R050,0.3117,0.2809,0.1746,0.2162,0.2048,0.2096,0.2559,0.1282,0.3218,0.2375,0.2391,0.3335,0.2856,0.1813,0.0650,0.2242,0.2555,0.1585,0.0534,0.2139,0.0453,0.1555,0.1411,0.1057,0.2470,0.4144,0.2781,0.3449,0.3920,0.4314,0.4238,0.3783,0.4000,0.3971,0.3979,0.3819,0.7407,0.7778,0.7818,0.7889,0.7676,0.7153,0.7593,0.7653,0.7330,0.8156,0.7550,0.7680,0.8039,1.0000,0.4138,0.3637,0.4020,0.4877,0.3931,0.2536,0.2581,0.2506,0.4227,0.3825,0.1225,0.0128,0.0580,-0.1396,0.0838,0.1308,0.0348,0.1349
R051,0.2213,0.2272,0.2031,0.1943,0.0516,0.2105,0.2063,0.1388,0.2274,0.1740,0.1754,0.2672,0.2805,0.1161,0.0493,0.1054,0.1756,0.1738,0.0928,0.1907,0.0477,0.0374,0.0939,0.1182,0.1997,0.4250,0.2142,0.3159,0.3065,0.2890,0.2801,0.2752,0.2837,0.2592,0.2574,0.3586,0.4639,0.4700,0.4804,0.4421,0.4964,0.4614,0.4557,0.5383,0.5160,0.5565,0.5309,0.4737,0.5430,0.4138,1.0000,0.7820,0.7590,0.7109,0.7039,0.6468,0.7277,0.7188,0.7642,0.7445,0.2172,0.2054,0.3561,0.0699,0.2547,0.3083,0.2147,0.2938
R052,0.3833,0.4146,0.2712,0.2987,0.1895,0.3425,0.3558,0.2425,0.3535,0.3118,0.3306,0.3951,0.4006,0.2845,0.0024,0.0299,0.1551,0.0734,-0.0047,0.0746,-0.0077,-0.0209,0.0298,0.0484,0.1923,0.3724,0.2801,0.3609,0.2984,0.3247,0.3145,0.3274,0.3291,0.2964,0.3152,0.4152,0.4367,0.4072,0.4813,0.3666,0.4543,0.4157,0.3905,0.4640,0.4289,0.5274,0.5071,0.4673,0.4517,0.3637,0.7820,1.0000,0.8401,0.7802,0.7782,0.7243,0.8177,0.7441,0.8255,0.8204,0.3259,0.2826,0.4060,0.2087,0.3592,0.3724,0.3066,0.3972
R053,0.3389,0.3169,0.2727,0.3154,0.1749,0.3401,0.3635,0.2460,0.3407,0.2642,0.2959,0.3707,0.3112,0.2018,0.0298,0.1051,0.2239,0.1833,0.0584,0.1375,0.1002,0.0609,0.1080,0.1320,0.2580,0.4530,0.3804,0.4223,0.3978,0.4140,0.4039,0.3941,0.3753,0.4130,0.3999,0.5098,0.4463,0.4039,0.5156,0.3839,0.4757,0.4537,0.4245,0.5179,0.4552,0.5444,0.5322,0.5060,0.4680,0.4020,0.7590,0.8401,1.0000,0.8322,0.7658,0.7168,0.8495,0.7678,0.8467,0.8179,0.3341,0.2924,0.3602,0.1549,0.3192,0.3315,0.2805,0.3840
R054,0.3913,0.3539,0.3070,0.3105,0.2189,0.3303,0.3640,0.2575,0.3902,0.2307,0.2620,0.4115,0.3708,0.2275,0.0510,0.1376,0.2563,0.1643,0.0369,0.2124,0.0951,0.0731,0.1447,0.1358,0.2481,0.4656,0.3574,0.4315,0.4342,0.4447,0.4000,0.4280,0.3871,0.4570,0.4306,0.4964,0.5594,0.5589,0.5896,0.4996,0.5648,0.5461,0.4716,0.5658,0.5493,0.6334,0.5872,0.5682,0.5396,0.4877,0.7109,0.7802,0.8322,1.0000,0.7806,0.7367,0.7790,0.7599,0.8062,0.7707,0.2529,0.2770,0.3452,0.1267,0.3385,0.3159,0.2581,0.3147
R055,0.2612,0.2482,0.1717,0.2025,0.2122,0.1963,0.2446,0.1327,0.2560,0.1554,0.1651,0.2592,0.2594,0.1788,0.0517,0.1214,0.3031,0.1358,0.0548,0.1800,0.0963,0.0855,0.1069,0.1105,0.2584,0.4148,0.1930,0.2385,0.2072,0.2265,0.2197,0.2897,0.2513,0.2458,0.2654,0.3297,0.4164,0.4307,0.4853,0.3652,0.4693,0.4292,0.3840,0.4903,0.4846,0.5092,0.5504,0.4525,0.4911,0.3931,0.7039,0.7782,0.7658,0.7806,1.0000,0.7272,0.7956,0.7242,0.7931,0.7470,0.2304,0.2615,0.3724,0.1218,0.3484,0.2828,0.2658,0.2448
R056,0.2258,0.2553,0.1033,0.1269,0.0731,0.1377,0.1761,0.1016,0.1896,0.0605,0.1409,0.2116,0.1962,0.0427,-0.0580,0.0282,0.1165,0.0577,0.0231,0.1506,-0.0169,-0.0263,0.0710,0.0655,0.1568,0.3043,0.2558,0.3170,0.2734,0.2821,0.3109,0.2664,0.3124,0.2721,0.2977,0.3351,0.3489,0.2747,0.3490,0.2453,0.3726,0.3252,0.2554,0.4008,0.3782,0.4476,0.3789,0.3717,0.4008,0.2536,0.6468,0.7243,0.7168,0.7367,0.7272,1.0000,0.7475,0.7206,0.7197,0.7120,0.3615,0.3184,0.4612,0.2900,0.3940,0.3706,0.3553,0.4059
R057,0.3110,0.3181,0.2539,0.2990,0.1676,0.2802,0.3223,0.2149,0.2686,0.2332,0.2417,0.3224,0.3316,0.2282,-0.0177,0.0414,0.1798,0.1017,0.0411,0.0665,0.0085,0.0114,0.0544,0.0620,0.2055,0.3576,0.2061,0.2719,0.2398,0.2522,0.2584,0.2158,0.2129,0.2602,0.2379,0.3569,0.3173,0.2947,0.3891,0.2629,0.3639,0.3281,0.2760,0.3736,0.3281,0.4092,0.3910,0.3968,0.3827,0.2581,0.7277,0.8177,0.8495,0.7790,0.7956,0.7475,1.0000,0.8063,0.8228,0.8128,0.2620,0.2706,0.3737,0.1741,0.3093,0.3464,0.2325,0.3116
R058,0.1542,0.1741,0.1493,0.1274,0.0736,0.1942,0.1602,0.1306,0.1926,0.1230,0.1034,0.1674,0.1618,0.0589,-0.0388,0.0402,0.2026,0.1024,0.0716,0.1453,0.0494,-0.0129,0.1060,0.1490,0.1761,0.3879,0.2660,0.3235,0.3150,0.2752,0.2738,0.2901,0.2385,0.2927,0.2947,0.3631,0.3308,0.2967,0.3508,0.2426,0.3584,0.3318,0.3198,0.4032,0.3917,0.4414,0.3713,0.3928,0.3842,0.2506,0.7188,0.7441,0.7678,0.7599,0.7242,0.7206,0.8063,1.0000,0.7825,0.7679,0.1706,0.2115,0.2977,0.1325,0.2458,0.2850,0.1863,0.2504
R059,0.2598,0.2957,0.2039,0.2294,0.1545,0.2480,0.2895,0.1828,0.2459,0.2418,0.2114,0.2650,0.2916,0.1511,0.0250,0.1035,0.2419,0.1220,0.0203,0.1645,0.0418,0.0531,0.1189,0.1299,0.2229,0.4722,0.2097,0.3413,0.3069,0.3105,0.2958,0.2737,0.2618,0.2982,0.2503,0.3757,0.5288,0.4823,0.5558,0.4509,0.5520,0.4889,0.4448,0.5765,0.5448,0.5537,0.6023,0.5474,0.5437,0.4227,0.7642,0.8255,0.8467,0.8062,0.7931,0.7197,0.8228,0.7825,1.0000,0.8243,0.2702,0.2579,0.3970,0.1520,0.3647,0.3614,0.2754,0.3145
R060,0.2516,0.2610,0.1969,0.2015,0.1275,0.2273,0.2614,0.1586,0.2670,0.1751,0.2128,0.2615,0.3002,0.1368,0.0716,0.1102,0.2317,0.1656,0.0850,0.1980,0.1305,0.1372,0.1502,0.1645,0.2869,0.4255,0.3122,0.3899,0.3590,0.3466,0.3826,0.3484,0.2812,0.3609,0.3299,0.4393,0.4523,0.4045,0.4505,0.3746,0.5204,0.3829,0.3844,0.4465,0.4215,0.5035,0.4942,0.4290,0.4963,0.3825,0.7445,0.8204,0.8179,0.7707,0.7470,0.7120,0.8128,0.7679,0.8243,1.0000,0.2585,0.2389,0.3477,0.1066,0.2716,0.3155,0.2353,0.2773
R061,0.3134,0.3375,0.1886,0.1869,0.1368,0.1967,0.2931,0.1881,0.2409,0.2396,0.2788,0.1730,0.1901,0.2568,-0.0061,-0.0598,0.0541,0.0139,0.0154,0.0172,-0.1104,0.0180,-0.0055,-0.0334,-0.0173,0.0462,0.2645,0.3408,0.2944,0.2346,0.3065,0.3176,0.3206,0.2593,0.3193,0.2830,0.1417,0.1695,0.0906,0.0866,0.0629,0.1133,0.0155,0.2497,0.1525,0.2473,0.1137,0.1390,0.2092,0.1225,0.2172,0.3259,0.3341,0.2529,0.2304,0.3615,0.2620,0.1706,0.2702,0.2585,1.0000,0.7028,0.6726,0.6421,0.6229,0.7236,0.7021,0.6718
R062,0.3539,0.3439,0.1679,0.1652,0.1768,0.1649,0.2809,0.2277,0.2172,0.2275,0.2322,0.1597,0.1850,0.2692,-0.1401,-0.2309,0.0130,-0.0711,-0.0640,-0.1422,-0.1773,-0.1648,-0.0896,-0.1349,-0.1909,-0.0758,0.2479,0.3082,0.2873,0.1083,0.2345,0.2348,0.2408,0.2287,0.2560,0.2799,0.0606,0.1743,0.0171,0.0051,0.0302,0.0488,-0.0568,0.2015,0.1000,0.1831,0.0893,0.1211,0.1047,0.0128,0.2054,0.2826,0.2924,0.2770,0.2615,0.3184,0.2706,0.2115,0.2579,0.2389,0.7028,1.0000,0.7922,0.7663,0.7486,0.8010,0.8167,0.6648
R063,0.2459,0.2188,0.0885,0.0561,0.0467,0.0748,0.1485,0.0991,0.0904,0.1220,0.1254,0.0801,0.0572,0.1618,-0.0330,-0.1135,0.0383,0.0094,0.0357,0.0043,-0.0898,-0.0597,-0.0159,-0.0086,-0.0639,0.0278,0.1489,0.1988,0.1912,0.0238,0.1538,0.1847,0.1645,0.1899,0.1679,0.2263,0.1636,0.2079,0.0885,0.0532,0.1434,0.0798,0.0322,0.2595,0.1855,0.2101,0.1851,0.1524,0.2009,0.0580,0.3561,0.4060,0.3602,0.3452,0.3724,0.4612,0.3737,0.2977,0.3970,0.3477,0.6726,0.7922,1.0000,0.7239,0.7597,0.7399,0.8086,0.7489
R064,0.2664,0.3667,0.1423,0.1208,0.1321,0.1213,0.2489,0.1522,0.1951,0.2184,0.1987,0.1021,0.1076,0.2344,-0.2490,-0.3432,-0.1922,-0.2360,-0.1723,-0.2280,-0.2956,-0.3121,-0.2293,-0.2300,-0.3477,-0.2291,0.2108,0.2030,0.1989,-0.0006,0.1701,0.1568,0.1714,0.1363,0.1426,0.1563,-0.0568,0.0458,-0.1187,-0.1130,-0.1158,-0.1164,-0.1793,0.0892,-0.0375,0.0021,-0.0415,-0.0055,-0.0384,-0.1396,0.0699,0.2087,0.1549,0.1267,0.1218,0.2900,0.1741,0.1325,0.1520,0.1066,0.6421,0.7663,0.7239,1.0000,0.7461,0.7716,0.7868,0.7039
R065,0.2396,0.2729,0.0986,0.0481,0.1112,0.0721,0.1811,0.0876,0.1434,0.1864,0.1174,0.0643,0.1068,0.1469,-0.1155,-0.2054,-0.0526,-0.1357,-0.0338,-0.1275,-0.2099,-0.2060,-0.1061,-0.1022,-0.1264,-0.0865,0.1415,0.1634,0.1853,0.0860,0.1659,0.1762,0.1716,0.1434,0.1296,0.2122,0.1591,0.2758,0.1357,0.0800,0.1388,0.1053,0.0418,0.2703,0.1948,0.2156,0.2347,0.1602,0.2000,0.0838,0.2547,0.3592,0.3192,0.3385,0.3484,0.3940,0.3093,0.2458,0.3647,0.2716,0.6229,0.7486,0.7597,0.7461,1.0000,0.7812,0.7907,0.6668
R066,0.3884,0.4015,0.2225,0.1883,0.1607,0.1919,0.2584,0.1984,0.2663,0.3329,0.3171,0.2194,0.2489,0.2744,-0.1834,-0.2574,-0.1204,-0.1883,-0.1514,-0.1709,-0.3423,-0.2300,-0.1934,-0.1779,-0.2359,-0.1080,0.2479,0.3029,0.3082,0.1884,0.3162,0.2636,0.3006,0.2513,0.2621,0.2791,0.1796,0.2700,0.1204,0.1344,0.1501,0.1475,0.0909,0.3440,0.1970,0.2307,0.1981,0.2673,0.2332,0.1308,0.3083,0.3724,0.3315,0.3159,0.2828,0.3706,0.3464,0.2850,0.3614,0.3155,0.7236,0.8010,0.7399,0.7716,0.7812,1.0000,0.8092,0.7761
R067,0.2705,0.3114,0.0973,0.0696,0.0486,0.0731,0.2093,0.1167,0.1628,0.1471,0.1723,0.0988,0.0691,0.2108,-0.1159,-0.1730,-0.0951,-0.0981,-0.0606,-0.0870,-0.2275,-0.1426,-0.1222,-0.1061,-0.1751,-0.0767,0.1987,0.2289,0.2389,0.1050,0.2100,0.1670,0.2413,0.1978,0.2460,0.2595,0.0864,0.2019,0.0298,0.0318,0.0773,0.0660,-0.0480,0.2700,0.1277,0.1587,0.1278,0.1039,0.1481,0.0348,0.2147,0.3066,0.2805,0.2581,0.2658,0.3553,0.2325,0.1863,0.2754,0.2353,0.7021,0.8167,0.8086,0.7868,0.7907,0.8092,1.0000,0.7323
R068,0.3120,0.2845,0.1482,0.1033,0.0020,0.1231,0.1973,0.1164,0.1885,0.2030,0.2072,0.1868,0.0764,0.1998,-0.0579,-0.1608,-0.0400,-0.0306,0.0221,0.0096,-0.1786,-0.1289,-0.0399,-0.0431,-0.0461,0.0246,0.2652,0.2904,0.2610,0.1658,0.2916,0.2670,0.2934,0.2627,0.2844,0.3091,0.1689,0.2678,0.1392,0.1226,0.1277,0.1183,0.0914,0.2912,0.2334,0.2422,0.1982,0.2406,0.1920,0.1349,0.2938,0.3972,0.3840,0.3147,0.2448,0.4059,0.3116,0.2504,0.3145,0.2773,0.6718,0.6648,0.7489,0.7039,0.6668,0.7761,0.7323,1.0000
