,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R030,0.0484,0.1521,0.1297,0.1519,0.0652,0.1323,0.1236,0.0980,0.1666,0.1164,0.0584,0.1814,0.0550,-0.0185,0.1420,0.1291,0.0454,0.0500,0.0351,0.1576,0.1666,0.1595,0.1660,0.2633,0.2516,0.2792,0.2195,0.2473,0.7764,1.0000,0.7635,0.7627,0.8172,0.7652,0.7853,0.7694,0.7889,0.7488,0.3727,0.3736,0.3110,0.3423,0.3189,0.4066,0.3532,0.4203,0.3476,0.3187,0.3674,0.3851,0.1937,0.1535,0.0919,0.0926,0.1195,0.1530,0.2024,0.1808,0.1240,0.1592,0.0888,0.1676,0.1463,0.0509,0.1513,0.2251,0.1449,0.1614,0.0915,0.1397,0.0603,0.1386,0.1061,0.1344,0.1404,0.1633,0.1210,0.1510,0.2209,0.1618,0.1988,0.1246,0.2397,0.2442,0.2771,0.1534,0.2012,0.2946,0.1622,0.1674
R031,0.1340,0.1908,0.2141,0.1793,0.1140,0.1757,0.1787,0.1319,0.2031,0.1522,0.0881,0.2139,0.1522,0.0375,0.1660,0.1392,0.1006,0.1186,-0.0509,0.0431,0.0853,0.0429,0.1643,0.2754,0.2408,0.2610,0.1881,0.2054,0.7637,0.7635,1.0000,0.7648,0.7649,0.7796,0.7714,0.7356,0.7854,0.7656,0.3364,0.3590,0.2955,0.2868,0.3147,0.3405,0.3404,0.3486,0.3221,0.2670,0.2703,0.3291,0.3168,0.2229,0.1920,0.2241,0.2763,0.2768,0.3133,0.2513,0.2028,0.2910,0.1731,0.2729,0.2686,0.1426,0.2703,0.2862,0.2313,0.2768,0.1337,0.1589,0.0969,0.1792,0.1227,0.1840,0.1751,0.1904,0.1700,0.1649,0.2312,0.1734,0.1906,0.0665,0.2010,0.2232,0.1870,0.1581,0.2197,0.2505,0.1623,0.1713
R032,0.1141,0.1806,0.1909,0.2112,0.1080,0.2045,0.1647,0.1385,0.1632,0.1510,0.0691,0.2005,0.1317,0.0577,0.1440,0.1460,0.0790,0.0879,0.0086,0.1275,0.1073,0.1153,0.1431,0.2596,0.2363,0.2743,0.1775,0.2117,0.7414,0.7627,0.7648,1.0000,0.7526,0.7569,0.8002,0.7332,0.7740,0.7724,0.3809,0.3762,0.3574,0.3062,0.3534,0.4122,0.3697,0.4242,0.3632,0.3233,0.3678,0.3488,0.3008,0.2138,0.1615,0.1699,0.2689,0.1868,0.2558,0.2799,0.2014,0.2343,0.1502,0.2471,0.2603,0.1246,0.2532,0.2952,0.2094,0.2585,0.1351,0.1054,0.0756,0.1464,0.0974,0.1537,0.1824,0.1727,0.1925,0.1046,0.1853,0.1359,0.1419,0.0987,0.1906,0.2030,0.1925,0.1985,0.1635,0.2381,0.1827,0.1608
R033,0.0865,0.1840,0.1892,0.1644,0.0957,0.1071,0.1084,0.0917,0.1694,0.1356,0.0564,0.1450,0.0885,0.0073,0.1652,0.1419,0.0327,0.0740,0.0130,0.1479,0.1197,0.1487,0.1486,0.2479,0.2343,0.2600,0.2182,0.2237,0.7845,0.8172,0.7649,0.7526,1.0000,0.8050,0.7992,0.7838,0.7933,0.7860,0.3875,0.3629,0.3179,0.3171,0.3394,0.4253,0.3518,0.3985,0.3588,0.3090,0.3717,0.3681,0.2357,0.1458,0.0768,0.1277,0.1576,0.1335,0.2338,0.1875,0.1742,0.1898,0.1029,0.1964,0.1484,0.0665,0.1815,0.2190,0.1335,0.1860,0.1048,0.1150,0.0211,0.1316,0.0502,0.1019,0.0962,0.0960,0.0773,0.0713,0.1761,0.1313,0.1056,0.0335,0.1496,0.1308,0.1654,0.1189,0.1254,0.2085,0.1067,0.0968
R034,0.1194,0.1931,0.2112,0.1894,0.1227,0.1739,0.1867,0.1190,0.1667,0.1694,0.1064,0.1815,0.1341,0.0775,0.1705,0.1707,0.0731,0.1118,-0.0282,0.0877,0.0779,0.0838,0.0921,0.2349,0.2134,0.1929,0.1594,0.1591,0.7812,0.7652,0.7796,0.7569,0.8050,1.0000,0.7882,0.7664,0.7793,0.8198,0.3248,0.3236,0.2758,0.2861,0.2727,0.3783,0.2955,0.3295,0.3015,0.2708,0.3090,0.2686,0.2279,0.1581,0.0611,0.1306,0.2290,0.1741,0.2422,0.2467,0.1378,0.2081,0.1450,0.2099,0.2287,0.0847,0.1536,0.2417,0.1161,0.2252,0.0479,0.0345,-0.0085,0.0866,0.0101,0.0794,0.0783,0.0569,0.0346,0.0500,0.0982,0.1026,0.0937,0.0668,0.1677,0.1662,0.2185,0.0691,0.1329,0.2294,0.1372,0.0802
R035,0.0853,0.1288,0.1669,0.1934,0.0720,0.1772,0.1291,0.0963,0.1677,0.1370,0.0423,0.1760,0.0925,0.0580,0.1331,0.1356,0.0803,0.1113,0.0469,0.2036,0.1808,0.1821,0.1791,0.2865,0.2725,0.2685,0.2139,0.2378,0.8061,0.7853,0.7714,0.8002,0.7992,0.7882,1.0000,0.7682,0.8054,0.7953,0.3582,0.3600,0.2929,0.3109,0.3393,0.4006,0.3503,0.3951,0.3523,0.2896,0.3295,0.3257,0.2773,0.1918,0.1083,0.1613,0.1948,0.1820,0.2779,0.2292,0.1795,0.2216,0.1197,0.2936,0.1920,0.1227,0.2063,0.2606,0.1410,0.2514,0.1195,0.0934,0.0173,0.1173,0.0524,0.1093,0.1270,0.0832,0.1127,0.0934,0.1502,0.1097,0.1840,0.1049,0.2020,0.2037,0.2675,0.1920,0.1338,0.2341,0.1827,0.1457
R036,0.1177,0.1993,0.2071,0.1606,0.1039,0.1630,0.1544,0.1168,0.1454,0.1358,0.0499,0.2021,0.1141,0.0299,0.1604,0.1675,0.0430,0.0771,0.0572,0.1680,0.2114,0.1966,0.1545,0.2772,0.2313,0.2622,0.1868,0.2319,0.7898,0.7694,0.7356,0.7332,0.7838,0.7664,0.7682,1.0000,0.7698,0.7529,0.4167,0.4306,0.3547,0.4087,0.4088,0.4557,0.4443,0.4767,0.4333,0.3466,0.4050,0.4254,0.2610,0.1824,0.1046,0.1433,0.1854,0.1487,0.2438,0.2148,0.1456,0.2326,0.1249,0.2645,0.2020,0.0919,0.2137,0.3216,0.1757,0.2330,0.1750,0.1634,0.0887,0.1934,0.1741,0.1663,0.1881,0.1905,0.1971,0.1975,0.2155,0.1641,0.1901,0.0831,0.1787,0.2024,0.2250,0.1495,0.1380,0.2697,0.1514,0.1527
R037,0.1688,0.2179,0.2242,0.2250,0.1434,0.2055,0.1917,0.1539,0.1789,0.1876,0.0999,0.2165,0.1720,0.0783,0.1993,0.1651,0.1157,0.1109,-0.0237,0.1251,0.0896,0.1109,0.1958,0.2958,0.2797,0.2901,0.2262,0.2483,0.7774,0.7889,0.7854,0.7740,0.7933,0.7793,0.8054,0.7698,1.0000,0.7723,0.3155,0.3335,0.3001,0.3097,0.2981,0.3961,0.3473,0.3779,0.3258,0.2815,0.2926,0.2982,0.2370,0.1642,0.1156,0.1966,0.1858,0.1927,0.2251,0.2545,0.1936,0.2413,0.1299,0.2590,0.2144,0.0702,0.2148,0.2716,0.2175,0.2103,0.1762,0.1725,0.1215,0.1837,0.1418,0.1958,0.1983,0.2279,0.1871,0.1748,0.2757,0.1947,0.1928,0.1032,0.2432,0.2034,0.2513,0.1560,0.1789,0.2520,0.1661,0.1617
R038,0.0501,0.1214,0.1339,0.1497,0.0746,0.1094,0.0957,0.0659,0.1262,0.1162,0.0370,0.1217,0.0704,-0.0143,0.1140,0.1253,0.0168,0.0324,0.0249,0.0966,0.1143,0.1303,0.1407,0.2919,0.2261,0.2516,0.2033,0.2214,0.7465,0.7488,0.7656,0.7724,0.7860,0.8198,0.7953,0.7529,0.7723,1.0000,0.3259,0.3308,0.2785,0.2835,0.2736,0.3943,0.3056,0.3892,0.3373,0.2463,0.3061,0.3102,0.2767,0.2191,0.1645,0.1677,0.2064,0.1937,0.3294,0.2657,0.1883,0.2899,0.1715,0.2580,0.2489,0.1475,0.2480,0.2857,0.1861,0.2566,0.0106,0.0276,-0.0166,0.0657,0.0009,0.0486,0.0545,0.0755,0.0495,-0.0023,0.1054,0.0419,0.1591,0.1030,0.1972,0.2020,0.2461,0.1283,0.1367,0.2603,0.1528,0.1116
R039,0.3466,0.2763,0.3574,0.3316,0.3424,0.3578,0.3585,0.3241,0.3535,0.3146,0.2780,0.3774,0.3210,0.2756,0.3611,0.3711,0.2811,0.2870,0.2454,0.1758,0.2956,0.2153,0.3413,0.3703,0.3735,0.4002,0.3775,0.3898,0.4060,0.3727,0.3364,0.3809,0.3875,0.3248,0.3582,0.4167,0.3155,0.3259,1.0000,0.7229,0.6393,0.7011,0.7063,0.6497,0.7125,0.7193,0.6768,0.7090,0.7302,0.7189,0.2445,0.2968,0.2379,0.1765,0.2004,0.1494,0.2788,0.2508,0.1593,0.2296,0.2122,0.2907,0.2758,0.2602,0.1534,0.2548,0.2227,0.2205,0.0700,0.1602,0.1255,0.1668,0.1755,0.1309,0.1447,0.2215,0.1430,0.2031,0.1740,0.1877,0.0818,0.0232,0.0588,0.0714,0.0775,0.1041,0.0813,0.1027,0.0823,0.0364
R040,0.4111,0.3779,0.4864,0.4501,0.3637,0.4151,0.4570,0.3871,0.4359,0.4160,0.3915,0.5098,0.4091,0.3447,0.4306,0.4395,0.3707,0.3863,0.2118,0.2135,0.2463,0.1960,0.3670,0.4660,0.4334,0.4347,0.4285,0.4831,0.4745,0.3736,0.3590,0.3762,0.3629,0.3236,0.3600,0.4306,0.3335,0.3308,0.7229,1.0000,0.7137,0.7622,0.7549,0.7163,0.7673,0.7446,0.7311,0.7634,0.7614,0.7836,0.1906,0.1787,0.1283,0.0879,0.1720,0.1150,0.2493,0.1586,0.1249,0.2016,0.1270,0.2208,0.2309,0.1673,0.1174,0.2488,0.1374,0.1456,0.1402,0.2464,0.1920,0.1981,0.1801,0.2184,0.2051,0.2724,0.2224,0.2087,0.2728,0.2476,0.1321,0.0352,0.0469,0.1038,0.0760,0.1810,0.1312,0.1058,0.1367,0.0806
R041,0.3271,0.3627,0.3937,0.3654,0.2755,0.3501,0.3777,0.3374,0.3370,0.3467,0.2794,0.3733,0.3376,0.2740,0.3821,0.3242,0.2734,0.3179,0.1835,0.1638,0.2096,0.0939,0.2747,0.3909,0.3731,0.3419,0.3195,0.3581,0.3977,0.3110,0.2955,0.3574,0.3179,0.2758,0.2929,0.3547,0.3001,0.2785,0.6393,0.7137,1.0000,0.6666,0.7111,0.6387,0.7373,0.6405,0.6943,0.6751,0.6492,0.6902,0.1558,0.1734,0.1385,0.1092,0.1556,0.1160,0.2097,0.1496,0.1486,0.1594,0.1762,0.1513,0.2225,0.1737,0.1160,0.2140,0.1581,0.1781,0.1773,0.1748,0.1999,0.1741,0.1631,0.2133,0.1573,0.2744,0.1968,0.2120,0.2365,0.2469,0.1151,-0.0188,0.0510,0.0882,0.0666,0.1604,0.1021,0.0568,0.1495,0.1199
R042,0.3291,0.3087,0.3421,0.3349,0.3013,0.3606,0.3517,0.3232,0.3353,0.3275,0.2802,0.3925,0.3304,0.3075,0.3674,0.3507,0.2930,0.2798,0.2212,0.2125,0.2653,0.1812,0.3254,0.3962,0.3962,0.4084,0.3815,0.4266,0.4246,0.3423,0.2868,0.3062,0.3171,0.2861,0.3109,0.4087,0.3097,0.2835,0.7011,0.7622,0.6666,1.0000,0.7446,0.7213,0.7794,0.6885,0.7173,0.7484,0.7515,0.7151,0.1726,0.1960,0.1382,0.0361,0.1604,0.0965,0.1754,0.1457,0.0522,0.1806,0.1113,0.1552,0.1696,0.1633,0.0943,0.2005,0.0787,0.1282,0.2293,0.2678,0.2227,0.2736,0.2852,0.3145,0.2789,0.3137,0.2864,0.2864,0.3382,0.3365,0.1415,0.0758,0.0940,0.1328,0.1056,0.1760,0.1123,0.1056,0.1805,0.0964
R043,0.3671,0.3339,0.4382,0.3722,0.3263,0.3883,0.4041,0.3827,0.3893,0.3716,0.3407,0.4548,0.3769,0.3344,0.4195,0.3924,0.3844,0.3422,0.1959,0.1821,0.2290,0.1194,0.3576,0.4293,0.4214,0.4165,0.4265,0.4443,0.4236,0.3189,0.3147,0.3534,0.3394,0.2727,0.3393,0.4088,0.2981,0.2736,0.7063,0.7549,0.7111,0.7446,1.0000,0.6927,0.7569,0.6968,0.7495,0.7126,0.7340,0.7746,0.1828,0.1753,0.1699,0.0993,0.1605,0.0763,0.2050,0.1896,0.0827,0.1663,0.1050,0.2024,0.1730,0.1695,0.1024,0.1775,0.1088,0.1349,0.1657,0.2054,0.2353,0.2629,0.2555,0.2563,0.2173,0.2989,0.2402,0.2560,0.2495,0.2682,0.1377,0.0643,0.0894,0.1493,0.0812,0.1678,0.0840,0.1356,0.1424,0.1100
R044,0.2405,0.2499,0.2942,0.2737,0.2429,0.2950,0.2995,0.2297,0.2854,0.3152,0.2403,0.3299,0.2491,0.2325,0.3011,0.2866,0.2034,0.2455,0.1835,0.1486,0.2084,0.1810,0.1930,0.2882,0.2315,0.2926,0.2660,0.2971,0.4914,0.4066,0.3405,0.4122,0.4253,0.3783,0.4006,0.4557,0.3961,0.3943,0.6497,0.7163,0.6387,0.7213,0.6927,1.0000,0.6973,0.7253,0.7215,0.6760,0.7373,0.7193,0.2588,0.2448,0.1565,0.1376,0.1654,0.1771,0.2739,0.2035,0.1624,0.2215,0.1300,0.2859,0.2292,0.1781,0.1291,0.2928,0.1440,0.1836,0.1442,0.1535,0.1576,0.1371,0.1793,0.2043,0.1339,0.2269,0.1904,0.2094,0.2195,0.1735,0.1617,0.0650,0.1455,0.1642,0.1051,0.1831,0.1746,0.1254,0.2087,0.0952
R045,0.3848,0.2982,0.4050,0.3898,0.3108,0.3678,0.4109,0.3664,0.3900,0.3656,0.2852,0.4125,0.3359,0.3000,0.3987,0.3608,0.2955,0.3676,0.1954,0.1481,0.2157,0.1580,0.3233,0.4051,0.3915,0.3949,0.4066,0.4068,0.4127,0.3532,0.3404,0.3697,0.3518,0.2955,0.3503,0.4443,0.3473,0.3056,0.7125,0.7673,0.7373,0.7794,0.7569,0.6973,1.0000,0.7510,0.7630,0.7453,0.7203,0.7796,0.1771,0.1640,0.1328,0.0710,0.1619,0.1361,0.2210,0.1559,0.0728,0.2368,0.1286,0.1835,0.2339,0.1740,0.1139,0.1965,0.1420,0.1453,0.1623,0.1916,0.1855,0.2006,0.1826,0.2281,0.2005,0.2480,0.2183,0.2285,0.2957,0.2743,0.0437,0.0318,0.0490,0.0472,0.0613,0.0852,0.0651,0.0498,0.0519,0.0574
R046,0.2674,0.2196,0.3064,0.3036,0.2747,0.3249,0.3242,0.2211,0.3109,0.3108,0.2042,0.3352,0.2656,0.2130,0.2967,0.3275,0.2471,0.2707,0.1848,0.1340,0.1872,0.1470,0.2627,0.3432,0.2860,0.3539,0.3591,0.3947,0.4415,0.4203,0.3486,0.4242,0.3985,0.3295,0.3951,0.4767,0.3779,0.3892,0.7193,0.7446,0.6405,0.6885,0.6968,0.7253,0.7510,1.0000,0.7491,0.7160,0.7143,0.7367,0.2287,0.2597,0.2037,0.1793,0.1915,0.1352,0.3175,0.2342,0.1642,0.2471,0.1457,0.2886,0.2931,0.2484,0.1905,0.2614,0.2030,0.2108,0.0857,0.1346,0.0946,0.1391,0.1221,0.1398,0.1453,0.2089,0.1428,0.1567,0.2002,0.1678,0.0338,-0.0034,0.0584,0.0570,0.0399,0.0586,0.0278,0.0764,0.0540,-0.0247
R047,0.3539,0.3173,0.4280,0.3546,0.3341,0.3765,0.3939,0.3510,0.3960,0.4230,0.3182,0.4401,0.3426,0.3245,0.4123,0.4029,0.3190,0.3432,0.1487,0.1278,0.1484,0.0834,0.2927,0.3651,0.3639,0.3745,0.3803,0.4045,0.4320,0.3476,0.3221,0.3632,0.3588,0.3015,0.3523,0.4333,0.3258,0.3373,0.6768,0.7311,0.6943,0.7173,0.7495,0.7215,0.7630,0.7491,1.0000,0.7199,0.6974,0.7432,0.1545,0.1899,0.1044,0.0494,0.0891,0.0422,0.1671,0.1423,0.0873,0.1956,0.0736,0.1783,0.2073,0.1384,0.0575,0.2018,0.1469,0.0994,0.1353,0.2060,0.1378,0.1715,0.2141,0.2041,0.1942,0.2464,0.2364,0.1480,0.2340,0.2178,0.0562,-0.0330,0.0477,0.0258,0.0135,0.0980,0.0298,0.0150,0.1092,-0.0118
R048,0.3397,0.2985,0.3857,0.3521,0.2749,0.3382,0.3836,0.3349,0.3502,0.3660,0.2737,0.4124,0.3310,0.2785,0.3927,0.3660,0.3071,0.3063,0.1657,0.1322,0.1582,0.0727,0.3155,0.3769,0.3894,0.4108,0.3947,0.4037,0.3609,0.3187,0.2670,0.3233,0.3090,0.2708,0.2896,0.3466,0.2815,0.2463,0.7090,0.7634,0.6751,0.7484,0.7126,0.6760,0.7453,0.7160,0.7199,1.0000,0.7819,0.7470,0.1672,0.1343,0.1235,0.0544,0.1536,0.0913,0.1885,0.1331,0.0643,0.1761,0.1207,0.2102,0.2068,0.1517,0.0955,0.1973,0.1011,0.1302,0.1378,0.2139,0.1724,0.1958,0.1221,0.2385,0.2118,0.2294,0.1581,0.1950,0.2508,0.2596,0.0321,-0.0413,0.0112,0.0559,0.0051,0.0920,0.0367,0.0554,0.0889,-0.0120
R049,0.2488,0.2453,0.3043,0.2760,0.2447,0.2887,0.2951,0.2850,0.3239,0.3263,0.2421,0.3398,0.2805,0.1962,0.3192,0.3340,0.2304,0.2362,0.2158,0.1840,0.2255,0.1595,0.2534,0.3635,0.3545,0.3572,0.3728,0.3811,0.4218,0.3674,0.2703,0.3678,0.3717,0.3090,0.3295,0.4050,0.2926,0.3061,0.7302,0.7614,0.6492,0.7515,0.7340,0.7373,0.7203,0.7143,0.6974,0.7819,1.0000,0.7311,0.1918,0.1768,0.1116,0.0734,0.1399,0.1063,0.2113,0.1793,0.0825,0.1775,0.1076,0.1839,0.1879,0.1428,0.0902,0.2045,0.1203,0.1024,0.1201,0.1631,0.1387,0.1941,0.1705,0.2134,0.1440,0.2145,0.1715,0.1777,0.1955,0.2099,0.0210,-0.0107,0.0286,0.0642,-0.0113,0.1282,0.0182,0.0471,0.0644,0.0123
R050,0.3317,0.3157,0.4086,0.3559,0.3035,0.3480,0.3766,0.3281,0.3658,0.3256,0.2763,0.4240,0.3204,0.3124,0.3863,0.3676,0.2905,0.3602,0.1842,0.1705,0.2281,0.1454,0.3170,0.4050,0.3725,0.3736,0.4030,0.4235,0.4115,0.3851,0.3291,0.3488,0.3681,0.2686,0.3257,0.4254,0.2982,0.3102,0.7189,0.7836,0.6902,0.7151,0.7746,0.7193,0.7796,0.7367,0.7432,0.7470,0.7311,1.0000,0.1959,0.1839,0.1852,0.1264,0.1809,0.1149,0.2620,0.1756,0.1146,0.1970,0.1429,0.1754,0.2008,0.1865,0.1154,0.1862,0.1609,0.1312,0.1227,0.2021,0.1855,0.2104,0.1583,0.2274,0.2119,0.2528,0.2402,0.1829,0.2711,0.2338,0.0814,-0.0213,0.0883,0.0916,0.0561,0.1036,0.0704,0.0845,0.0539,0.0318
R051,0.1416,0.1767,0.1560,0.2414,0.1078,0.2401,0.1041,0.0719,0.1837,0.1506,0.1337,0.2161,0.2160,0.1503,0.1894,0.1431,0.1996,0.1421,-0.1048,-0.1051,-0.0222,-0.0578,0.1073,0.1874,0.1113,0.1515,0.1252,0.1635,0.2396,0.1937,0.3168,0.3008,0.2357,0.2279,0.2773,0.2610,0.2370,0.2767,0.2445,0.1906,0.1558,0.1726,0.1828,0.2588,0.1771,0.2287,0.1545,0.1672,0.1918,0.1959,1.0000,0.6664,0.6410,0.6334,0.6195,0.6146,0.6444,0.6146,0.6259,0.6672,0.6751,0.6887,0.6474,0.6534,0.6207,0.6830,0.5400,0.6721,0.1885,0.1194,0.2129,0.1848,0.1296,0.1419,0.2097,0.2157,0.1976,0.1681,0.2038,0.0528,0.1148,0.1916,0.2671,0.2016,0.2204,0.2315,0.2184,0.2122,0.3146,0.1639
R052,0.0499,0.1083,0.0418,0.1795,0.0426,0.1362,0.0144,-0.0656,0.0803,0.0925,0.0353,0.1478,0.1480,0.0925,0.1111,0.0462,0.0901,0.0385,-0.1170,-0.1510,-0.0561,-0.0379,0.1427,0.1891,0.0753,0.1291,0.1015,0.1661,0.1746,0.1535,0.2229,0.2138,0.1458,0.1581,0.1918,0.1824,0.1642,0.2191,0.2968,0.1787,0.1734,0.1960,0.1753,0.2448,0.1640,0.2597,0.1899,0.1343,0.1768,0.1839,0.6664,1.0000,0.6394,0.6580,0.6361,0.5661,0.6727,0.5787,0.6135,0.6854,0.6828,0.6746,0.6822,0.6527,0.6306,0.6668,0.5842,0.6481,0.0633,0.0209,0.1087,0.0856,0.0328,0.0255,0.1106,0.1219,0.0757,0.0856,0.0761,-0.0285,0.1537,0.1331,0.2136,0.1543,0.1870,0.1803,0.1567,0.2403,0.1740,0.1259
R053,-0.0279,-0.0164,-0.0159,0.0698,-0.0065,0.0618,-0.0638,-0.0706,0.0024,0.0257,-0.0427,0.0230,0.0609,0.0171,0.0232,-0.0155,0.0409,-0.0366,-0.0921,-0.0959,0.0248,-0.0344,0.1373,0.1338,0.0544,0.1131,0.1059,0.1586,0.0912,0.0919,0.1920,0.1615,0.0768,0.0611,0.1083,0.1046,0.1156,0.1645,0.2379,0.1283,0.1385,0.1382,0.1699,0.1565,0.1328,0.2037,0.1044,0.1235,0.1116,0.1852,0.6410,0.6394,1.0000,0.6859,0.5861,0.5556,0.6486,0.5830,0.5462,0.6212,0.6573,0.6052,0.5790,0.6493,0.6031,0.6125,0.5961,0.6560,0.1180,0.1035,0.1541,0.1577,0.1267,0.0771,0.1694,0.1545,0.1788,0.1345,0.1199,0.0518,0.1761,0.1588,0.2110,0.2314,0.2200,0.2254,0.1991,0.1917,0.1886,0.1491
R054,0.0795,0.0589,0.0582,0.2030,0.0321,0.0940,0.0509,-0.0378,0.0771,0.0889,0.0812,0.1304,0.1438,0.0364,0.0962,0.0080,0.0782,0.0110,-0.1577,-0.1610,-0.0562,-0.1238,0.1335,0.1658,0.0726,0.1294,0.1385,0.1683,0.1125,0.0926,0.2241,0.1699,0.1277,0.1306,0.1613,0.1433,0.1966,0.1677,0.1765,0.0879,0.1092,0.0361,0.0993,0.1376,0.0710,0.1793,0.0494,0.0544,0.0734,0.1264,0.6334,0.6580,0.6859,1.0000,0.6693,0.6433,0.6743,0.6322,0.6648,0.6293,0.6776,0.6862,0.6437,0.6711,0.6482,0.6312,0.5838,0.6740,0.1606,0.1213,0.1822,0.2052,0.0637,0.0541,0.2088,0.2310,0.1243,0.1799,0.1661,0.0562,0.0714,0.0869,0.1906,0.0951,0.0995,0.1042,0.1046,0.1362,0.1555,0.0655
R055,0.0999,0.1729,0.1121,0.2715,0.1045,0.2112,0.1092,0.0339,0.1104,0.0998,0.0667,0.1791,0.2122,0.1581,0.1152,0.0635,0.1593,0.1476,-0.1394,-0.0971,-0.0272,-0.0952,0.1867,0.2036,0.1594,0.2021,0.1465,0.1697,0.1825,0.1195,0.2763,0.2689,0.1576,0.2290,0.1948,0.1854,0.1858,0.2064,0.2004,0.1720,0.1556,0.1604,0.1605,0.1654,0.1619,0.1915,0.0891,0.1536,0.1399,0.1809,0.6195,0.6361,0.5861,0.6693,1.0000,0.5954,0.6387,0.5904,0.6086,0.6517,0.6834,0.6284,0.6828,0.6546,0.6079,0.6401,0.5836,0.7008,0.1563,0.1651,0.1777,0.1843,0.0799,0.1418,0.1832,0.2009,0.1775,0.1538,0.2033,0.0748,0.0837,0.1392,0.1760,0.1734,0.1420,0.1393,0.1989,0.2511,0.2214,0.1482
R056,0.1125,0.1446,0.1055,0.1919,0.1126,0.1556,0.1540,0.0804,0.1242,0.1118,0.1247,0.1558,0.1457,0.1260,0.1756,0.0642,0.1720,0.1154,-0.0775,0.0012,0.0207,0.0080,0.2273,0.2628,0.1757,0.2274,0.1910,0.2501,0.1210,0.1530,0.2768,0.1868,0.1335,0.1741,0.1820,0.1487,0.1927,0.1937,0.1494,0.1150,0.1160,0.0965,0.0763,0.1771,0.1361,0.1352,0.0422,0.0913,0.1063,0.1149,0.6146,0.5661,0.5556,0.6433,0.5954,1.0000,0.6249,0.5887,0.5952,0.6507,0.6831,0.6026,0.6302,0.6298,0.5207,0.6093,0.6154,0.6590,0.1835,0.1197,0.2064,0.1516,0.0433,0.0864,0.2082,0.2263,0.1665,0.1694,0.1921,0.1617,0.1694,0.1632,0.3136,0.1831,0.2651,0.2076,0.2358,0.2486,0.2185,0.2326
R057,0.0685,0.0788,0.0745,0.2165,0.0604,0.1612,0.0607,0.0433,0.1057,0.0912,0.0832,0.1535,0.1662,0.0849,0.1300,0.0628,0.0911,0.1139,0.0230,-0.0223,0.0405,0.0454,0.1288,0.2350,0.1454,0.1754,0.1748,0.2371,0.2454,0.2024,0.3133,0.2558,0.2338,0.2422,0.2779,0.2438,0.2251,0.3294,0.2788,0.2493,0.2097,0.1754,0.2050,0.2739,0.2210,0.3175,0.1671,0.1885,0.2113,0.2620,0.6444,0.6727,0.6486,0.6743,0.6387,0.6249,1.0000,0.6230,0.6259,0.6739,0.6628,0.6735,0.6880,0.6741,0.5805,0.6358,0.6032,0.7177,0.0438,0.0347,0.0956,0.0822,0.0049,-0.0051,0.1092,0.1139,0.0705,0.0581,0.0852,0.0414,0.1313,0.1222,0.1967,0.1654,0.1733,0.1725,0.2011,0.2095,0.1881,0.0874
R058,0.0797,0.1097,0.0757,0.2056,0.0760,0.1761,0.0950,0.0712,0.0626,0.1251,0.0831,0.1515,0.1997,0.0885,0.1407,0.0536,0.1450,0.0479,-0.0105,-0.0278,0.0288,0.0217,0.0946,0.1449,0.1045,0.0988,0.1097,0.1554,0.2393,0.1808,0.2513,0.2799,0.1875,0.2467,0.2292,0.2148,0.2545,0.2657,0.2508,0.1586,0.1496,0.1457,0.1896,0.2035,0.1559,0.2342,0.1423,0.1331,0.1793,0.1756,0.6146,0.5787,0.5830,0.6322,0.5904,0.5887,0.6230,1.0000,0.5810,0.6022,0.5864,0.6423,0.6550,0.6168,0.5985,0.6307,0.5527,0.6610,0.2061,0.1769,0.2385,0.1979,0.1063,0.1054,0.2503,0.2176,0.2386,0.1899,0.2158,0.1307,0.0517,0.0739,0.2204,0.1403,0.1396,0.0866,0.0945,0.1691,0.1439,0.1092
R059,0.0257,0.1105,0.0693,0.2128,0.0608,0.1131,-0.0084,-0.0108,0.0762,0.0536,0.0020,0.1123,0.1219,0.0226,0.0929,0.0017,0.0763,0.0447,-0.1347,-0.1100,-0.0710,-0.1159,0.1116,0.1489,0.0569,0.0835,0.0702,0.0957,0.1592,0.1240,0.2028,0.2014,0.1742,0.1378,0.1795,0.1456,0.1936,0.1883,0.1593,0.1249,0.1486,0.0522,0.0827,0.1624,0.0728,0.1642,0.0873,0.0643,0.0825,0.1146,0.6259,0.6135,0.5462,0.6648,0.6086,0.5952,0.6259,0.5810,1.0000,0.5987,0.6217,0.6160,0.6209,0.6315,0.5835,0.6654,0.6408,0.6479,0.1812,0.1636,0.1752,0.1675,0.0478,0.0741,0.1994,0.2030,0.1855,0.1079,0.2050,0.0663,0.0791,0.1174,0.2279,0.1192,0.1153,0.1466,0.1076,0.1786,0.2215,0.1237
