,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R030,0.0573,0.1769,0.1823,0.1439,0.0292,0.1449,0.1518,0.2013,0.1647,0.2077,0.1348,0.2314,0.0351,0.0624,0.2397,0.2257,0.1148,0.1015,0.0997,0.2235,0.2789,0.1275,0.2612,0.3998,0.3676,0.3849,0.3481,0.3349,0.7553,1.0000,0.7390,0.7335,0.8109,0.7635,0.7729,0.7601,0.7924,0.7025,0.4400,0.4409,0.4645,0.4744,0.4949,0.4281,0.5026,0.4578,0.4678,0.4548,0.4615,0.4896,0.0923,0.0529,0.1481,-0.0355,0.0556,0.1297,0.1135,0.0630,-0.0262,0.1725,0.0529,0.0374,0.0384,0.1020,0.0351,0.1839,0.1275,0.1759,-0.0308,0.0600,0.0041,0.1087,0.0957,0.0754,0.0581,0.1488,0.0814,0.1074,0.1810,0.2229,0.2746,0.1774,0.2126,0.2859,0.3051,0.2172,0.1255,0.2797,0.0811,0.2169
R031,0.2133,0.2267,0.2688,0.2229,0.1588,0.2700,0.2446,0.2395,0.2748,0.2508,0.1617,0.2721,0.1961,0.1898,0.2834,0.2929,0.2252,0.2288,-0.0099,0.0657,0.1262,-0.0710,0.2821,0.3981,0.3516,0.3297,0.3054,0.3133,0.7490,0.7390,1.0000,0.7527,0.7251,0.7891,0.7876,0.7411,0.7832,0.7496,0.4257,0.4951,0.4764,0.4528,0.5371,0.4661,0.5118,0.4589,0.4958,0.4295,0.4091,0.5167,0.3148,0.1678,0.2702,0.1709,0.2390,0.2860,0.2993,0.1811,0.1185,0.3744,0.1708,0.1833,0.2110,0.2026,0.2017,0.2947,0.2717,0.3054,0.0814,0.1221,0.0923,0.1666,0.1570,0.1722,0.1789,0.2154,0.2412,0.1740,0.2628,0.2337,0.3000,0.1138,0.2253,0.3162,0.2027,0.2803,0.1694,0.2622,0.1493,0.2236
R032,0.2363,0.2606,0.2972,0.3073,0.1542,0.3346,0.2744,0.2856,0.2872,0.3013,0.2302,0.3575,0.2406,0.1948,0.3189,0.3027,0.2210,0.2136,0.0334,0.1186,0.1169,-0.0258,0.2848,0.4423,0.3839,0.3926,0.3653,0.3534,0.6851,0.7335,0.7527,1.0000,0.7181,0.7381,0.7713,0.7118,0.7534,0.7336,0.4896,0.5598,0.5512,0.4605,0.5794,0.4815,0.5500,0.5119,0.5362,0.4976,0.5086,0.5453,0.3114,0.2149,0.2878,0.1684,0.2818,0.2234,0.2908,0.2785,0.1466,0.3475,0.2007,0.1766,0.2438,0.2606,0.2309,0.3163,0.3034,0.3251,0.1065,0.0829,0.0750,0.1907,0.1484,0.1904,0.2127,0.2214,0.2729,0.1293,0.2164,0.2442,0.2411,0.1569,0.2084,0.2596,0.2120,0.3258,0.1203,0.2377,0.1540,0.2156
R033,0.1404,0.1722,0.2123,0.1369,0.1040,0.1705,0.1647,0.1745,0.2049,0.2029,0.1315,0.1917,0.0711,0.0862,0.2534,0.2544,0.1128,0.1579,0.0707,0.2476,0.1853,0.0743,0.2934,0.4159,0.3945,0.4294,0.3849,0.3779,0.7402,0.8109,0.7251,0.7181,1.0000,0.7917,0.7873,0.7774,0.7684,0.7270,0.4900,0.4689,0.4817,0.4763,0.5437,0.4829,0.5140,0.4680,0.4637,0.4527,0.4951,0.5268,0.0921,0.0017,0.0745,0.0116,0.0647,0.1096,0.1443,0.0429,-0.0299,0.1699,0.0469,0.0242,0.0128,0.0727,0.0301,0.1153,0.1047,0.1448,0.0566,0.0212,-0.0062,0.1435,0.0938,0.1127,0.0485,0.1417,0.1050,0.0686,0.1762,0.2615,0.2054,0.0745,0.1310,0.1886,0.1676,0.1922,0.0493,0.1876,0.0456,0.1273
R034,0.1551,0.1954,0.2636,0.1973,0.1357,0.2564,0.2833,0.2329,0.2320,0.2576,0.1639,0.2400,0.1543,0.1912,0.2816,0.3133,0.1588,0.2061,0.0181,0.1552,0.1283,0.0123,0.2509,0.3999,0.3819,0.3435,0.3273,0.3107,0.7750,0.7635,0.7891,0.7381,0.7917,1.0000,0.7889,0.7984,0.8024,0.8077,0.4656,0.4670,0.4884,0.4576,0.5113,0.4874,0.5160,0.4712,0.4800,0.4320,0.4695,0.5086,0.1987,0.0606,0.1798,0.0592,0.1675,0.2042,0.2513,0.1695,0.0219,0.2709,0.1400,0.1011,0.1267,0.1433,0.0742,0.2125,0.1960,0.2194,0.0439,0.0025,0.0269,0.1286,0.0879,0.1285,0.0922,0.1156,0.1497,0.1141,0.1298,0.2734,0.1993,0.1442,0.1844,0.2708,0.2752,0.1401,0.0996,0.2628,0.0873,0.1269
R035,0.1196,0.1440,0.2047,0.1993,0.0523,0.2278,0.2168,0.1603,0.2069,0.2286,0.1213,0.2121,0.1122,0.1171,0.2271,0.2861,0.1587,0.1715,0.0338,0.2174,0.1587,0.0472,0.3052,0.4372,0.4135,0.3877,0.3562,0.3766,0.7795,0.7729,0.7876,0.7713,0.7873,0.7889,1.0000,0.7503,0.8027,0.7794,0.4169,0.4425,0.4560,0.3994,0.4905,0.4066,0.4784,0.4207,0.4787,0.4147,0.3925,0.4326,0.2402,0.1360,0.1824,0.0704,0.1502,0.2124,0.2575,0.1316,0.0678,0.2798,0.1373,0.1927,0.1395,0.1770,0.1619,0.2496,0.2001,0.2593,0.0751,0.0139,0.0314,0.1213,0.0917,0.1420,0.1177,0.0865,0.1511,0.0782,0.1697,0.2207,0.2169,0.0730,0.1354,0.2193,0.2490,0.2060,-0.0012,0.1895,0.0952,0.1067
R036,0.1159,0.1759,0.2034,0.1077,0.0961,0.1901,0.2146,0.1761,0.1849,0.1739,0.0933,0.2145,0.0779,0.0474,0.2141,0.2215,0.0619,0.0913,0.0574,0.1850,0.2167,0.0662,0.2669,0.3904,0.3189,0.3509,0.3018,0.3305,0.7934,0.7601,0.7411,0.7118,0.7774,0.7984,0.7503,1.0000,0.7352,0.7673,0.5443,0.5354,0.5478,0.5578,0.6115,0.5445,0.6173,0.5700,0.5929,0.5050,0.5445,0.6156,0.1737,0.0897,0.1805,0.0739,0.1095,0.1664,0.1991,0.1549,0.0405,0.2494,0.1084,0.1574,0.1243,0.1365,0.1126,0.2440,0.1700,0.2227,0.0521,0.0372,0.0367,0.1597,0.1348,0.1706,0.1125,0.1909,0.2169,0.1569,0.1744,0.2146,0.2026,0.0138,0.0566,0.1898,0.1707,0.1172,-0.0315,0.1748,0.0319,0.0925
R037,0.2328,0.2632,0.2891,0.2725,0.1656,0.2870,0.2532,0.2672,0.2460,0.3145,0.1876,0.2747,0.2210,0.1600,0.3389,0.3036,0.2305,0.2214,-0.0262,0.1399,0.0944,-0.0261,0.3358,0.4573,0.4388,0.4226,0.3726,0.3850,0.7444,0.7924,0.7832,0.7534,0.7684,0.8024,0.8027,0.7352,1.0000,0.7612,0.4095,0.4564,0.4725,0.4173,0.4698,0.4304,0.4864,0.4574,0.4496,0.4330,0.4061,0.4340,0.2416,0.1240,0.2055,0.1246,0.1586,0.2613,0.2394,0.1998,0.1186,0.3022,0.1611,0.1794,0.1963,0.1919,0.1336,0.2601,0.2618,0.2756,0.0718,0.0998,0.0639,0.1587,0.1365,0.1887,0.1539,0.2154,0.1852,0.1522,0.2767,0.2752,0.2430,0.1741,0.2381,0.2472,0.2990,0.2128,0.1021,0.2259,0.1029,0.1561
R038,0.0781,0.0906,0.1509,0.1392,0.0440,0.1371,0.1594,0.1579,0.1474,0.1867,0.0866,0.1416,0.0688,0.0186,0.1417,0.2062,0.0620,0.0699,0.1576,0.1780,0.2187,0.0756,0.2969,0.4478,0.3807,0.4053,0.3682,0.3839,0.7184,0.7025,0.7496,0.7336,0.7270,0.8077,0.7794,0.7673,0.7612,1.0000,0.4241,0.4407,0.4618,0.4310,0.4889,0.4540,0.4768,0.4885,0.4831,0.4077,0.4295,0.4793,0.1450,0.1032,0.2068,0.0648,0.1281,0.1978,0.3103,0.1783,0.0594,0.3006,0.1168,0.1515,0.1503,0.1670,0.1328,0.2263,0.1983,0.2509,-0.0160,-0.0000,0.0014,0.0924,0.0590,0.1197,0.0529,0.1283,0.1471,0.0286,0.1526,0.1884,0.2051,0.1352,0.1837,0.2373,0.2394,0.1323,0.0366,0.2278,0.0777,0.1085
R039,0.2014,0.1771,0.2936,0.1636,0.2082,0.2452,0.3268,0.2106,0.2195,0.2275,0.2454,0.2966,0.2058,0.1825,0.2797,0.3130,0.1694,0.1770,0.1213,0.0585,0.1910,0.0554,0.3342,0.3804,0.3944,0.4732,0.3929,0.4279,0.5093,0.4400,0.4257,0.4896,0.4900,0.4656,0.4169,0.5443,0.4095,0.4241,1.0000,0.7917,0.7574,0.8082,0.7890,0.7577,0.8200,0.8000,0.7603,0.8207,0.8130,0.8127,0.2774,0.2311,0.3074,0.2515,0.2600,0.2540,0.3151,0.3254,0.1768,0.3461,0.2254,0.2673,0.3178,0.3091,0.2249,0.3099,0.2834,0.2832,0.1640,0.2190,0.2251,0.3669,0.3241,0.2481,0.2999,0.4039,0.2895,0.3137,0.3259,0.3779,-0.0106,-0.1337,0.0894,0.0660,-0.0274,0.0220,-0.1298,-0.0691,0.0041,-0.0134
R040,0.3604,0.3968,0.4917,0.3698,0.3655,0.4127,0.4897,0.3508,0.3993,0.4204,0.4074,0.4892,0.4065,0.3368,0.4639,0.4423,0.3057,0.3595,0.0864,0.0992,0.1334,0.0550,0.3995,0.5331,0.4724,0.5184,0.4948,0.5579,0.5676,0.4409,0.4951,0.5598,0.4689,0.4670,0.4425,0.5354,0.4564,0.4407,0.7917,1.0000,0.7762,0.7943,0.7925,0.7801,0.8226,0.8048,0.7741,0.8243,0.8303,0.8141,0.2733,0.2127,0.2754,0.2612,0.3066,0.3168,0.3535,0.2969,0.1883,0.3924,0.2859,0.2764,0.3430,0.2789,0.2147,0.3514,0.2702,0.2595,0.1477,0.2306,0.2213,0.3422,0.2394,0.2714,0.2960,0.3860,0.3376,0.2666,0.3650,0.3428,0.1028,-0.0780,0.0965,0.0817,0.0226,0.1911,-0.0170,0.0083,0.0324,0.0969
R041,0.2492,0.2825,0.3429,0.2367,0.2339,0.3077,0.3946,0.2641,0.2546,0.2894,0.2674,0.3629,0.3253,0.2442,0.3601,0.3466,0.2350,0.2259,0.1192,0.1424,0.1532,-0.0292,0.2905,0.4650,0.4545,0.4551,0.3685,0.4477,0.5297,0.4645,0.4764,0.5512,0.4817,0.4884,0.4560,0.5478,0.4725,0.4618,0.7574,0.7762,1.0000,0.7667,0.8019,0.7566,0.8356,0.7839,0.8168,0.8003,0.7591,0.8171,0.2211,0.1818,0.2774,0.2050,0.2537,0.2808,0.2883,0.2739,0.1475,0.3005,0.2425,0.1890,0.3178,0.2975,0.1868,0.2896,0.2429,0.2858,0.1769,0.2140,0.1793,0.2994,0.1942,0.2264,0.2414,0.3724,0.2896,0.2381,0.3464,0.3314,0.0639,-0.1753,0.1014,0.0473,0.0354,0.1537,-0.0516,-0.0484,0.0180,0.1176
R042,0.1772,0.2149,0.2893,0.1696,0.2237,0.2714,0.3086,0.1900,0.2134,0.2689,0.2132,0.3124,0.2306,0.1961,0.2843,0.3069,0.1533,0.1599,0.1406,0.1243,0.2103,0.0470,0.2391,0.3500,0.3076,0.4097,0.3045,0.3755,0.5708,0.4744,0.4528,0.4605,0.4763,0.4576,0.3994,0.5578,0.4173,0.4310,0.8082,0.7943,0.7667,1.0000,0.8072,0.8369,0.8179,0.8050,0.7670,0.7975,0.8048,0.8237,0.2231,0.1996,0.2970,0.1813,0.2526,0.2254,0.2761,0.2292,0.1116,0.2901,0.2117,0.2145,0.2916,0.2511,0.1959,0.2850,0.1775,0.2131,0.1546,0.1940,0.1821,0.3611,0.3162,0.3045,0.2620,0.3594,0.3099,0.3208,0.3326,0.3897,0.0903,-0.0788,0.1089,0.1373,0.0520,0.1317,-0.0170,-0.0071,0.0782,0.0313
R043,0.2628,0.2758,0.3964,0.2336,0.2863,0.3439,0.3683,0.2747,0.2982,0.3315,0.3041,0.4109,0.3036,0.2947,0.3745,0.4129,0.2612,0.2638,-0.0002,0.0183,0.0226,-0.1038,0.2623,0.3966,0.3919,0.3760,0.3353,0.4020,0.6012,0.4949,0.5371,0.5794,0.5437,0.5113,0.4905,0.6115,0.4698,0.4889,0.7890,0.7925,0.8019,0.8072,1.0000,0.7988,0.8261,0.8030,0.8585,0.8124,0.8370,0.8397,0.3086,0.2250,0.3614,0.2490,0.3127,0.2239,0.3686,0.3317,0.1900,0.3689,0.2755,0.2729,0.3263,0.3113,0.2458,0.3505,0.2746,0.2771,0.0864,0.1817,0.1652,0.3229,0.2403,0.2821,0.2259,0.3273,0.3090,0.2510,0.2609,0.3095,0.0728,-0.1267,0.1008,0.1168,-0.0224,0.1340,-0.0584,0.0294,0.0482,0.0655
R044,0.1872,0.2194,0.3212,0.1980,0.2375,0.2956,0.3315,0.1920,0.2101,0.3007,0.2579,0.3362,0.2747,0.2543,0.3374,0.3181,0.1860,0.2226,0.0668,0.0157,0.1007,-0.0315,0.2299,0.3463,0.3070,0.3807,0.2919,0.3671,0.5608,0.4281,0.4661,0.4815,0.4829,0.4874,0.4066,0.5445,0.4304,0.4540,0.7577,0.7801,0.7566,0.8369,0.7988,1.0000,0.7732,0.7794,0.7880,0.7778,0.7961,0.8376,0.2615,0.2346,0.2623,0.2061,0.2426,0.2577,0.3394,0.2406,0.1183,0.3218,0.2082,0.2561,0.2998,0.2658,0.1860,0.3105,0.2008,0.2030,0.0952,0.1046,0.1330,0.2482,0.2481,0.2523,0.1743,0.3182,0.2708,0.2655,0.2571,0.2550,0.0928,-0.1271,0.0995,0.0672,-0.0888,0.0616,-0.0156,-0.0169,0.0553,0.0356
R045,0.2528,0.2562,0.3668,0.2346,0.2699,0.3234,0.3903,0.2773,0.2762,0.2979,0.2929,0.3781,0.2879,0.2622,0.3644,0.3775,0.2447,0.2420,0.0686,0.0500,0.1421,-0.0111,0.3086,0.4453,0.3877,0.4436,0.3941,0.4250,0.5593,0.5026,0.5118,0.5500,0.5140,0.5160,0.4784,0.6173,0.4864,0.4768,0.8200,0.8226,0.8356,0.8179,0.8261,0.7732,1.0000,0.8482,0.8342,0.8168,0.8333,0.8597,0.2868,0.1946,0.3072,0.2412,0.2831,0.2703,0.3159,0.2713,0.1671,0.3382,0.2566,0.2432,0.3490,0.2851,0.2409,0.2944,0.2340,0.2664,0.1356,0.1621,0.1726,0.2905,0.2351,0.2448,0.2421,0.3617,0.2827,0.2800,0.3785,0.3206,0.0309,-0.0449,0.1293,0.0847,0.0602,0.0981,-0.0642,-0.0111,0.0062,0.0737
R046,0.2296,0.2424,0.3277,0.2324,0.2434,0.3108,0.3569,0.2514,0.2344,0.2921,0.2954,0.3797,0.2748,0.2128,0.2940,0.3492,0.2205,0.1988,0.0935,0.0189,0.1148,-0.0158,0.2753,0.4026,0.3387,0.4284,0.3702,0.4726,0.5102,0.4578,0.4589,0.5119,0.4680,0.4712,0.4207,0.5700,0.4574,0.4885,0.8000,0.8048,0.7839,0.8050,0.8030,0.7794,0.8482,1.0000,0.8532,0.8223,0.7881,0.8132,0.2688,0.2369,0.3488,0.2792,0.2842,0.2728,0.4177,0.3376,0.1827,0.3596,0.2367,0.2776,0.3659,0.3181,0.2143,0.3198,0.2797,0.2895,0.0539,0.1295,0.1227,0.2758,0.2338,0.2064,0.2314,0.3577,0.2444,0.1947,0.2765,0.2964,0.0291,-0.0999,0.1519,0.0289,-0.0026,0.0467,-0.1151,-0.0485,-0.0200,-0.0200
R047,0.1936,0.2438,0.3101,0.1737,0.2153,0.2983,0.3321,0.2520,0.2485,0.2976,0.2607,0.3785,0.2631,0.2323,0.3160,0.3588,0.1987,0.1807,0.0887,0.0366,0.0814,-0.0232,0.2334,0.3459,0.3234,0.3731,0.3096,0.3954,0.5848,0.4678,0.4958,0.5362,0.4637,0.4800,0.4787,0.5929,0.4496,0.4831,0.7603,0.7741,0.8168,0.7670,0.8585,0.7880,0.8342,0.8532,1.0000,0.7950,0.8014,0.8217,0.2409,0.2037,0.2683,0.1890,0.1942,0.2109,0.3062,0.2765,0.1079,0.3069,0.1812,0.2260,0.3008,0.2658,0.1948,0.2813,0.2743,0.2103,-0.0064,0.1239,0.1033,0.2437,0.2086,0.2195,0.2030,0.3064,0.2432,0.1790,0.2292,0.2468,0.0300,-0.1513,0.1237,0.0499,-0.0586,0.0891,-0.1400,-0.0385,-0.0263,0.0060
R048,0.2466,0.2546,0.3846,0.2257,0.2763,0.3311,0.4015,0.2869,0.2861,0.3506,0.3112,0.4168,0.3043,0.2400,0.3886,0.4076,0.2648,0.2506,0.1141,0.0924,0.1626,0.0061,0.3050,0.4113,0.4374,0.4818,0.3921,0.4574,0.5219,0.4548,0.4295,0.4976,0.4527,0.4320,0.4147,0.5050,0.4330,0.4077,0.8207,0.8243,0.8003,0.7975,0.8124,0.7778,0.8168,0.8223,0.7950,1.0000,0.8586,0.8215,0.2303,0.1770,0.2744,0.2267,0.2694,0.2426,0.3235,0.2803,0.1588,0.3598,0.2497,0.2223,0.3366,0.2896,0.2100,0.3066,0.2676,0.2377,0.1246,0.2247,0.2034,0.3742,0.2096,0.2501,0.2574,0.3466,0.2379,0.2956,0.2872,0.3610,0.0358,-0.1584,0.1018,0.0748,-0.0131,0.1132,-0.0646,0.0070,0.0391,0.0357
R049,0.1981,0.2254,0.3729,0.2114,0.2376,0.3039,0.3877,0.2766,0.2769,0.3234,0.3190,0.3793,0.2602,0.2146,0.3345,0.3620,0.2020,0.2184,0.0595,0.0352,0.1082,-0.0165,0.2780,0.4077,0.4105,0.4212,0.3797,0.4218,0.5398,0.4615,0.4091,0.5086,0.4951,0.4695,0.3925,0.5445,0.4061,0.4295,0.8130,0.8303,0.7591,0.8048,0.8370,0.7961,0.8333,0.7881,0.8014,0.8586,1.0000,0.8442,0.2091,0.1669,0.2350,0.1872,0.2179,0.2071,0.3096,0.2546,0.1043,0.2994,0.2388,0.1924,0.2749,0.2477,0.1977,0.2815,0.2504,0.1865,0.1074,0.1627,0.1506,0.3378,0.2706,0.2777,0.2179,0.3359,0.2545,0.2504,0.2351,0.3642,-0.0016,-0.1527,0.0726,0.0608,-0.0581,0.1368,-0.1006,-0.0333,-0.0138,0.0603
R050,0.2564,0.2509,0.3901,0.2256,0.2615,0.3292,0.3909,0.2827,0.2525,0.2703,0.2784,0.3674,0.2796,0.2586,0.3644,0.3779,0.2067,0.2544,0.1248,0.0834,0.1967,0.0395,0.2339,0.3858,0.3592,0.4051,0.3543,0.4043,0.5765,0.4896,0.5167,0.5453,0.5268,0.5086,0.4326,0.6156,0.4340,0.4793,0.8127,0.8141,0.8171,0.8237,0.8397,0.8376,0.8597,0.8132,0.8217,0.8215,0.8442,1.0000,0.2457,0.1589,0.2508,0.2151,0.2269,0.2248,0.3035,0.2698,0.1525,0.2896,0.2257,0.1884,0.2827,0.2783,0.1939,0.3076,0.2094,0.2410,0.1147,0.1630,0.1683,0.3221,0.2272,0.2569,0.2385,0.3562,0.3067,0.2313,0.2992,0.3552,0.0627,-0.1310,0.1430,0.0971,-0.0538,0.0942,-0.0658,0.0016,0.0081,0.0760
R051,0.3580,0.2854,0.3135,0.4708,0.2881,0.4311,0.3253,0.2506,0.3883,0.3458,0.3278,0.3991,0.4398,0.3426,0.3473,0.3084,0.5011,0.3757,-0.2245,-0.2517,-0.1270,-0.2946,0.2819,0.3154,0.1947,0.2095,0.2924,0.3180,0.1557,0.0923,0.3148,0.3114,0.0921,0.1987,0.2402,0.1737,0.2416,0.1450,0.2774,0.2733,0.2211,0.2231,0.3086,0.2615,0.2868,0.2688,0.2409,0.2303,0.2091,0.2457,1.0000,0.6881,0.7527,0.7778,0.7120,0.6719,0.6670,0.7044,0.7540,0.7671,0.7313,0.7482,0.7491,0.7850,0.7012,0.7592,0.6653,0.7072,0.4499,0.2649,0.4077,0.3381,0.3084,0.3587,0.4641,0.4647,0.4728,0.3345,0.4025,0.2772,-0.0431,0.0612,0.1617,0.1156,0.0697,0.0974,0.0575,0.0722,0.3257,0.1061
R052,0.0253,0.0710,0.0089,0.1824,-0.0245,0.1326,0.0744,-0.0242,0.0496,0.0817,0.0562,0.1223,0.1713,0.1008,0.0424,0.0190,0.1610,0.0176,-0.2318,-0.2623,-0.1273,-0.2292,0.1531,0.1530,0.0071,0.0367,0.0585,0.1569,0.1352,0.0529,0.1678,0.2149,0.0017,0.0606,0.1360,0.0897,0.1240,0.1032,0.2311,0.2127,0.1818,0.1996,0.2250,0.2346,0.1946,0.2369,0.2037,0.1770,0.1669,0.1589,0.6881,1.0000,0.7647,0.7550,0.6911,0.5793,0.6648,0.7050,0.6997,0.7337,0.6727,0.7399,0.7391,0.7220,0.7148,0.7599,0.6829,0.6997,0.3203,0.1957,0.3449,0.2824,0.2640,0.2295,0.3705,0.3669,0.3706,0.2836,0.2899,0.1663,0.0819,0.0383,0.1949,0.1389,0.0710,0.1527,0.0444,0.1506,0.2164,0.1578
R053,0.0949,0.0667,0.0908,0.2612,0.0566,0.1732,0.0972,0.0609,0.1181,0.1377,0.0676,0.1560,0.2063,0.0814,0.1072,0.0758,0.2455,0.0723,-0.1963,-0.1831,-0.0275,-0.1839,0.2465,0.2599,0.1544,0.1719,0.2004,0.3066,0.1788,0.1481,0.2702,0.2878,0.0745,0.1798,0.1824,0.1805,0.2055,0.2068,0.3074,0.2754,0.2774,0.2970,0.3614,0.2623,0.3072,0.3488,0.2683,0.2744,0.2350,0.2508,0.7527,0.7647,1.0000,0.7807,0.7435,0.6481,0.7440,0.7748,0.7178,0.7762,0.7690,0.7490,0.7651,0.7693,0.8064,0.7779,0.6822,0.7972,0.4406,0.4108,0.4663,0.4434,0.4119,0.3747,0.5447,0.5202,0.5143,0.4441,0.4704,0.3725,0.0799,0.1300,0.1864,0.2445,0.1818,0.1787,0.1633,0.1235,0.2606,0.1333
R054,0.2521,0.1381,0.2021,0.3807,0.1448,0.2363,0.2710,0.1488,0.2245,0.2115,0.2352,0.2544,0.3341,0.1892,0.2273,0.1947,0.3108,0.1704,-0.2709,-0.3191,-0.1564,-0.2898,0.2343,0.2413,0.1353,0.1362,0.2002,0.2931,0.0233,-0.0355,0.1709,0.1684,0.0116,0.0592,0.0704,0.0739,0.1246,0.0648,0.2515,0.2612,0.2050,0.1813,0.2490,0.2061,0.2412,0.2792,0.1890,0.2267,0.1872,0.2151,0.7778,0.7550,0.7807,1.0000,0.7967,0.7240,0.7611,0.7936,0.7820,0.7997,0.7793,0.7829,0.8428,0.7725,0.8055,0.7523,0.6932,0.7896,0.3944,0.2901,0.4155,0.3557,0.2520,0.2768,0.4771,0.4711,0.4064,0.3156,0.4080,0.2181,-0.0419,0.0519,0.1622,0.0803,0.0025,0.0321,0.0538,0.0585,0.2082,0.0868
R055,0.2101,0.2157,0.2434,0.3790,0.2266,0.3271,0.3292,0.1735,0.2294,0.2208,0.2377,0.2608,0.3363,0.3072,0.2479,0.2563,0.3597,0.2605,-0.2616,-0.2111,-0.0541,-0.2516,0.2307,0.2559,0.1333,0.1474,0.1766,0.2337,0.1331,0.0556,0.2390,0.2818,0.0647,0.1675,0.1502,0.1095,0.1586,0.1281,0.2600,0.3066,0.2537,0.2526,0.3127,0.2426,0.2831,0.2842,0.1942,0.2694,0.2179,0.2269,0.7120,0.6911,0.7435,0.7967,1.0000,0.6732,0.6983,0.7040,0.6970,0.7347,0.7370,0.6991,0.7963,0.7088,0.7210,0.7417,0.6768,0.7268,0.4039,0.3030,0.4188,0.3508,0.2557,0.3147,0.4537,0.4055,0.4182,0.3337,0.3897,0.2952,0.0875,0.1734,0.1786,0.2747,0.1383,0.1666,0.2221,0.2421,0.3727,0.2060
R056,0.3560,0.3024,0.3410,0.4888,0.2782,0.3460,0.4590,0.3216,0.3621,0.3801,0.3385,0.3645,0.4205,0.3467,0.3853,0.3231,0.4765,0.3360,-0.1226,-0.0708,0.0032,-0.1194,0.4460,0.4267,0.3720,0.3603,0.4088,0.4765,0.1124,0.1297,0.2860,0.2234,0.1096,0.2042,0.2124,0.1664,0.2613,0.1978,0.2540,0.3168,0.2808,0.2254,0.2239,0.2577,0.2703,0.2728,0.2109,0.2426,0.2071,0.2248,0.6719,0.5793,0.6481,0.7240,0.6732,1.0000,0.6881,0.6511,0.6886,0.7505,0.7308,0.7127,0.7421,0.7204,0.6626,0.6772,0.7135,0.7183,0.4546,0.3208,0.4395,0.3479,0.2729,0.3212,0.4912,0.4989,0.4193,0.3479,0.4580,0.3621,0.1167,0.1270,0.2864,0.1619,0.2085,0.1481,0.2179,0.2293,0.3156,0.2500
R057,0.1545,0.1183,0.1756,0.3087,0.1029,0.2529,0.2521,0.1641,0.1650,0.2299,0.1842,0.2558,0.2653,0.1507,0.1862,0.1916,0.2685,0.1861,-0.0875,-0.1709,-0.0287,-0.1632,0.2068,0.3064,0.2143,0.1984,0.2283,0.3610,0.2108,0.1135,0.2993,0.2908,0.1443,0.2513,0.2575,0.1991,0.2394,0.3103,0.3151,0.3535,0.2883,0.2761,0.3686,0.3394,0.3159,0.4177,0.3062,0.3235,0.3096,0.3035,0.6670,0.6648,0.7440,0.7611,0.6983,0.6881,1.0000,0.7474,0.7126,0.7630,0.7161,0.7202,0.8168,0.7397,0.7401,0.7220,0.6395,0.7843,0.3241,0.2563,0.3489,0.3438,0.2652,0.2464,0.4150,0.4309,0.3840,0.3302,0.3199,0.3144,0.0867,0.0913,0.2125,0.1536,0.1316,0.1303,0.1379,0.1328,0.2059,0.1342
R058,0.1954,0.1215,0.1718,0.3522,0.1100,0.2505,0.2337,0.1542,0.1769,0.2316,0.1714,0.2932,0.3009,0.1799,0.2089,0.1554,0.3060,0.1607,-0.1302,-0.2705,-0.1027,-0.2039,0.2598,0.2767,0.2042,0.1905,0.2367,0.3255,0.2010,0.0630,0.1811,0.2785,0.0429,0.1695,0.1316,0.1549,0.1998,0.1783,0.3254,0.2969,0.2739,0.2292,0.3317,0.2406,0.2713,0.3376,0.2765,0.2803,0.2546,0.2698,0.7044,0.7050,0.7748,0.7936,0.7040,0.6511,0.7474,1.0000,0.7327,0.7717,0.7069,0.7284,0.8191,0.7622,0.7821,0.7501,0.7234,0.8080,0.4097,0.3509,0.4854,0.4113,0.3358,0.3399,0.5016,0.4574,0.5175,0.4119,0.4221,0.4119,-0.0144,0.0892,0.2287,0.1531,0.0551,-0.0088,0.0184,0.1691,0.1593,0.1151
R059,0.2816,0.2020,0.2262,0.3930,0.2299,0.3140,0.2192,0.1678,0.2432,0.2704,0.2235,0.2675,0.3534,0.2474,0.2476,0.1794,0.3470,0.2545,-0.1876,-0.2174,-0.1038,-0.2505,0.2430,0.2815,0.1786,0.1474,0.2001,0.2506,0.0104,-0.0262,0.1185,0.1466,-0.0299,0.0219,0.0678,0.0405,0.1186,0.0594,0.1768,0.1883,0.1475,0.1116,0.1900,0.1183,0.1671,0.1827,0.1079,0.1588,0.1043,0.1525,0.7540,0.6997,0.7178,0.7820,0.6970,0.6886,0.7126,0.7327,1.0000,0.7432,0.6988,0.7288,0.7816,0.7858,0.7007,0.7648,0.6634,0.7449,0.4366,0.2916,0.4194,0.3733,0.2589,0.3058,0.4820,0.4810,0.4223,0.3142,0.4091,0.2277,0.0132,0.1408,0.2683,0.1264,0.0631,0.1690,0.0694,0.1782,0.2792,0.1723
