,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R040,-0.0053,0.1271,0.1249,0.1176,0.0500,0.1293,-0.0022,0.0738,-0.0283,-0.0755,0.0392,0.0699,-0.0072,0.0121,0.2687,0.1361,0.1305,0.2842,0.1540,0.2215,0.2046,0.2157,0.2190,0.1754,0.1222,0.1364,0.1772,0.1890,0.1953,0.1898,0.1346,0.1538,0.0977,0.0543,0.2418,0.1231,0.7297,0.7782,0.7617,1.0000,0.7356,0.7309,0.7549,0.7457,0.7883,0.7378,0.7503,0.6956,0.7367,0.7420,0.1838,0.3478,0.2603,0.1268,0.2826,0.2925,0.3067,0.2804,0.3073,0.2953,0.3305,0.3925,0.4311,0.2845,0.3776,0.1051,0.2682,0.3204
R041,0.0897,0.3118,0.3132,0.2506,0.1844,0.2630,0.1479,0.1763,0.0940,0.0366,0.1873,0.2686,0.0933,0.2269,0.1115,-0.0245,-0.0405,0.1380,0.0352,0.0800,0.0927,0.0131,0.0249,-0.0143,-0.0459,-0.0877,0.2177,0.2073,0.2196,0.1727,0.1077,0.1546,0.0941,0.0302,0.2979,0.1455,0.7691,0.8267,0.7450,0.7356,1.0000,0.7758,0.7595,0.7520,0.8096,0.7754,0.8031,0.7776,0.7743,0.8193,0.1689,0.3984,0.2869,0.2801,0.3165,0.2906,0.3169,0.3283,0.3359,0.3741,0.2331,0.3781,0.4030,0.2965,0.2922,0.1167,0.3284,0.2311
R042,-0.0172,0.2795,0.2204,0.1713,0.0976,0.1753,0.0532,0.1903,0.0289,-0.0210,0.1319,0.2171,-0.0072,0.1132,0.1704,0.0782,0.0340,0.2056,0.0994,0.1639,0.1526,0.1429,0.1135,0.1236,0.0425,0.0323,0.1729,0.2110,0.2348,0.1859,0.0983,0.1448,0.1237,0.1024,0.2937,0.1686,0.7488,0.8178,0.7327,0.7309,0.7758,1.0000,0.7723,0.7711,0.7720,0.7875,0.7599,0.7269,0.7831,0.7930,0.1179,0.3526,0.2422,0.1967,0.2992,0.2947,0.2571,0.2815,0.2932,0.3294,0.2758,0.3814,0.3184,0.2870,0.2864,0.0923,0.2608,0.2162
R043,-0.0243,0.1983,0.1528,0.1353,0.0753,0.1783,0.0289,0.0734,0.0118,-0.0551,0.1015,0.1768,-0.0163,0.1238,0.3203,0.1431,0.0950,0.2563,0.1252,0.2477,0.2033,0.1980,0.1649,0.1888,0.0832,0.0994,0.2176,0.2517,0.2435,0.1538,0.1312,0.2418,0.1394,0.0972,0.2105,0.1594,0.7931,0.8386,0.7797,0.7549,0.7595,0.7723,1.0000,0.8094,0.8097,0.7839,0.7850,0.7341,0.7967,0.8001,0.1633,0.3363,0.2709,0.1939,0.2765,0.2347,0.2477,0.3158,0.2631,0.3706,0.2432,0.3970,0.3303,0.2032,0.2810,0.0979,0.2847,0.2301
R044,-0.0416,0.1063,0.1503,0.0982,0.0609,0.1417,0.0028,0.0081,-0.0456,-0.1298,0.0419,0.1068,-0.0078,0.0273,0.1562,0.0392,0.0388,0.2299,0.0370,0.1547,0.1789,0.1251,0.0937,0.1369,0.0079,0.0361,0.1358,0.1405,0.1433,0.0765,0.0056,0.1092,0.0071,-0.0466,0.2020,0.0539,0.7323,0.8078,0.7591,0.7457,0.7520,0.7711,0.8094,1.0000,0.7965,0.8062,0.7901,0.7746,0.7615,0.8020,0.0916,0.3033,0.1719,0.1441,0.2069,0.1801,0.2430,0.2835,0.2602,0.3092,0.2342,0.4416,0.3233,0.2933,0.2835,0.1011,0.2914,0.2369
R045,-0.0414,0.2058,0.1397,0.1728,0.0838,0.1216,0.0445,0.0488,0.0146,-0.0984,0.1049,0.1666,-0.0283,0.0874,0.1830,0.0639,0.0566,0.2200,0.0561,0.1590,0.1638,0.1386,0.1000,0.1186,0.0558,-0.0005,0.1251,0.2094,0.1808,0.1409,0.0707,0.1370,0.0550,-0.0197,0.2062,0.0931,0.7748,0.8384,0.7585,0.7883,0.8096,0.7720,0.8097,0.7965,1.0000,0.7896,0.8175,0.8214,0.7998,0.8005,0.1894,0.4208,0.2330,0.2599,0.3173,0.3063,0.2785,0.3698,0.3352,0.3705,0.2957,0.3692,0.4132,0.2728,0.3197,0.0980,0.3604,0.2415
R046,0.0980,0.3178,0.2957,0.2426,0.2023,0.2976,0.1481,0.1854,0.1113,0.0790,0.2191,0.3053,0.0647,0.2285,0.2084,0.0564,0.0351,0.2404,0.0755,0.1886,0.1619,0.1426,0.1192,0.1445,0.0239,0.0431,0.2416,0.2542,0.3082,0.2647,0.1724,0.2612,0.1408,0.1093,0.3274,0.2014,0.7556,0.8333,0.7282,0.7378,0.7754,0.7875,0.7839,0.8062,0.7896,1.0000,0.7979,0.7536,0.7588,0.7820,0.1398,0.3570,0.2957,0.2554,0.2867,0.2906,0.3096,0.3303,0.3532,0.3948,0.2624,0.3894,0.3196,0.1884,0.2538,0.0452,0.2592,0.1971
R047,0.0445,0.2552,0.2742,0.2022,0.1207,0.1656,0.0523,0.1101,0.0462,-0.0232,0.1243,0.2347,0.0398,0.1327,0.1205,-0.0491,-0.0594,0.1073,-0.0470,0.0727,0.0755,0.0241,-0.0222,-0.0075,-0.0705,-0.0926,0.1607,0.1403,0.2174,0.1516,0.0658,0.1527,0.0672,-0.0225,0.2609,0.1037,0.7668,0.8406,0.7558,0.7503,0.8031,0.7599,0.7850,0.7901,0.8175,0.7979,1.0000,0.7661,0.8119,0.8603,0.1080,0.3396,0.1798,0.1917,0.2350,0.1847,0.2173,0.2562,0.2586,0.3318,0.2030,0.3490,0.2843,0.1401,0.2099,0.0236,0.1874,0.1182
R048,0.0008,0.2325,0.2423,0.2418,0.1050,0.2112,0.1135,0.0667,0.0587,-0.0081,0.1789,0.2232,0.0501,0.1211,0.0721,0.0070,-0.0028,0.1389,-0.0117,0.0731,0.1368,0.0664,0.0278,0.0283,0.0109,-0.0635,0.0860,0.1189,0.1243,0.0530,-0.0003,0.0650,-0.0315,-0.0480,0.1868,-0.0011,0.6750,0.7565,0.7245,0.6956,0.7776,0.7269,0.7341,0.7746,0.8214,0.7536,0.7661,1.0000,0.7470,0.7638,0.1718,0.3029,0.2244,0.2047,0.2105,0.2464,0.2098,0.2915,0.3346,0.3580,0.1765,0.2603,0.3641,0.2128,0.1961,0.0894,0.2539,0.1376
R049,-0.0723,0.1779,0.1214,0.1044,-0.0016,0.0840,-0.0229,0.0571,0.0106,-0.0838,0.0074,0.1437,0.0180,0.0193,0.1574,0.0964,0.0730,0.2322,0.1207,0.2249,0.2198,0.1485,0.1339,0.1040,0.0466,0.0567,0.1032,0.0967,0.1388,0.1302,0.0228,0.0786,0.0267,-0.0704,0.1902,0.0365,0.7136,0.8398,0.7642,0.7367,0.7743,0.7831,0.7967,0.7615,0.7998,0.7588,0.8119,0.7470,1.0000,0.8184,0.1936,0.3668,0.2580,0.1674,0.2939,0.2750,0.3037,0.2849,0.2623,0.3471,0.2113,0.3247,0.2886,0.1660,0.2782,0.0698,0.2775,0.2193
R050,-0.0707,0.1923,0.1612,0.1024,0.0219,0.1827,-0.0691,0.0226,-0.0601,-0.1052,0.0311,0.1260,-0.0161,0.0340,0.0356,-0.0967,-0.1033,0.0887,-0.0800,0.0089,0.0196,-0.0470,-0.0470,-0.0498,-0.1363,-0.1310,0.1276,0.1760,0.2045,0.1269,0.0553,0.1237,0.0313,-0.0320,0.2411,0.0862,0.7446,0.8376,0.7868,0.7420,0.8193,0.7930,0.8001,0.8020,0.8005,0.7820,0.8603,0.7638,0.8184,1.0000,0.0974,0.2740,0.1687,0.1720,0.2164,0.2190,0.2117,0.2425,0.2122,0.2637,0.2145,0.3542,0.3850,0.1885,0.2424,0.1094,0.2646,0.1514
R051,0.3450,0.3319,0.2720,0.3348,0.3233,0.3377,0.3676,0.1948,0.3720,0.2720,0.3203,0.3292,0.3150,0.3176,0.3265,0.3917,0.3058,0.3510,0.2289,0.3218,0.3528,0.3676,0.3220,0.2712,0.2069,0.2229,0.2155,0.1856,0.2671,0.2523,0.2997,0.2242,0.2941,0.2360,0.1882,0.2818,0.1952,0.1907,0.1469,0.1838,0.1689,0.1179,0.1633,0.0916,0.1894,0.1398,0.1080,0.1718,0.1936,0.0974,1.0000,0.7204,0.6468,0.6481,0.6252,0.5629,0.6619,0.5873,0.6035,0.5980,-0.0480,0.0135,0.0840,0.0789,0.2279,0.0538,0.0439,0.0508
R052,0.4517,0.4456,0.3345,0.4172,0.3800,0.4129,0.3780,0.3194,0.4806,0.2947,0.4222,0.4485,0.3907,0.4199,0.3319,0.3380,0.2912,0.3964,0.3102,0.3138,0.3730,0.3887,0.2973,0.2901,0.2480,0.1687,0.2416,0.2194,0.2794,0.3409,0.3227,0.2690,0.2725,0.2328,0.2375,0.3185,0.3782,0.4051,0.3255,0.3478,0.3984,0.3526,0.3363,0.3033,0.4208,0.3570,0.3396,0.3029,0.3668,0.2740,0.7204,1.0000,0.6772,0.7516,0.7540,0.6783,0.7357,0.6038,0.7110,0.6797,0.0320,0.0753,0.1295,0.0945,0.2038,0.0215,0.0583,0.0535
R053,0.5067,0.4365,0.3750,0.3792,0.4530,0.4915,0.4738,0.3935,0.4894,0.3885,0.4347,0.4743,0.3948,0.4190,0.3846,0.3502,0.3086,0.3890,0.3138,0.3066,0.4223,0.3366,0.3278,0.3183,0.2746,0.2672,0.4213,0.3728,0.3989,0.4919,0.5340,0.4162,0.5064,0.4228,0.3623,0.4711,0.2423,0.2957,0.2484,0.2603,0.2869,0.2422,0.2709,0.1719,0.2330,0.2957,0.1798,0.2244,0.2580,0.1687,0.6468,0.6772,1.0000,0.6881,0.7113,0.7194,0.7284,0.6288,0.6546,0.7295,0.0111,0.0727,0.1371,0.0911,0.1581,0.0387,0.0639,0.0735
R054,0.5374,0.5333,0.4631,0.4767,0.4766,0.5418,0.5090,0.4388,0.5373,0.4469,0.5172,0.5529,0.4406,0.5085,0.3040,0.2550,0.1631,0.2698,0.2075,0.1878,0.2457,0.2510,0.1638,0.2024,0.1585,0.0789,0.4336,0.4265,0.4976,0.4581,0.5542,0.4987,0.4540,0.4272,0.4192,0.5165,0.1911,0.2493,0.1942,0.1268,0.2801,0.1967,0.1939,0.1441,0.2599,0.2554,0.1917,0.2047,0.1674,0.1720,0.6481,0.7516,0.6881,1.0000,0.7241,0.6377,0.6242,0.5461,0.6225,0.6908,-0.0034,0.0210,0.1489,0.0382,0.1614,0.0513,-0.0218,0.0658
R055,0.4844,0.3608,0.4106,0.4401,0.3837,0.4366,0.4148,0.4078,0.4546,0.3462,0.3832,0.4699,0.4264,0.4470,0.3749,0.3523,0.2826,0.3804,0.3329,0.3185,0.3769,0.3694,0.3017,0.3286,0.3330,0.2250,0.3203,0.3176,0.3923,0.3731,0.4834,0.3503,0.4272,0.3299,0.3342,0.4017,0.3464,0.3236,0.2604,0.2826,0.3165,0.2992,0.2765,0.2069,0.3173,0.2867,0.2350,0.2105,0.2939,0.2164,0.6252,0.7540,0.7113,0.7241,1.0000,0.7045,0.7167,0.5875,0.6150,0.7046,0.0157,0.1027,0.1471,0.1206,0.2451,0.0910,0.0760,0.1235
R056,0.3988,0.3834,0.2432,0.3658,0.3231,0.4170,0.3278,0.3247,0.4163,0.3037,0.3751,0.4065,0.3655,0.3410,0.2071,0.2224,0.1800,0.2563,0.1634,0.1973,0.2714,0.2413,0.1551,0.2555,0.2138,0.1903,0.2961,0.2544,0.3699,0.4079,0.4462,0.3276,0.3302,0.3552,0.2940,0.3783,0.2176,0.3003,0.2299,0.2925,0.2906,0.2947,0.2347,0.1801,0.3063,0.2906,0.1847,0.2464,0.2750,0.2190,0.5629,0.6783,0.7194,0.6377,0.7045,1.0000,0.7596,0.5004,0.5920,0.6478,-0.0437,-0.0154,0.0952,0.0858,0.1342,-0.0393,0.0604,0.0368
R057,0.5303,0.4067,0.3672,0.4511,0.4146,0.4952,0.4482,0.3287,0.4622,0.3762,0.4017,0.4337,0.4531,0.4822,0.3453,0.3042,0.2419,0.3442,0.2192,0.3067,0.3607,0.3046,0.2650,0.3472,0.1982,0.2049,0.3623,0.2486,0.3656,0.4062,0.4313,0.3588,0.3500,0.3332,0.2946,0.3314,0.2952,0.3445,0.2571,0.3067,0.3169,0.2571,0.2477,0.2430,0.2785,0.3096,0.2173,0.2098,0.3037,0.2117,0.6619,0.7357,0.7284,0.6242,0.7167,0.7596,1.0000,0.5426,0.6582,0.6943,0.0132,0.1099,0.0906,0.1280,0.2461,-0.0003,0.1152,0.0551
R058,0.2370,0.2866,0.2822,0.2428,0.2883,0.3442,0.3318,0.1762,0.3119,0.1977,0.2666,0.2501,0.2005,0.2533,0.2869,0.2280,0.1720,0.2308,0.1546,0.2114,0.3350,0.2598,0.1982,0.2203,0.1581,0.1485,0.2164,0.3357,0.3554,0.2837,0.3063,0.2993,0.2668,0.2659,0.3259,0.2864,0.3724,0.3574,0.3008,0.2804,0.3283,0.2815,0.3158,0.2835,0.3698,0.3303,0.2562,0.2915,0.2849,0.2425,0.5873,0.6038,0.6288,0.5461,0.5875,0.5004,0.5426,1.0000,0.5555,0.5633,-0.0291,0.1083,0.1897,0.1623,0.2506,0.0775,0.2004,0.0794
R059,0.4256,0.3818,0.3774,0.3862,0.4014,0.4723,0.3098,0.3892,0.4022,0.3532,0.3928,0.3957,0.3223,0.3916,0.3264,0.2297,0.2438,0.3571,0.2072,0.2684,0.3775,0.3027,0.2945,0.2557,0.2381,0.2094,0.2610,0.1828,0.2632,0.2779,0.3279,0.2374,0.2722,0.2764,0.2316,0.2346,0.3410,0.3314,0.2360,0.3073,0.3359,0.2932,0.2631,0.2602,0.3352,0.3532,0.2586,0.3346,0.2623,0.2122,0.6035,0.7110,0.6546,0.6225,0.6150,0.5920,0.6582,0.5555,1.0000,0.6106,0.1106,0.1224,0.2165,0.2077,0.2156,0.0994,0.0918,0.0747
R060,0.4951,0.4693,0.4799,0.4950,0.4354,0.5080,0.4895,0.4145,0.4988,0.4181,0.5013,0.5486,0.3677,0.5363,0.3133,0.3351,0.2364,0.3294,0.2275,0.2880,0.3807,0.3578,0.2578,0.2845,0.2593,0.1470,0.3979,0.3428,0.4349,0.4612,0.5058,0.4272,0.4442,0.3819,0.3484,0.4275,0.3195,0.3780,0.3337,0.2953,0.3741,0.3294,0.3706,0.3092,0.3705,0.3948,0.3318,0.3580,0.3471,0.2637,0.5980,0.6797,0.7295,0.6908,0.7046,0.6478,0.6943,0.5633,0.6106,1.0000,-0.0067,0.1215,0.1032,0.0345,0.1931,0.0064,0.0250,-0.0353
R061,-0.0301,-0.0078,-0.0423,-0.0917,0.0616,-0.0317,-0.0331,0.0720,-0.0925,0.0247,0.0300,0.0348,0.0853,0.0738,0.0604,0.1122,0.0323,0.1650,0.1278,0.0825,0.0633,0.0629,0.2174,0.0881,0.1223,0.0893,0.0425,0.2377,0.1048,0.1820,0.1222,0.1256,0.1664,0.0576,0.1220,0.1653,0.3199,0.2622,0.1979,0.3305,0.2331,0.2758,0.2432,0.2342,0.2957,0.2624,0.2030,0.1765,0.2113,0.2145,-0.0480,0.0320,0.0111,-0.0034,0.0157,-0.0437,0.0132,-0.0291,0.1106,-0.0067,1.0000,0.5653,0.6001,0.5344,0.5983,0.5197,0.5913,0.6075
R062,0.0155,0.0675,0.1061,-0.0406,0.1640,0.1064,0.0864,0.1097,-0.0593,-0.0158,0.0754,0.1297,0.0871,0.0592,0.2295,0.1163,0.0405,0.2403,0.1813,0.1556,0.1838,0.1265,0.2190,0.1503,0.0506,0.1975,0.1152,0.1564,0.1219,0.1287,0.0986,0.1299,0.0954,-0.0030,0.1044,0.1253,0.3845,0.3823,0.3592,0.3925,0.3781,0.3814,0.3970,0.4416,0.3692,0.3894,0.3490,0.2603,0.3247,0.3542,0.0135,0.0753,0.0727,0.0210,0.1027,-0.0154,0.1099,0.1083,0.1224,0.1215,0.5653,1.0000,0.5580,0.5708,0.5505,0.4356,0.5553,0.5448
R063,-0.0423,0.0862,0.0487,-0.0290,0.1164,0.0500,0.0078,0.0475,-0.0679,-0.0094,0.0084,0.1283,0.0479,0.0314,0.0406,-0.0572,-0.1140,0.0345,0.0318,-0.1048,0.0029,-0.0356,0.0366,-0.0842,-0.0249,-0.0626,0.0400,0.2151,0.1081,0.1059,0.0474,0.1049,0.0814,-0.0122,0.0874,0.0758,0.3516,0.3399,0.3942,0.4311,0.4030,0.3184,0.3303,0.3233,0.4132,0.3196,0.2843,0.3641,0.2886,0.3850,0.0840,0.1295,0.1371,0.1489,0.1471,0.0952,0.0906,0.1897,0.2165,0.1032,0.6001,0.5580,1.0000,0.6646,0.5525,0.5420,0.6564,0.5840
R064,-0.0042,-0.0834,-0.0567,-0.0567,0.0802,0.0116,-0.0552,-0.0009,-0.1107,-0.0919,-0.0524,0.0356,0.0904,0.0294,0.0621,0.0162,0.0411,0.1409,0.0937,0.0016,0.0749,0.0334,0.1028,0.0033,0.0840,0.0580,-0.0654,0.0158,-0.0610,-0.0333,-0.1052,-0.0775,-0.0285,-0.1241,-0.0277,-0.0063,0.3032,0.2095,0.2410,0.2845,0.2965,0.2870,0.2032,0.2933,0.2728,0.1884,0.1401,0.2128,0.1660,0.1885,0.0789,0.0945,0.0911,0.0382,0.1206,0.0858,0.1280,0.1623,0.2077,0.0345,0.5344,0.5708,0.6646,1.0000,0.5920,0.4975,0.6263,0.6369
R065,-0.0061,0.0054,-0.0036,-0.0144,-0.0186,0.0968,0.0262,0.0281,-0.0328,-0.0068,0.0228,0.0475,0.1343,0.0795,0.1915,0.2051,0.1239,0.2072,0.1568,0.1595,0.2048,0.2191,0.2631,0.1336,0.0898,0.1585,0.0503,0.2042,0.1161,0.1422,0.0926,0.0740,0.0944,0.0145,0.0872,0.1223,0.3363,0.3316,0.3042,0.3776,0.2922,0.2864,0.2810,0.2835,0.3197,0.2538,0.2099,0.1961,0.2782,0.2424,0.2279,0.2038,0.1581,0.1614,0.2451,0.1342,0.2461,0.2506,0.2156,0.1931,0.5983,0.5505,0.5525,0.5920,1.0000,0.5263,0.6048,0.6338
R066,0.0247,0.1235,0.0743,0.0568,0.1789,0.0588,0.1454,0.1366,0.0758,0.2041,0.1315,0.1169,0.1477,0.0976,-0.0615,0.0527,-0.0304,0.0161,0.0729,-0.0701,-0.0019,-0.0393,0.0995,0.0007,-0.0428,0.0256,0.0845,0.2756,0.1343,0.1271,0.0998,0.1716,0.1346,0.0925,0.1502,0.1164,0.1804,0.0922,0.0944,0.1051,0.1167,0.0923,0.0979,0.1011,0.0980,0.0452,0.0236,0.0894,0.0698,0.1094,0.0538,0.0215,0.0387,0.0513,0.0910,-0.0393,-0.0003,0.0775,0.0994,0.0064,0.5197,0.4356,0.5420,0.4975,0.5263,1.0000,0.5192,0.5422
R067,-0.0849,-0.0322,-0.0784,-0.0667,0.0521,-0.0459,-0.0915,-0.0489,-0.1133,-0.0853,-0.0050,0.0215,0.0504,0.0070,0.0217,0.0016,-0.0417,0.0827,0.0775,-0.0279,0.0440,0.0108,0.1136,0.0531,-0.0487,0.0486,-0.1103,0.0825,-0.0230,-0.0253,-0.0334,-0.0625,-0.0401,-0.1158,-0.0451,-0.0419,0.2948,0.2866,0.2514,0.2682,0.3284,0.2608,0.2847,0.2914,0.3604,0.2592,0.1874,0.2539,0.2775,0.2646,0.0439,0.0583,0.0639,-0.0218,0.0760,0.0604,0.1152,0.2004,0.0918,0.0250,0.5913,0.5553,0.6564,0.6263,0.6048,0.5192,1.0000,0.6397
R068,-0.0894,-0.1048,-0.0859,-0.1832,0.0066,-0.0399,-0.0372,-0.0257,-0.1839,-0.0515,-0.0953,-0.0493,0.0628,-0.0385,0.0747,0.0744,0.0080,0.1407,0.1745,-0.0044,0.0286,0.0324,0.1178,0.0491,0.0550,0.0993,0.0469,0.1380,0.0818,0.0842,0.0622,0.0770,0.0696,-0.0344,0.0675,0.0914,0.2278,0.2200,0.2758,0.3204,0.2311,0.2162,0.2301,0.2369,0.2415,0.1971,0.1182,0.1376,0.2193,0.1514,0.0508,0.0535,0.0735,0.0658,0.1235,0.0368,0.0551,0.0794,0.0747,-0.0353,0.6075,0.5448,0.5840,0.6369,0.6338,0.5422,0.6397,1.0000
