,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R029,0.0929,0.2372,0.2324,0.2250,0.1275,0.1479,0.1222,0.0840,0.2063,0.0796,0.0735,0.2095,0.1575,0.0261,0.1135,0.1049,0.0709,0.0706,0.0085,0.1347,0.1207,0.2708,0.0547,0.1747,0.1484,0.1651,0.0517,0.0869,1.0000,0.7974,0.7784,0.7976,0.8288,0.7874,0.8326,0.7861,0.8104,0.7746,0.3028,0.3813,0.2657,0.2785,0.2459,0.4221,0.2660,0.3727,0.2792,0.1999,0.3038,0.2465,0.3235,0.2141,0.0037,0.2018,0.2318,0.1295,0.2800,0.2777,0.3080,0.1676,0.0783,0.2937,0.2838,-0.0135,0.2797,0.2930,0.1205,0.2078,0.2079,0.2360,0.1280,0.2101,0.1150,0.1639,0.1905,0.1909,0.1419,0.1801,0.1870,0.0775,0.1307,0.0736,0.2599,0.1559,0.2481,0.1263,0.2867,0.2799,0.2651,0.1596
R030,0.0395,0.1273,0.0770,0.1600,0.1011,0.1197,0.0954,-0.0052,0.1684,0.0251,-0.0180,0.1313,0.0748,-0.0993,0.0443,0.0326,-0.0239,-0.0015,-0.0296,0.0917,0.0543,0.1915,0.0709,0.1268,0.1356,0.1734,0.0909,0.1598,0.7974,1.0000,0.7880,0.7918,0.8235,0.7669,0.7977,0.7787,0.7854,0.7952,0.3054,0.3063,0.1575,0.2102,0.1430,0.3850,0.2039,0.3828,0.2275,0.1825,0.2734,0.2806,0.2951,0.2540,0.0357,0.2206,0.1834,0.1763,0.2914,0.2985,0.2742,0.1459,0.1247,0.2978,0.2542,-0.0002,0.2675,0.2662,0.1624,0.1469,0.2138,0.2195,0.1165,0.1684,0.1165,0.1935,0.2228,0.1778,0.1605,0.1946,0.2608,0.1007,0.1230,0.0719,0.2669,0.2025,0.2491,0.0895,0.2770,0.3096,0.2432,0.1180
R031,0.0547,0.1550,0.1594,0.1357,0.0692,0.0814,0.1129,0.0244,0.1314,0.0536,0.0144,0.1556,0.1083,-0.1149,0.0486,-0.0145,-0.0241,0.0084,-0.0920,0.0205,0.0444,0.1568,0.0465,0.1527,0.1300,0.1922,0.0709,0.0976,0.7784,0.7880,1.0000,0.7770,0.8048,0.7700,0.7553,0.7301,0.7876,0.7817,0.2471,0.2229,0.1145,0.1207,0.0924,0.2149,0.1689,0.2383,0.1483,0.1046,0.1316,0.1415,0.3188,0.2779,0.1137,0.2772,0.3135,0.2676,0.3273,0.3215,0.2871,0.2077,0.1754,0.3626,0.3262,0.0826,0.3390,0.2777,0.1909,0.2482,0.1860,0.1957,0.1015,0.1918,0.0885,0.1959,0.1714,0.1655,0.0988,0.1558,0.1997,0.1131,0.0811,0.0192,0.1768,0.1302,0.1712,0.0359,0.2700,0.2388,0.1752,0.1191
R032,-0.0081,0.1006,0.0845,0.1150,0.0618,0.0745,0.0550,-0.0086,0.0392,0.0006,-0.0921,0.0434,0.0229,-0.0795,-0.0308,-0.0106,-0.0630,-0.0379,-0.0161,0.1365,0.0976,0.2563,0.0014,0.0768,0.0888,0.1559,-0.0103,0.0700,0.7976,0.7918,0.7770,1.0000,0.7872,0.7757,0.8290,0.7545,0.7945,0.8112,0.2722,0.1926,0.1635,0.1518,0.1275,0.3428,0.1893,0.3365,0.1901,0.1489,0.2271,0.1522,0.2901,0.2128,0.0351,0.1713,0.2561,0.1503,0.2207,0.2814,0.2561,0.1212,0.0997,0.3176,0.2767,-0.0114,0.2755,0.2741,0.1153,0.1920,0.1637,0.1279,0.0762,0.1020,0.0465,0.1171,0.1522,0.1241,0.1122,0.0799,0.1541,0.0276,0.0428,0.0405,0.1728,0.1464,0.1730,0.0711,0.2068,0.2386,0.2115,0.1061
R033,0.0326,0.1957,0.1660,0.1919,0.0874,0.0437,0.0522,0.0089,0.1339,0.0683,-0.0188,0.0982,0.1060,-0.0716,0.0770,0.0294,-0.0475,-0.0098,-0.0447,0.0481,0.0540,0.2231,0.0038,0.0799,0.0742,0.0906,0.0515,0.0696,0.8288,0.8235,0.8048,0.7872,1.0000,0.8183,0.8111,0.7902,0.8183,0.8450,0.2851,0.2570,0.1541,0.1579,0.1351,0.3678,0.1896,0.3290,0.2539,0.1653,0.2484,0.2093,0.3794,0.2900,0.0792,0.2438,0.2505,0.1574,0.3233,0.3322,0.3782,0.2097,0.1590,0.3686,0.2840,0.0602,0.3329,0.3226,0.1624,0.2272,0.1530,0.2088,0.0484,0.1197,0.0066,0.0911,0.1440,0.0503,0.0495,0.0739,0.1760,0.0010,0.0059,-0.0075,0.1682,0.0730,0.1632,0.0455,0.2014,0.2295,0.1678,0.0663
R034,0.0836,0.1908,0.1589,0.1814,0.1098,0.0915,0.0901,0.0052,0.1014,0.0812,0.0488,0.1231,0.1139,-0.0362,0.0594,0.0280,-0.0126,0.0175,-0.0746,0.0201,0.0276,0.1553,-0.0667,0.0699,0.0449,0.0423,-0.0085,0.0075,0.7874,0.7669,0.7700,0.7757,0.8183,1.0000,0.7874,0.7343,0.7563,0.8319,0.1840,0.1801,0.0632,0.1145,0.0341,0.2693,0.0749,0.1879,0.1230,0.1095,0.1486,0.0286,0.2570,0.2555,-0.0575,0.2020,0.2905,0.1440,0.2331,0.3240,0.2537,0.1452,0.1500,0.3187,0.3306,0.0261,0.2330,0.2710,0.0362,0.2311,0.0518,0.0665,-0.0439,0.0445,-0.0676,0.0302,0.0644,-0.0019,-0.0806,-0.0141,0.0666,-0.0682,-0.0119,-0.0106,0.1511,0.0616,0.1618,-0.0018,0.1661,0.1961,0.1871,0.0335
R035,0.0511,0.1136,0.1290,0.1875,0.0917,0.1266,0.0414,0.0324,0.1285,0.0454,-0.0367,0.1400,0.0729,-0.0012,0.0392,-0.0149,0.0018,0.0511,0.0599,0.1898,0.2028,0.3170,0.0530,0.1358,0.1315,0.1494,0.0717,0.0991,0.8326,0.7977,0.7553,0.8290,0.8111,0.7874,1.0000,0.7862,0.8081,0.8111,0.2996,0.2774,0.1297,0.2223,0.1881,0.3946,0.2222,0.3696,0.2259,0.1644,0.2665,0.2188,0.3144,0.2477,0.0342,0.2523,0.2394,0.1517,0.2983,0.3267,0.2912,0.1634,0.1021,0.3946,0.2444,0.0685,0.2506,0.2715,0.0819,0.2436,0.1639,0.1730,0.0032,0.1133,0.0130,0.0766,0.1362,0.0800,0.0743,0.1086,0.1306,-0.0013,0.1511,0.1367,0.2685,0.1881,0.2860,0.1780,0.2688,0.2787,0.2703,0.1846
R036,0.1195,0.2226,0.2109,0.2136,0.1117,0.1359,0.0941,0.0575,0.1058,0.0977,0.0065,0.1897,0.1503,0.0123,0.1067,0.1135,0.0240,0.0629,0.0571,0.1509,0.2061,0.3270,0.0421,0.1640,0.1437,0.1735,0.0718,0.1333,0.7861,0.7787,0.7301,0.7545,0.7902,0.7343,0.7862,1.0000,0.8043,0.7385,0.2892,0.3258,0.1616,0.2596,0.2060,0.3669,0.2713,0.3833,0.2737,0.1881,0.2654,0.2352,0.3483,0.2751,0.0286,0.2128,0.2612,0.1311,0.2884,0.2748,0.2508,0.2157,0.1414,0.3717,0.2797,0.0473,0.3147,0.3992,0.1815,0.2433,0.2978,0.2896,0.1407,0.2270,0.2134,0.1620,0.2637,0.1901,0.1773,0.2382,0.2567,0.1135,0.1775,0.1523,0.3008,0.2150,0.2794,0.1818,0.3075,0.3645,0.2710,0.2129
R037,0.1048,0.1725,0.1594,0.1776,0.1211,0.1240,0.1301,0.0406,0.1118,0.0607,0.0122,0.1583,0.1230,-0.0034,0.0597,0.0265,0.0010,0.0005,-0.0212,0.1104,0.0848,0.2479,0.0557,0.1342,0.1206,0.1577,0.0798,0.1116,0.8104,0.7854,0.7876,0.7945,0.8183,0.7563,0.8081,0.8043,1.0000,0.7833,0.2216,0.2107,0.1277,0.2022,0.1263,0.3618,0.2081,0.2983,0.2020,0.1301,0.1792,0.1625,0.2323,0.2044,0.0257,0.2686,0.2129,0.1241,0.2108,0.3092,0.2686,0.1803,0.0986,0.3386,0.2325,-0.0516,0.2960,0.2830,0.1731,0.1449,0.2806,0.2452,0.1791,0.2088,0.1472,0.2029,0.2427,0.2404,0.1891,0.1974,0.2746,0.1142,0.1426,0.0323,0.2482,0.1595,0.2036,0.0992,0.2557,0.2781,0.2294,0.1674
R038,0.0221,0.1522,0.1168,0.1603,0.1051,0.0817,0.0320,-0.0261,0.1050,0.0457,-0.0126,0.1018,0.0721,-0.0473,0.0864,0.0444,-0.0283,-0.0051,-0.1077,0.0152,0.0098,0.1850,-0.0156,0.1360,0.0716,0.0978,0.0384,0.0589,0.7746,0.7952,0.7817,0.8112,0.8450,0.8319,0.8111,0.7385,0.7833,1.0000,0.2278,0.2208,0.0952,0.1361,0.0584,0.3347,0.1345,0.2899,0.1914,0.0849,0.1826,0.1411,0.4085,0.3350,0.1221,0.2706,0.2847,0.1896,0.3485,0.3530,0.3172,0.2793,0.2261,0.3644,0.3475,0.1279,0.3632,0.3451,0.1738,0.2623,0.0372,0.0552,-0.0346,0.0390,-0.0571,-0.0225,0.0562,0.0226,-0.0482,-0.0333,0.0581,-0.1047,0.1130,0.0708,0.2107,0.1666,0.2529,0.1244,0.2368,0.2927,0.2278,0.1147
R039,0.4918,0.3755,0.4212,0.4997,0.4767,0.4703,0.3901,0.4376,0.4875,0.4017,0.3105,0.4582,0.4362,0.3687,0.4424,0.4291,0.3927,0.3970,0.3695,0.2931,0.4002,0.3752,0.3483,0.3601,0.3525,0.3272,0.3621,0.3517,0.3028,0.3054,0.2471,0.2722,0.2851,0.1840,0.2996,0.2892,0.2216,0.2278,1.0000,0.6540,0.5212,0.5941,0.6236,0.5416,0.6050,0.6385,0.5934,0.5972,0.6473,0.6250,0.2115,0.3626,0.1683,0.1014,0.1408,0.0448,0.2425,0.1761,0.1418,0.1131,0.1990,0.3141,0.2337,0.2113,0.0819,0.1996,0.1621,0.1579,-0.0240,0.1014,0.0259,-0.0334,0.0269,0.0137,-0.0106,0.0392,-0.0035,0.0926,0.0222,-0.0024,0.1743,0.1801,0.0283,0.0768,0.1823,0.1862,0.2923,0.2746,0.1606,0.0863
R040,0.4618,0.3591,0.4811,0.5304,0.3620,0.4176,0.4244,0.4234,0.4725,0.4117,0.3756,0.5303,0.4117,0.3526,0.3974,0.4367,0.4356,0.4132,0.3371,0.3279,0.3592,0.3370,0.3345,0.3989,0.3944,0.3510,0.3623,0.4083,0.3813,0.3063,0.2229,0.1926,0.2570,0.1801,0.2774,0.3258,0.2107,0.2208,0.6540,1.0000,0.6512,0.7301,0.7172,0.6525,0.7120,0.6844,0.6882,0.7025,0.6925,0.7531,0.1080,0.1447,-0.0187,-0.0855,0.0375,-0.0869,0.1451,0.0204,0.0615,0.0108,-0.0319,0.1653,0.1187,0.0558,0.0202,0.1462,0.0046,0.0316,0.1327,0.2622,0.1627,0.0540,0.1208,0.1654,0.1141,0.1588,0.1072,0.1508,0.1806,0.1524,0.1614,0.1483,-0.0026,0.1259,0.1293,0.1709,0.2794,0.2033,0.2409,0.0643
R041,0.4049,0.4430,0.4446,0.4941,0.3170,0.3926,0.3609,0.4107,0.4194,0.4040,0.2914,0.3836,0.3499,0.3037,0.4040,0.3017,0.3117,0.4099,0.2478,0.1853,0.2661,0.2170,0.2589,0.3168,0.2917,0.2288,0.2704,0.2686,0.2657,0.1575,0.1145,0.1635,0.1541,0.0632,0.1297,0.1616,0.1277,0.0952,0.5212,0.6512,1.0000,0.5666,0.6202,0.5208,0.6391,0.4972,0.5719,0.5499,0.5393,0.5632,0.0905,0.1651,-0.0005,0.0135,0.0576,-0.0489,0.1311,0.0253,0.1497,0.0183,0.1099,0.1136,0.1272,0.0499,0.0451,0.1383,0.0733,0.0704,0.1777,0.1355,0.2205,0.0489,0.1319,0.2002,0.0733,0.1765,0.1040,0.1858,0.1265,0.1623,0.1664,0.1377,0.0005,0.1292,0.0979,0.1671,0.2557,0.1621,0.2810,0.1223
R042,0.4810,0.4024,0.3949,0.5002,0.3789,0.4499,0.3948,0.4563,0.4572,0.3861,0.3472,0.4726,0.4303,0.4190,0.4505,0.3945,0.4327,0.3997,0.3017,0.3007,0.3203,0.3154,0.4117,0.4423,0.4849,0.4071,0.4584,0.4778,0.2785,0.2102,0.1207,0.1518,0.1579,0.1145,0.2223,0.2596,0.2022,0.1361,0.5941,0.7301,0.5666,1.0000,0.6820,0.6057,0.7410,0.5720,0.6677,0.6994,0.6982,0.6065,0.1222,0.1924,-0.0207,-0.1092,0.0683,-0.0325,0.0747,0.0622,-0.0072,0.0712,0.0109,0.0959,0.0477,0.0756,-0.0072,0.1159,-0.0200,0.0432,0.3039,0.3417,0.2632,0.1861,0.2541,0.3245,0.2958,0.2679,0.2630,0.2521,0.3437,0.2834,0.1928,0.2305,0.0791,0.1283,0.1592,0.2203,0.2417,0.2183,0.2829,0.1615
R043,0.4714,0.3919,0.4801,0.5108,0.3663,0.4326,0.4400,0.4908,0.4803,0.4116,0.3773,0.4987,0.4502,0.3742,0.4646,0.3718,0.5076,0.4207,0.3919,0.3458,0.4353,0.3426,0.4530,0.4619,0.4508,0.4571,0.5177,0.4865,0.2459,0.1430,0.0924,0.1275,0.1351,0.0341,0.1881,0.2060,0.1263,0.0584,0.6236,0.7172,0.6202,0.6820,1.0000,0.5866,0.6877,0.5906,0.6405,0.6129,0.6310,0.7096,0.0569,0.1257,-0.0217,-0.0504,0.0083,-0.0713,0.0413,0.0475,-0.0246,-0.0363,-0.0654,0.1320,0.0198,0.0277,-0.0409,0.0044,-0.0571,-0.0074,0.2450,0.2292,0.3055,0.2028,0.2707,0.2305,0.2086,0.2706,0.1713,0.2610,0.2381,0.2268,0.2027,0.2554,0.0780,0.1817,0.1847,0.2016,0.2265,0.2418,0.2366,0.1545
R044,0.2937,0.2804,0.2672,0.3494,0.2484,0.2945,0.2674,0.2673,0.3606,0.3298,0.2228,0.3236,0.2234,0.2107,0.2648,0.2552,0.2209,0.2684,0.3002,0.2815,0.3160,0.3936,0.1561,0.2300,0.1560,0.2046,0.2400,0.2272,0.4221,0.3850,0.2149,0.3428,0.3678,0.2693,0.3946,0.3669,0.3618,0.3347,0.5416,0.6525,0.5208,0.6057,0.5866,1.0000,0.6213,0.6712,0.6549,0.5742,0.6785,0.6009,0.2561,0.2551,0.0507,0.0692,0.0882,0.0965,0.2083,0.1665,0.2065,0.1212,0.0518,0.3157,0.1587,0.0904,0.0722,0.2752,0.0872,0.1642,0.1931,0.2024,0.1822,0.0261,0.1105,0.1564,0.0935,0.1357,0.1101,0.1532,0.1819,0.0920,0.2305,0.2572,0.1916,0.2613,0.2990,0.3046,0.3647,0.2677,0.3621,0.1549
R045,0.5167,0.3402,0.4431,0.5449,0.3516,0.4123,0.4315,0.4555,0.5038,0.4332,0.2776,0.4469,0.3840,0.3378,0.4329,0.3440,0.3463,0.4932,0.3221,0.2463,0.2893,0.3271,0.3379,0.3649,0.3952,0.3462,0.4191,0.3887,0.2660,0.2039,0.1689,0.1893,0.1896,0.0749,0.2222,0.2713,0.2081,0.1345,0.6050,0.7120,0.6391,0.7410,0.6877,0.6213,1.0000,0.6538,0.6918,0.6738,0.6074,0.6996,0.0674,0.1334,-0.0416,-0.0992,0.0407,0.0020,0.1262,0.0405,-0.0215,0.1354,0.0006,0.1238,0.1188,0.0630,-0.0131,0.0986,0.0500,0.0241,0.1890,0.2210,0.1983,0.1107,0.1301,0.2113,0.1589,0.1344,0.1540,0.1770,0.2129,0.2280,0.0565,0.1086,-0.0312,0.0098,0.0624,0.0722,0.1944,0.1106,0.0975,0.0412
R046,0.3052,0.1968,0.2850,0.3749,0.3060,0.3391,0.2915,0.1908,0.3873,0.3295,0.1130,0.2906,0.2563,0.2132,0.2995,0.3058,0.2737,0.3425,0.2761,0.2490,0.2595,0.3098,0.2500,0.2838,0.2334,0.2794,0.3480,0.3167,0.3727,0.3828,0.2383,0.3365,0.3290,0.1879,0.3696,0.3833,0.2983,0.2899,0.6385,0.6844,0.4972,0.5720,0.5906,0.6712,0.6538,1.0000,0.6449,0.6097,0.6406,0.6602,0.1886,0.2825,0.0587,0.0795,0.0987,-0.0024,0.2174,0.1308,0.1457,0.1346,0.0546,0.2995,0.2204,0.1787,0.1667,0.2030,0.1264,0.1322,0.1176,0.1398,0.0664,0.0024,0.0104,0.0732,0.0592,0.0601,0.0412,0.1188,0.1240,0.0391,0.0386,0.0931,-0.0351,0.0852,0.0823,0.0705,0.1706,0.2013,0.1280,-0.0294
R047,0.5141,0.3907,0.5459,0.5356,0.4529,0.4546,0.4556,0.4501,0.5436,0.5484,0.3756,0.5017,0.4221,0.4167,0.5086,0.4471,0.4393,0.5058,0.2087,0.2191,0.2154,0.1899,0.3520,0.3843,0.4045,0.3760,0.4509,0.4135,0.2792,0.2275,0.1483,0.1901,0.2539,0.1230,0.2259,0.2737,0.2020,0.1914,0.5934,0.6882,0.5719,0.6677,0.6405,0.6549,0.6918,0.6449,1.0000,0.6447,0.5934,0.6648,0.0681,0.1761,-0.0595,-0.0901,-0.0160,-0.1265,0.0281,0.0081,0.0667,0.0843,-0.0341,0.1306,0.1137,0.0110,-0.0799,0.1222,0.0194,-0.0114,0.2771,0.2880,0.1722,0.0994,0.2196,0.1887,0.1855,0.1863,0.2297,0.1169,0.2389,0.1887,0.0823,0.0852,-0.0282,0.0017,0.0856,0.1069,0.1997,0.0686,0.2446,-0.0295
R048,0.4327,0.3424,0.3868,0.4784,0.2735,0.3454,0.3656,0.3830,0.4143,0.3814,0.2362,0.4080,0.3577,0.3169,0.3968,0.3244,0.3494,0.3620,0.2173,0.1719,0.1538,0.1393,0.3260,0.3426,0.3414,0.3398,0.3974,0.3501,0.1999,0.1825,0.1046,0.1489,0.1653,0.1095,0.1644,0.1881,0.1301,0.0849,0.5972,0.7025,0.5499,0.6994,0.6129,0.5742,0.6738,0.6097,0.6447,1.0000,0.7053,0.6725,0.1040,0.0916,-0.0273,-0.1178,0.0378,-0.0599,0.0536,-0.0141,-0.0303,-0.0077,-0.0084,0.1981,0.0771,0.0139,-0.0191,0.0880,-0.0655,0.0227,0.1510,0.2031,0.1414,0.0174,0.0345,0.2270,0.1661,0.1122,0.0784,0.0945,0.2143,0.1582,0.0283,0.0758,-0.0794,0.0370,0.0233,0.0707,0.1380,0.1039,0.1386,-0.0597
R049,0.2995,0.2652,0.2357,0.3406,0.2517,0.2735,0.2025,0.2933,0.3708,0.3291,0.1652,0.3003,0.3007,0.1779,0.3039,0.3061,0.2589,0.2540,0.3720,0.3328,0.3429,0.3355,0.2288,0.3194,0.2985,0.2932,0.3659,0.3404,0.3038,0.2734,0.1316,0.2271,0.2484,0.1486,0.2665,0.2654,0.1792,0.1826,0.6473,0.6925,0.5393,0.6982,0.6310,0.6785,0.6074,0.6406,0.5934,0.7053,1.0000,0.6179,0.1745,0.1867,-0.0118,-0.0403,0.0620,0.0055,0.1130,0.1040,0.0607,0.0556,-0.0235,0.1753,0.1010,0.0380,-0.0173,0.1275,-0.0099,0.0183,0.1327,0.1634,0.1267,0.0505,0.0705,0.1491,0.0702,0.0931,0.0886,0.1050,0.1560,0.0555,0.0436,0.1314,-0.0153,0.0675,0.0355,0.1196,0.1371,0.1275,0.1426,-0.0357
R050,0.4070,0.3804,0.4271,0.4861,0.3455,0.3668,0.3624,0.3734,0.4792,0.3809,0.2742,0.4807,0.3613,0.3661,0.4081,0.3573,0.3744,0.4661,0.2437,0.2575,0.2594,0.2514,0.4002,0.4242,0.3859,0.3421,0.4516,0.4427,0.2465,0.2806,0.1415,0.1522,0.2093,0.0286,0.2188,0.2352,0.1625,0.1411,0.6250,0.7531,0.5632,0.6065,0.7096,0.6009,0.6996,0.6602,0.6648,0.6725,0.6179,1.0000,0.1461,0.2088,0.1196,0.0377,0.1349,0.0049,0.2204,0.0813,0.0767,0.1043,0.0601,0.1623,0.1188,0.0946,0.0370,0.0648,0.1123,0.0214,0.1307,0.2411,0.2026,0.0988,0.0894,0.1979,0.1854,0.1494,0.1736,0.1344,0.2430,0.1125,0.1000,0.0883,0.0336,0.0861,0.1661,0.1131,0.2066,0.1674,0.0997,-0.0123
R051,-0.0748,0.0681,-0.0016,0.0121,-0.0725,0.0491,-0.1171,-0.1068,-0.0210,-0.0447,-0.0605,0.0331,-0.0079,-0.0420,0.0316,-0.0221,-0.1020,-0.0916,0.0149,0.0415,0.0825,0.1791,-0.0674,0.0593,0.0278,0.0936,-0.0420,0.0091,0.3235,0.2951,0.3188,0.2901,0.3794,0.2570,0.3144,0.3483,0.2323,0.4085,0.2115,0.1080,0.0905,0.1222,0.0569,0.2561,0.0674,0.1886,0.0681,0.1040,0.1745,0.1461,1.0000,0.6447,0.5294,0.4889,0.5270,0.5573,0.6219,0.5248,0.4978,0.5674,0.6188,0.6292,0.5458,0.5219,0.5402,0.6069,0.4147,0.6370,-0.0729,-0.0261,0.0180,0.0315,-0.0492,-0.0750,-0.0447,-0.0332,-0.0777,0.0016,0.0050,-0.1715,0.2726,0.3220,0.3725,0.2876,0.3711,0.3655,0.3792,0.3522,0.3035,0.2217
R052,0.0744,0.1457,0.0746,0.1766,0.1097,0.1397,-0.0456,-0.1070,0.1109,0.1033,0.0144,0.1734,0.1247,0.0842,0.1798,0.0734,0.0191,0.0593,-0.0023,-0.0397,0.0151,0.1535,0.1322,0.2253,0.1435,0.2214,0.1446,0.1753,0.2141,0.2540,0.2779,0.2128,0.2900,0.2555,0.2477,0.2751,0.2044,0.3350,0.3626,0.1447,0.1651,0.1924,0.1257,0.2551,0.1334,0.2825,0.1761,0.0916,0.1867,0.2088,0.6447,1.0000,0.5141,0.5609,0.5810,0.5528,0.6805,0.4524,0.5273,0.6371,0.6929,0.6093,0.6254,0.5834,0.5464,0.5738,0.4855,0.5966,-0.1936,-0.1540,-0.1276,-0.1113,-0.1984,-0.1785,-0.1494,-0.1232,-0.2192,-0.1125,-0.1378,-0.2232,0.2256,0.2279,0.2324,0.1698,0.3030,0.2080,0.2691,0.3300,0.1316,0.0940
R053,-0.1506,-0.0996,-0.1227,-0.1216,-0.0697,-0.0497,-0.2248,-0.2020,-0.1132,-0.0864,-0.1531,-0.1101,-0.0846,-0.0472,-0.0609,-0.1068,-0.1637,-0.1455,0.0121,-0.0087,0.0772,0.1151,0.0281,0.0076,-0.0456,0.0544,0.0114,0.0107,0.0037,0.0357,0.1137,0.0351,0.0792,-0.0575,0.0342,0.0286,0.0257,0.1221,0.1683,-0.0187,-0.0005,-0.0207,-0.0217,0.0507,-0.0416,0.0587,-0.0595,-0.0273,-0.0118,0.1196,0.5294,0.5141,1.0000,0.5912,0.4288,0.4630,0.5531,0.3911,0.3746,0.4662,0.5457,0.4615,0.3928,0.5293,0.3999,0.4471,0.5100,0.5147,-0.2046,-0.2038,-0.1580,-0.1279,-0.1584,-0.2205,-0.2059,-0.2112,-0.1566,-0.1750,-0.2306,-0.2689,0.2724,0.1876,0.2356,0.2183,0.2582,0.2721,0.2349,0.2599,0.1166,0.1649
R054,-0.0931,-0.0202,-0.0856,0.0253,-0.0807,-0.0484,-0.1693,-0.2245,-0.0702,-0.0336,-0.0729,0.0065,-0.0465,-0.1164,-0.0349,-0.1787,-0.1545,-0.1483,-0.0445,-0.0029,0.0440,0.0422,0.0327,0.0903,0.0099,0.1225,0.0768,0.0434,0.2018,0.2206,0.2772,0.1713,0.2438,0.2020,0.2523,0.2128,0.2686,0.2706,0.1014,-0.0855,0.0135,-0.1092,-0.0504,0.0692,-0.0992,0.0795,-0.0901,-0.1178,-0.0403,0.0377,0.4889,0.5609,0.5912,1.0000,0.5419,0.5626,0.5875,0.4707,0.5477,0.4589,0.5759,0.5896,0.4447,0.5697,0.4909,0.5101,0.4744,0.5584,-0.0732,-0.0474,-0.0512,0.0548,-0.1246,-0.1685,-0.0596,-0.0092,-0.1579,0.0443,-0.0758,-0.1058,0.1847,0.1218,0.2191,0.1099,0.1965,0.1762,0.1555,0.2139,0.1028,0.0442
R055,-0.0103,0.1301,-0.0192,0.1641,-0.0176,0.0953,-0.1109,-0.1056,-0.0085,-0.0213,-0.1044,0.0975,0.0880,0.0091,-0.0175,-0.1293,-0.0411,0.0347,-0.0171,0.0168,-0.0003,0.0612,0.1426,0.1513,0.1856,0.2568,0.1164,0.1056,0.2318,0.1834,0.3135,0.2561,0.2505,0.2905,0.2394,0.2612,0.2129,0.2847,0.1408,0.0375,0.0576,0.0683,0.0083,0.0882,0.0407,0.0987,-0.0160,0.0378,0.0620,0.1349,0.5270,0.5810,0.4288,0.5419,1.0000,0.5175,0.5791,0.4767,0.5203,0.5687,0.6298,0.5578,0.5694,0.6005,0.4947,0.5386,0.4905,0.6749,-0.0913,0.0271,-0.0635,0.0178,-0.0959,-0.0310,-0.0874,-0.0038,-0.0632,-0.0261,0.0168,-0.1457,0.0800,0.1050,0.1735,0.0721,0.1457,0.1119,0.1756,0.2601,0.0701,0.0904
R056,-0.1309,-0.0132,-0.1301,-0.1049,-0.0531,-0.0347,-0.1509,-0.1607,-0.1137,-0.1564,-0.0890,-0.0530,-0.1290,-0.0948,-0.0341,-0.1948,-0.1325,-0.1052,-0.0324,0.0731,0.0381,0.1354,0.0086,0.0990,-0.0205,0.0946,-0.0268,0.0236,0.1295,0.1763,0.2676,0.1503,0.1574,0.1440,0.1517,0.1311,0.1241,0.1896,0.0448,-0.0869,-0.0489,-0.0325,-0.0713,0.0965,0.0020,-0.0024,-0.1265,-0.0599,0.0055,0.0049,0.5573,0.5528,0.4630,0.5626,0.5175,1.0000,0.5616,0.5263,0.5019,0.5508,0.6354,0.4925,0.5184,0.5392,0.3788,0.5414,0.5174,0.5996,-0.0876,-0.0814,-0.0267,-0.0446,-0.1864,-0.1484,-0.0748,-0.0463,-0.0862,-0.0090,-0.0738,-0.0387,0.2221,0.1994,0.3408,0.2043,0.3216,0.2672,0.2538,0.2679,0.1214,0.2151
R057,-0.0175,0.0392,-0.0266,0.1242,0.0179,0.0695,-0.1306,-0.0774,0.0463,-0.0476,-0.0178,0.0513,0.0671,0.0191,0.0737,-0.0660,-0.0863,0.0418,0.1334,0.1264,0.1096,0.2539,0.0508,0.1635,0.0765,0.1523,0.1212,0.1132,0.2800,0.2914,0.3273,0.2207,0.3233,0.2331,0.2983,0.2884,0.2108,0.3485,0.2425,0.1451,0.1311,0.0747,0.0413,0.2083,0.1262,0.2174,0.0281,0.0536,0.1130,0.2204,0.6219,0.6805,0.5531,0.5875,0.5791,0.5616,1.0000,0.4985,0.5391,0.5848,0.6096,0.6268,0.5593,0.6084,0.4209,0.5496,0.5669,0.6511,-0.2364,-0.1869,-0.1576,-0.1794,-0.2554,-0.2565,-0.1965,-0.2030,-0.2429,-0.2140,-0.1495,-0.2315,0.1759,0.1531,0.1809,0.1771,0.2149,0.2146,0.2643,0.2863,0.1702,0.0406
